Year,UNIT_MEASURE,Quarter,Sex,AGE,Value
2021,%,Q1,_T,15 - 89,20.8
2021,%,Q1,_T,15 - 24,44.9
2021,%,Q1,_T,25 - 49,18.4
2021,%,Q1,_T,50 - 64,16.9
2021,%,Q1,_T,15 - 64,20.8
2021,%,Q1,_T,20 - 64,20.3
2021,%,Q1,_T,25 - 34,21.7
2021,%,Q1,_T,15 - 74,20.8
2021,%,Q1,M,15 - 89,16.4
2021,%,Q1,M,15 - 24,38.7
2021,%,Q1,M,25 - 49,13.2
2021,%,Q1,M,50 - 64,15.1
2021,%,Q1,M,15 - 64,16.4
2021,%,Q1,M,20 - 64,15.7
2021,%,Q1,M,25 - 34,15.4
2021,%,Q1,M,15 - 74,16.4
2021,%,Q1,F,15 - 89,28.5
2021,%,Q1,F,15 - 24,55.5
2021,%,Q1,F,25 - 49,26.6
2021,%,Q1,F,50 - 64,20.7
2021,%,Q1,F,15 - 64,28.4
2021,%,Q1,F,20 - 64,28
2021,%,Q1,F,25 - 34,31.7
2021,%,Q1,F,15 - 74,28.5
2021,%,Q2,_T,15 - 89,19.7
2021,%,Q2,_T,15 - 24,42.9
2021,%,Q2,_T,25 - 49,18.1
2021,%,Q2,_T,50 - 64,14
2021,%,Q2,_T,15 - 64,19.7
2021,%,Q2,_T,20 - 64,19.2
2021,%,Q2,_T,25 - 34,21.4
2021,%,Q2,_T,15 - 74,19.7
2021,%,Q2,M,15 - 89,15.6
2021,%,Q2,M,15 - 24,37.5
2021,%,Q2,M,25 - 49,12.9
2021,%,Q2,M,50 - 64,14
2021,%,Q2,M,15 - 64,15.7
2021,%,Q2,M,20 - 64,15
2021,%,Q2,M,25 - 34,16.4
2021,%,Q2,M,15 - 74,15.6
2021,%,Q2,F,15 - 89,26.3
2021,%,Q2,F,15 - 24,52.1
2021,%,Q2,F,25 - 49,26.3
2021,%,Q2,F,50 - 64,14
2021,%,Q2,F,15 - 64,26.4
2021,%,Q2,F,20 - 64,26.1
2021,%,Q2,F,25 - 34,29.2
2021,%,Q2,F,15 - 74,26.3
2021,%,Q3,_T,15 - 89,17.5
2021,%,Q3,_T,15 - 24,38.1
2021,%,Q3,_T,25 - 49,16.5
2021,%,Q3,_T,50 - 64,12.1
2021,%,Q3,_T,15 - 64,17.6
2021,%,Q3,_T,20 - 64,17.1
2021,%,Q3,_T,25 - 34,18.4
2021,%,Q3,_T,15 - 74,17.5
2021,%,Q3,M,15 - 89,13.7
2021,%,Q3,M,15 - 24,32.5
2021,%,Q3,M,25 - 49,11.9
2021,%,Q3,M,50 - 64,11
2021,%,Q3,M,15 - 64,13.7
2021,%,Q3,M,20 - 64,13.2
2021,%,Q3,M,25 - 34,15.1
2021,%,Q3,M,15 - 74,13.7
2021,%,Q3,F,15 - 89,24.1
2021,%,Q3,F,15 - 24,47.9
2021,%,Q3,F,25 - 49,23.7
2021,%,Q3,F,50 - 64,14.5
2021,%,Q3,F,15 - 64,24.1
2021,%,Q3,F,20 - 64,23.6
2021,%,Q3,F,25 - 34,23.7
2021,%,Q3,F,15 - 74,24.1
2021,%,Q4,_T,15 - 89,17.7
2021,%,Q4,_T,15 - 24,37.6
2021,%,Q4,_T,25 - 49,16.4
2021,%,Q4,_T,50 - 64,13.4
2021,%,Q4,_T,15 - 64,17.7
2021,%,Q4,_T,20 - 64,17.4
2021,%,Q4,_T,25 - 34,18.5
2021,%,Q4,_T,15 - 74,17.7
2021,%,Q4,M,15 - 89,14.4
2021,%,Q4,M,15 - 24,36
2021,%,Q4,M,25 - 49,12.6
2021,%,Q4,M,50 - 64,10.5
2021,%,Q4,M,15 - 64,14.4
2021,%,Q4,M,20 - 64,14
2021,%,Q4,M,25 - 34,15.2
2021,%,Q4,M,15 - 74,14.4
2021,%,Q4,F,15 - 89,23.3
2021,%,Q4,F,15 - 24,40.6
2021,%,Q4,F,25 - 49,22.1
2021,%,Q4,F,50 - 64,19.5
2021,%,Q4,F,15 - 64,23.3
2021,%,Q4,F,20 - 64,23
2021,%,Q4,F,25 - 34,23.4
2021,%,Q4,F,15 - 74,23.3
2022,%,Q1,_T,15 - 89,18.7
2022,%,Q1,_T,15 - 24,38.7
2022,%,Q1,_T,25 - 49,17.3
2022,%,Q1,_T,50 - 64,15.6
2022,%,Q1,_T,15 - 64,18.8
2022,%,Q1,_T,20 - 64,18.5
2022,%,Q1,_T,25 - 34,21.2
2022,%,Q1,_T,15 - 74,18.7
2022,%,Q1,M,15 - 89,15.4
2022,%,Q1,M,15 - 24,35.5
2022,%,Q1,M,25 - 49,13.6
2022,%,Q1,M,50 - 64,12.8
2022,%,Q1,M,15 - 64,15.4
2022,%,Q1,M,20 - 64,15
2022,%,Q1,M,25 - 34,16.4
2022,%,Q1,M,15 - 74,15.4
2022,%,Q1,F,15 - 89,24.1
2022,%,Q1,F,15 - 24,43.8
2022,%,Q1,F,25 - 49,22.6
2022,%,Q1,F,50 - 64,21.4
2022,%,Q1,F,15 - 64,24.2
2022,%,Q1,F,20 - 64,24.1
2022,%,Q1,F,25 - 34,28.1
2022,%,Q1,F,15 - 74,24.1
2022,%,Q2,_T,15 - 89,17.2
2022,%,Q2,_T,15 - 24,36
2022,%,Q2,_T,25 - 49,15.9
2022,%,Q2,_T,50 - 64,13.9
2022,%,Q2,_T,15 - 64,17.3
2022,%,Q2,_T,20 - 64,17
2022,%,Q2,_T,25 - 34,18
2022,%,Q2,_T,15 - 74,17.2
2022,%,Q2,M,15 - 89,13.9
2022,%,Q2,M,15 - 24,31.4
2022,%,Q2,M,25 - 49,11.9
2022,%,Q2,M,50 - 64,13.2
2022,%,Q2,M,15 - 64,14
2022,%,Q2,M,20 - 64,13.7
2022,%,Q2,M,25 - 34,11.7
2022,%,Q2,M,15 - 74,13.9
2022,%,Q2,F,15 - 89,22.5
2022,%,Q2,F,15 - 24,42.9
2022,%,Q2,F,25 - 49,22
2022,%,Q2,F,50 - 64,15.4
2022,%,Q2,F,15 - 64,22.7
2022,%,Q2,F,20 - 64,22.4
2022,%,Q2,F,25 - 34,27.3
2022,%,Q2,F,15 - 74,22.5
2022,%,Q3,_T,15 - 89,16.5
2022,%,Q3,_T,15 - 24,38.4
2022,%,Q3,_T,25 - 49,15.2
2022,%,Q3,_T,50 - 64,12.3
2022,%,Q3,_T,15 - 64,16.5
2022,%,Q3,_T,20 - 64,16.2
2022,%,Q3,_T,25 - 34,18.2
2022,%,Q3,_T,15 - 74,16.5
2022,%,Q3,M,15 - 89,13.5
2022,%,Q3,M,15 - 24,32.4
2022,%,Q3,M,25 - 49,12.1
2022,%,Q3,M,50 - 64,10.8
2022,%,Q3,M,15 - 64,13.6
2022,%,Q3,M,20 - 64,13.2
2022,%,Q3,M,25 - 34,14.5
2022,%,Q3,M,15 - 74,13.5
2022,%,Q3,F,15 - 89,21.4
2022,%,Q3,F,15 - 24,48.8
2022,%,Q3,F,25 - 49,19.9
2022,%,Q3,F,50 - 64,15.5
2022,%,Q3,F,15 - 64,21.5
2022,%,Q3,F,20 - 64,21.3
2022,%,Q3,F,25 - 34,23.9
2022,%,Q3,F,15 - 74,21.4
2022,%,Q4,_T,15 - 89,16.5
2022,%,Q4,_T,15 - 24,36.4
2022,%,Q4,_T,25 - 49,15.7
2022,%,Q4,_T,50 - 64,12
