Year,UNIT_MEASURE,Admin_Area,Sex,Disabilities,Value
2013,NUMBER,federation_of_bih,_T,T,181927
2013,NUMBER,federation_of_bih,_T,eyesight,74413
2013,NUMBER,federation_of_bih,_T,hearing,42221
2013,NUMBER,federation_of_bih,_T,walking,114822
2013,NUMBER,federation_of_bih,_T,memory,35601
2013,NUMBER,federation_of_bih,_T,dressing,24345
2013,NUMBER,federation_of_bih,_T,communication,20180
2013,NUMBER,federation_of_bih,_T,multiple_disabilities,68156
2013,NUMBER,una-sana_canton,_T,T,20706
2013,NUMBER,una-sana_canton,_T,eyesight,8911
2013,NUMBER,una-sana_canton,_T,hearing,5139
2013,NUMBER,una-sana_canton,_T,walking,12299
2013,NUMBER,una-sana_canton,_T,memory,4220
2013,NUMBER,una-sana_canton,_T,dressing,2751
2013,NUMBER,una-sana_canton,_T,communication,2467
2013,NUMBER,una-sana_canton,_T,multiple_disabilities,7558
2013,NUMBER,posavina_canton,_T,T,3387
2013,NUMBER,posavina_canton,_T,eyesight,1386
2013,NUMBER,posavina_canton,_T,hearing,762
2013,NUMBER,posavina_canton,_T,walking,2021
2013,NUMBER,posavina_canton,_T,memory,615
2013,NUMBER,posavina_canton,_T,dressing,375
2013,NUMBER,posavina_canton,_T,communication,337
2013,NUMBER,posavina_canton,_T,multiple_disabilities,1127
2013,NUMBER,tuzla_canton,_T,T,43418
2013,NUMBER,tuzla_canton,_T,eyesight,18825
2013,NUMBER,tuzla_canton,_T,hearing,9948
2013,NUMBER,tuzla_canton,_T,walking,27830
2013,NUMBER,tuzla_canton,_T,memory,9292
2013,NUMBER,tuzla_canton,_T,dressing,5630
2013,NUMBER,tuzla_canton,_T,communication,4548
2013,NUMBER,tuzla_canton,_T,multiple_disabilities,17193
2013,NUMBER,zenica-doboj_canton,_T,T,30367
2013,NUMBER,zenica-doboj_canton,_T,eyesight,12250
2013,NUMBER,zenica-doboj_canton,_T,hearing,6650
2013,NUMBER,zenica-doboj_canton,_T,walking,19061
2013,NUMBER,zenica-doboj_canton,_T,memory,5373
2013,NUMBER,zenica-doboj_canton,_T,dressing,3950
2013,NUMBER,zenica-doboj_canton,_T,communication,3219
2013,NUMBER,zenica-doboj_canton,_T,multiple_disabilities,10924
2013,NUMBER,bosnian-podrinje_canton,_T,T,2619
2013,NUMBER,bosnian-podrinje_canton,_T,eyesight,1096
2013,NUMBER,bosnian-podrinje_canton,_T,hearing,682
2013,NUMBER,bosnian-podrinje_canton,_T,walking,1746
2013,NUMBER,bosnian-podrinje_canton,_T,memory,528
2013,NUMBER,bosnian-podrinje_canton,_T,dressing,330
2013,NUMBER,bosnian-podrinje_canton,_T,communication,251
2013,NUMBER,bosnian-podrinje_canton,_T,multiple_disabilities,1030
2013,NUMBER,central_bosnia_canton,_T,T,20634
2013,NUMBER,central_bosnia_canton,_T,eyesight,8358
2013,NUMBER,central_bosnia_canton,_T,hearing,4619
2013,NUMBER,central_bosnia_canton,_T,walking,12193
2013,NUMBER,central_bosnia_canton,_T,memory,4152
2013,NUMBER,central_bosnia_canton,_T,dressing,2700
2013,NUMBER,central_bosnia_canton,_T,communication,2616
2013,NUMBER,central_bosnia_canton,_T,multiple_disabilities,7687
2013,NUMBER,herzegovina-neretva_canton,_T,T,14948
2013,NUMBER,herzegovina-neretva_canton,_T,eyesight,5764
2013,NUMBER,herzegovina-neretva_canton,_T,hearing,3712
2013,NUMBER,herzegovina-neretva_canton,_T,walking,9576
2013,NUMBER,herzegovina-neretva_canton,_T,memory,2807
2013,NUMBER,herzegovina-neretva_canton,_T,dressing,2087
2013,NUMBER,herzegovina-neretva_canton,_T,communication,1749
2013,NUMBER,herzegovina-neretva_canton,_T,multiple_disabilities,5448
2013,NUMBER,west_herzegovina_canton,_T,T,5094
2013,NUMBER,west_herzegovina_canton,_T,eyesight,1812
2013,NUMBER,west_herzegovina_canton,_T,hearing,1309
2013,NUMBER,west_herzegovina_canton,_T,walking,3363
2013,NUMBER,west_herzegovina_canton,_T,memory,1014
2013,NUMBER,west_herzegovina_canton,_T,dressing,776
2013,NUMBER,west_herzegovina_canton,_T,communication,730
2013,NUMBER,west_herzegovina_canton,_T,multiple_disabilities,1894
2013,NUMBER,sarajevo_canton,_T,T,35729
2013,NUMBER,sarajevo_canton,_T,eyesight,13979
2013,NUMBER,sarajevo_canton,_T,hearing,8067
2013,NUMBER,sarajevo_canton,_T,walking,23636
2013,NUMBER,sarajevo_canton,_T,memory,6712
2013,NUMBER,sarajevo_canton,_T,dressing,5009
2013,NUMBER,sarajevo_canton,_T,communication,3637
2013,NUMBER,sarajevo_canton,_T,multiple_disabilities,13442
2013,NUMBER,canton_10,_T,T,5025
2013,NUMBER,canton_10,_T,eyesight,2032
2013,NUMBER,canton_10,_T,hearing,1333
2013,NUMBER,canton_10,_T,walking,3097
2013,NUMBER,canton_10,_T,memory,888
2013,NUMBER,canton_10,_T,dressing,737
2013,NUMBER,canton_10,_T,communication,626
2013,NUMBER,canton_10,_T,multiple_disabilities,1853
2013,NUMBER,federation_of_bih,M,T,81695
2013,NUMBER,federation_of_bih,M,eyesight,30746
2013,NUMBER,federation_of_bih,M,hearing,20243
2013,NUMBER,federation_of_bih,M,walking,47911
2013,NUMBER,federation_of_bih,M,memory,16020
2013,NUMBER,federation_of_bih,M,dressing,10317
2013,NUMBER,federation_of_bih,M,communication,9846
2013,NUMBER,federation_of_bih,M,multiple_disabilities,28473
2013,NUMBER,una-sana_canton,M,T,10055
2013,NUMBER,una-sana_canton,M,eyesight,3905
2013,NUMBER,una-sana_canton,M,hearing,2610
2013,NUMBER,una-sana_canton,M,walking,5680
2013,NUMBER,una-sana_canton,M,memory,2059
2013,NUMBER,una-sana_canton,M,dressing,1302
2013,NUMBER,una-sana_canton,M,communication,1289
2013,NUMBER,una-sana_canton,M,multiple_disabilities,3444
2013,NUMBER,posavina_canton,M,T,1585
2013,NUMBER,posavina_canton,M,eyesight,592
2013,NUMBER,posavina_canton,M,hearing,368
2013,NUMBER,posavina_canton,M,walking,866
2013,NUMBER,posavina_canton,M,memory,293
2013,NUMBER,posavina_canton,M,dressing,159
2013,NUMBER,posavina_canton,M,communication,165
2013,NUMBER,posavina_canton,M,multiple_disabilities,482
2013,NUMBER,tuzla_canton,M,T,18694
2013,NUMBER,tuzla_canton,M,eyesight,7541
2013,NUMBER,tuzla_canton,M,hearing,4653
2013,NUMBER,tuzla_canton,M,walking,11110
2013,NUMBER,tuzla_canton,M,memory,3945
2013,NUMBER,tuzla_canton,M,dressing,2353
2013,NUMBER,tuzla_canton,M,communication,2187
2013,NUMBER,tuzla_canton,M,multiple_disabilities,6941
2013,NUMBER,zenica-doboj_canton,M,T,13854
2013,NUMBER,zenica-doboj_canton,M,eyesight,5096
2013,NUMBER,zenica-doboj_canton,M,hearing,3316
2013,NUMBER,zenica-doboj_canton,M,walking,8003
2013,NUMBER,zenica-doboj_canton,M,memory,2383
2013,NUMBER,zenica-doboj_canton,M,dressing,1686
2013,NUMBER,zenica-doboj_canton,M,communication,1576
2013,NUMBER,zenica-doboj_canton,M,multiple_disabilities,4548
2013,NUMBER,bosnian-podrinje_canton,M,T,1150
2013,NUMBER,bosnian-podrinje_canton,M,eyesight,485
2013,NUMBER,bosnian-podrinje_canton,M,hearing,323
2013,NUMBER,bosnian-podrinje_canton,M,walking,696
2013,NUMBER,bosnian-podrinje_canton,M,memory,212
2013,NUMBER,bosnian-podrinje_canton,M,dressing,135
2013,NUMBER,bosnian-podrinje_canton,M,communication,103
2013,NUMBER,bosnian-podrinje_canton,M,multiple_disabilities,423
2013,NUMBER,central_bosnia_canton,M,T,9786
2013,NUMBER,central_bosnia_canton,M,eyesight,3644
2013,NUMBER,central_bosnia_canton,M,hearing,2274
2013,NUMBER,central_bosnia_canton,M,walking,5406
2013,NUMBER,central_bosnia_canton,M,memory,2005
2013,NUMBER,central_bosnia_canton,M,dressing,1192
2013,NUMBER,central_bosnia_canton,M,communication,1330
2013,NUMBER,central_bosnia_canton,M,multiple_disabilities,3441
2013,NUMBER,herzegovina-neretva_canton,M,T,6877
2013,NUMBER,herzegovina-neretva_canton,M,eyesight,2457
2013,NUMBER,herzegovina-neretva_canton,M,hearing,1772
2013,NUMBER,herzegovina-neretva_canton,M,walking,4114
2013,NUMBER,herzegovina-neretva_canton,M,memory,1317
2013,NUMBER,herzegovina-neretva_canton,M,dressing,868
2013,NUMBER,herzegovina-neretva_canton,M,communication,838
2013,NUMBER,herzegovina-neretva_canton,M,multiple_disabilities,2310
2013,NUMBER,west_herzegovina_canton,M,T,2373
2013,NUMBER,west_herzegovina_canton,M,eyesight,739
2013,NUMBER,west_herzegovina_canton,M,hearing,627
2013,NUMBER,west_herzegovina_canton,M,walking,1503
2013,NUMBER,west_herzegovina_canton,M,memory,490
2013,NUMBER,west_herzegovina_canton,M,dressing,309
2013,NUMBER,west_herzegovina_canton,M,communication,356
2013,NUMBER,west_herzegovina_canton,M,multiple_disabilities,832
2013,NUMBER,sarajevo_canton,M,T,15041
2013,NUMBER,sarajevo_canton,M,eyesight,5441
2013,NUMBER,sarajevo_canton,M,hearing,3656
2013,NUMBER,sarajevo_canton,M,walking,9240
2013,NUMBER,sarajevo_canton,M,memory,2892
2013,NUMBER,sarajevo_canton,M,dressing,2009
2013,NUMBER,sarajevo_canton,M,communication,1712
2013,NUMBER,sarajevo_canton,M,multiple_disabilities,5278
2013,NUMBER,canton_10,M,T,2280
2013,NUMBER,canton_10,M,eyesight,846
2013,NUMBER,canton_10,M,hearing,644
2013,NUMBER,canton_10,M,walking,1293
2013,NUMBER,canton_10,M,memory,424
2013,NUMBER,canton_10,M,dressing,304
2013,NUMBER,canton_10,M,communication,290
2013,NUMBER,canton_10,M,multiple_disabilities,774
2013,NUMBER,federation_of_bih,F ,T,100232
2013,NUMBER,federation_of_bih,F ,eyesight,43667
2013,NUMBER,federation_of_bih,F ,hearing,21978
