Year,UNIT_MEASURE,Administrativna oblast,Naučna oblast,Value
2010,Broj,Federacija Bosne i Hercegovine,Obrazovanje,
2010,Broj,Federacija Bosne i Hercegovine,Umjetnost i humanističke nauke,
2010,Broj,Federacija Bosne i Hercegovine,"Društvene nauke, novinarstvo i informiranje",
2010,Broj,Federacija Bosne i Hercegovine,"Poslovanje, administracija i pravo",
2010,Broj,Federacija Bosne i Hercegovine,"Prirodne nauke, matematika i statistika",
2010,Broj,Federacija Bosne i Hercegovine,Informacijske i komunikacijske tehnologije,
2010,Broj,Federacija Bosne i Hercegovine,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Federacija Bosne i Hercegovine,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Federacija Bosne i Hercegovine,Zdravstvo i socijalna zaštita,
2010,Broj,Federacija Bosne i Hercegovine,Usluge,
2010,Broj,Unsko-sanski kanton,Obrazovanje,
2010,Broj,Unsko-sanski kanton,Umjetnost i humanističke nauke,
2010,Broj,Unsko-sanski kanton,"Društvene nauke, novinarstvo i informiranje",
2010,Broj,Unsko-sanski kanton,"Poslovanje, administracija i pravo",
2010,Broj,Unsko-sanski kanton,"Prirodne nauke, matematika i statistika",
2010,Broj,Unsko-sanski kanton,Informacijske i komunikacijske tehnologije,
2010,Broj,Unsko-sanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
2010,Broj,Unsko-sanski kanton,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",
2010,Broj,Unsko-sanski kanton,Zdravstvo i socijalna zaštita,
2010,Broj,Unsko-sanski kanton,Usluge,
2010,Broj,Tuzlanski kanton,Obrazovanje,
2010,Broj,Tuzlanski kanton,Umjetnost i humanističke nauke,
2010,Broj,Tuzlanski kanton,"Društvene nauke, novinarstvo i informiranje",
2010,Broj,Tuzlanski kanton,"Poslovanje, administracija i pravo",
2010,Broj,Tuzlanski kanton,"Prirodne nauke, matematika i statistika",
2010,Broj,Tuzlanski kanton,Informacijske i komunikacijske tehnologije,
2010,Broj,Tuzlanski kanton,"Inženjerstvo, proizvodnja i građevinarstvo",
