Year,UNIT_MEASURE,Value
2003,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2004,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2005,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2006,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2007,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2008,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2009,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2010,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2011,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2012,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2013,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2014,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2015,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2016,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2017,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2018,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2019,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
2020,Broj živorođene djece po jednoj ženi u fertilnom periodu (15-49),
