Year,UNIT_MEASURE,Value
2020,Стопа смртности на 1.000 становника,9.9
2025,Стопа смртности на 1.000 становника,10.8
2030,Стопа смртности на 1.000 становника,12.0
2035,Стопа смртности на 1.000 становника,13.3
2040,Стопа смртности на 1.000 становника,14.9
2045,Стопа смртности на 1.000 становника,16.5
2050,Стопа смртности на 1.000 становника,17.9
2055,Стопа смртности на 1.000 становника,19.1
2060,Стопа смртности на 1.000 становника,20.1
2065,Стопа смртности на 1.000 становника,20.9
2070,Стопа смртности на 1.000 становника,21.6
