Year,UNIT_MEASURE,Administrativna jedinica,type_of_school,Spol,Value
2016,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,technical_high_schools,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,religious_schools,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,technical_high_schools,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,religious_schools,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,technical_high_schools,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,religious_schools,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,technical_high_schools,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,religious_schools,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Gimnazija,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,technical_high_schools,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,vocational_high_schools,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,Umjetničke škole,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,religious_schools,Oba spola,
2020,Broj,Federacija Bosne i Hercegovine,high_schools_for_students_with_disabilities,Oba spola,
2016,Broj,Unsko-sanska županija,Gimnazija,Oba spola,
2016,Broj,Unsko-sanska županija,technical_high_schools,Oba spola,
2016,Broj,Unsko-sanska županija,vocational_high_schools,Oba spola,
2016,Broj,Unsko-sanska županija,Umjetničke škole,Oba spola,
2016,Broj,Unsko-sanska županija,religious_schools,Oba spola,
2016,Broj,Unsko-sanska županija,high_schools_for_students_with_disabilities,Oba spola,
2017,Broj,Unsko-sanska županija,Gimnazija,Oba spola,
2017,Broj,Unsko-sanska županija,technical_high_schools,Oba spola,
2017,Broj,Unsko-sanska županija,vocational_high_schools,Oba spola,
2017,Broj,Unsko-sanska županija,Umjetničke škole,Oba spola,
2017,Broj,Unsko-sanska županija,religious_schools,Oba spola,
2017,Broj,Unsko-sanska županija,high_schools_for_students_with_disabilities,Oba spola,
2018,Broj,Unsko-sanska županija,Gimnazija,Oba spola,
2018,Broj,Unsko-sanska županija,technical_high_schools,Oba spola,
2018,Broj,Unsko-sanska županija,vocational_high_schools,Oba spola,
2018,Broj,Unsko-sanska županija,Umjetničke škole,Oba spola,
2018,Broj,Unsko-sanska županija,religious_schools,Oba spola,
2018,Broj,Unsko-sanska županija,high_schools_for_students_with_disabilities,Oba spola,
2019,Broj,Unsko-sanska županija,Gimnazija,Oba spola,
2019,Broj,Unsko-sanska županija,technical_high_schools,Oba spola,
2019,Broj,Unsko-sanska županija,vocational_high_schools,Oba spola,
2019,Broj,Unsko-sanska županija,Umjetničke škole,Oba spola,
2019,Broj,Unsko-sanska županija,religious_schools,Oba spola,
2019,Broj,Unsko-sanska županija,high_schools_for_students_with_disabilities,Oba spola,
2020,Broj,Unsko-sanska županija,Gimnazija,Oba spola,
2020,Broj,Unsko-sanska županija,technical_high_schools,Oba spola,
2020,Broj,Unsko-sanska županija,vocational_high_schools,Oba spola,
2020,Broj,Unsko-sanska županija,Umjetničke škole,Oba spola,
2020,Broj,Unsko-sanska županija,religious_schools,Oba spola,
2020,Broj,Unsko-sanska županija,high_schools_for_students_with_disabilities,Oba spola,
2016,Broj,Posavska županija,Gimnazija,Oba spola,
2016,Broj,Posavska županija,technical_high_schools,Oba spola,
2016,Broj,Posavska županija,vocational_high_schools,Oba spola,
2016,Broj,Posavska županija,Umjetničke škole,Oba spola,
2016,Broj,Posavska županija,religious_schools,Oba spola,
2016,Broj,Posavska županija,high_schools_for_students_with_disabilities,Oba spola,
2017,Broj,Posavska županija,Gimnazija,Oba spola,
2017,Broj,Posavska županija,technical_high_schools,Oba spola,
2017,Broj,Posavska županija,vocational_high_schools,Oba spola,
2017,Broj,Posavska županija,Umjetničke škole,Oba spola,
2017,Broj,Posavska županija,religious_schools,Oba spola,
2017,Broj,Posavska županija,high_schools_for_students_with_disabilities,Oba spola,
2018,Broj,Posavska županija,Gimnazija,Oba spola,
2018,Broj,Posavska županija,technical_high_schools,Oba spola,
2018,Broj,Posavska županija,vocational_high_schools,Oba spola,
2018,Broj,Posavska županija,Umjetničke škole,Oba spola,
2018,Broj,Posavska županija,religious_schools,Oba spola,
2018,Broj,Posavska županija,high_schools_for_students_with_disabilities,Oba spola,
2019,Broj,Posavska županija,Gimnazija,Oba spola,
2019,Broj,Posavska županija,technical_high_schools,Oba spola,
2019,Broj,Posavska županija,vocational_high_schools,Oba spola,
2019,Broj,Posavska županija,Umjetničke škole,Oba spola,
2019,Broj,Posavska županija,religious_schools,Oba spola,
2019,Broj,Posavska županija,high_schools_for_students_with_disabilities,Oba spola,
2020,Broj,Posavska županija,Gimnazija,Oba spola,
2020,Broj,Posavska županija,technical_high_schools,Oba spola,
2020,Broj,Posavska županija,vocational_high_schools,Oba spola,
2020,Broj,Posavska županija,Umjetničke škole,Oba spola,
2020,Broj,Posavska županija,religious_schools,Oba spola,
2020,Broj,Posavska županija,high_schools_for_students_with_disabilities,Oba spola,
2016,Broj,Tuzlanska županija,Gimnazija,Oba spola,
2016,Broj,Tuzlanska županija,technical_high_schools,Oba spola,
2016,Broj,Tuzlanska županija,vocational_high_schools,Oba spola,
2016,Broj,Tuzlanska županija,Umjetničke škole,Oba spola,
2016,Broj,Tuzlanska županija,religious_schools,Oba spola,
2016,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,Oba spola,
2017,Broj,Tuzlanska županija,Gimnazija,Oba spola,
2017,Broj,Tuzlanska županija,technical_high_schools,Oba spola,
2017,Broj,Tuzlanska županija,vocational_high_schools,Oba spola,
2017,Broj,Tuzlanska županija,Umjetničke škole,Oba spola,
2017,Broj,Tuzlanska županija,religious_schools,Oba spola,
2017,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,Oba spola,
2018,Broj,Tuzlanska županija,Gimnazija,Oba spola,
2018,Broj,Tuzlanska županija,technical_high_schools,Oba spola,
2018,Broj,Tuzlanska županija,vocational_high_schools,Oba spola,
2018,Broj,Tuzlanska županija,Umjetničke škole,Oba spola,
2018,Broj,Tuzlanska županija,religious_schools,Oba spola,
2018,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,Oba spola,
2019,Broj,Tuzlanska županija,Gimnazija,Oba spola,
2019,Broj,Tuzlanska županija,technical_high_schools,Oba spola,
2019,Broj,Tuzlanska županija,vocational_high_schools,Oba spola,
2019,Broj,Tuzlanska županija,Umjetničke škole,Oba spola,
2019,Broj,Tuzlanska županija,religious_schools,Oba spola,
2019,Broj,Tuzlanska županija,high_schools_for_students_with_disabilities,Oba spola,
2020,Broj,Tuzlanska županija,Gimnazija,Oba spola,
2020,Broj,Tuzlanska županija,technical_high_schools,Oba spola,
2020,Broj,Tuzlanska županija,vocational_high_schools,Oba spola,
2020,Broj,Tuzlanska županija,Umjetničke škole,Oba spola,
2020,Broj,Tuzlanska županija,religious_schools,Oba spola,
