Year,Value,UNIT_MEASURE
2020,9.9,Стопа смртности на 1.000 становника
2025,10.8,Стопа смртности на 1.000 становника
2030,12.0,Стопа смртности на 1.000 становника
2035,13.3,Стопа смртности на 1.000 становника
2040,14.9,Стопа смртности на 1.000 становника
2045,16.5,Стопа смртности на 1.000 становника
2050,17.9,Стопа смртности на 1.000 становника
2055,19.1,Стопа смртности на 1.000 становника
2060,20.1,Стопа смртности на 1.000 становника
2065,20.9,Стопа смртности на 1.000 становника
2070,21.6,Стопа смртности на 1.000 становника
