Year,Value,UNIT_MEASURE
1996,6.3,Стопа морталитета
1997,6.9,Стопа морталитета
1998,7.3,Стопа морталитета
1999,7.1,Стопа морталитета
2000,7.4,Стопа морталитета
2001,7.3,Стопа морталитета
2002,7.4,Стопа морталитета
2003,7.9,Стопа морталитета
2004,7.9,Стопа морталитета
2005,8.3,Стопа морталитета
2006,8.0,Стопа морталитета
2007,8.7,Стопа морталитета
2008,8.3,Стопа морталитета
2009,8.3,Стопа морталитета
2010,8.6,Стопа морталитета
2011,8.8,Стопа морталитета
2012,8.7,Стопа морталитета
2013,8.9,Стопа морталитета
2014,8.7,Стопа морталитета
2015,9.8,Стопа морталитета
2016,9.6,Стопа морталитета
2017,9.9,Стопа морталитета
2018,9.8,Стопа морталитета
2019,10.1,Стопа морталитета
