Year,UNIT_MEASURE,Municipality,Household agricultural activity,Value
2013,Number,Banovici,Total,7636
2013,Number,Bihac,Total,18294
2013,Number,Bosanska Krupa,Total,7675
2013,Number,Bosanski Petrovac,Total,2798
2013,Number,Bosansko Grahovo,Total,1046
2013,Number,Breza,Total,5058
2013,Number,Bugojno,Total,9429
2013,Number,Busovaca,Total,5621
2013,Number,Buzim,Total,4326
2013,Number,Cazin,Total,16686
2013,Number,Sarajevo-Centar,Total,21484
2013,Number,Capljina,Total,7916
2013,Number,Celic,Total,3203
2013,Number,Citluk,Total,4667
2013,Number,Doboj-Istok,Total,3167
2013,Number,Doboj-Jug,Total,1307
2013,Number,Dobretici,Total,473
2013,Number,Domaljevac-Samac,Total,1312
2013,Number,Donji Vakuf,Total,4183
2013,Number,Drvar,Total,3033
2013,Number,foca-fbih,Total,747
2013,Number,Fojnica,Total,3908
2013,Number,Glamoc,Total,1437
2013,Number,Gorazde,Total,7573
2013,Number,Gornji Vakuf-Uskoplje,Total,5686
2013,Number,Gracanica,Total,15083
2013,Number,Gradacac,Total,11881
2013,Number,Grude,Total,4502
2013,Number,Sarajevo-Hadzici,Total,7530
2013,Number,Sarajevo-Ilidza,Total,22296
2013,Number,Sarajevo-Ilijas,Total,6386
2013,Number,Jablanica,Total,3168
2013,Number,Jajce,Total,8041
2013,Number,Kakanj,Total,12240
2013,Number,Kalesija,Total,9781
2013,Number,Kiseljak,Total,6801
2013,Number,Kladanj,Total,3847
2013,Number,Kljuc,Total,4990
2013,Number,Konjic,Total,8381
2013,Number,Kresevo,Total,1845
2013,Number,Kupres-FBiH,Total,1489
2013,Number,Livno,Total,9028
2013,Number,Lukavac,Total,16656
2013,Number,Ljubuski,Total,7444
2013,Number,Maglaj,Total,7687
2013,Number,Mostar,Total,34129
2013,Number,Neum,Total,1394
2013,Number,Sarajevo-Novi Grad,Total,42274
2013,Number,Novi Travnik,Total,7267
2013,Number,Sarajevo-Novo Sarajevo,Total,25690
2013,Number,Odzak,Total,5809
2013,Number,Olovo,Total,3493
2013,Number,Orasje,Total,6192
2013,Number,Pale-FBiH,Total,350
2013,Number,Posusje,Total,5153
2013,Number,Prozor,Total,3653
2013,Number,Ravno,Total,929
2013,Number,Sanski Most,Total,11847
2013,Number,Sapna,Total,3085
2013,Number,Srebrenik,Total,13187
2013,Number,Sarajevo-Stari Grad,Total,13753
2013,Number,Stolac,Total,3884
2013,Number,Siroki Brijeg,Total,7982
2013,Number,Teocak,Total,2020
2013,Number,Tesanj,Total,13426
2013,Number,Tomislavgrad,Total,7731
2013,Number,Travnik,Total,16445
2013,Number,Trnovo-FBiH,Total,647
2013,Number,Tuzla,Total,42630
2013,Number,Usora,Total,1936
2013,Number,Vares,Total,3582
2013,Number,Velika Kladusa,Total,11651
2013,Number,Visoko,Total,12900
2013,Number,Vitez,Total,8190
2013,Number,Sarajevo-Vogosca,Total,8811
2013,Number,Zavidovici,Total,12088
2013,Number,Zenica,Total,38609
2013,Number,Zepce,Total,8830
2013,Number,Zivinice,Total,18431
2013,Number,Banovici,Engaged in agricultural activities,3952
2013,Number,Bihac,Engaged in agricultural activities,4598
2013,Number,Bosanska Krupa,Engaged in agricultural activities,2488
2013,Number,Bosanski Petrovac,Engaged in agricultural activities,1171
2013,Number,Bosansko Grahovo,Engaged in agricultural activities,422
2013,Number,Breza,Engaged in agricultural activities,2335
2013,Number,Bugojno,Engaged in agricultural activities,3258
2013,Number,Busovaca,Engaged in agricultural activities,2668
2013,Number,Buzim,Engaged in agricultural activities,2553
2013,Number,Cazin,Engaged in agricultural activities,5345
2013,Number,Sarajevo-Centar,Engaged in agricultural activities,932
2013,Number,Capljina,Engaged in agricultural activities,2326
2013,Number,Celic,Engaged in agricultural activities,1537
2013,Number,Citluk,Engaged in agricultural activities,1465
2013,Number,Doboj-Istok,Engaged in agricultural activities,1846
2013,Number,Doboj-Jug,Engaged in agricultural activities,717
