Year,UNIT_MEASURE,Administrative Area,Sex,Value
2009,Number,Federation of Bosnia and Herzegovina,Both sexes,872
2010,Number,Federation of Bosnia and Herzegovina,Both sexes,1473
2011,Number,Federation of Bosnia and Herzegovina,Both sexes,4405
2012,Number,Federation of Bosnia and Herzegovina,Both sexes,5117
2013,Number,Federation of Bosnia and Herzegovina,Both sexes,5603
2014,Number,Federation of Bosnia and Herzegovina,Both sexes,6326
2015,Number,Federation of Bosnia and Herzegovina,Both sexes,5523
2016,Number,Federation of Bosnia and Herzegovina,Both sexes,6371
2017,Number,Federation of Bosnia and Herzegovina,Both sexes,6224
2018,Number,Federation of Bosnia and Herzegovina,Both sexes,6617
2019,Number,Federation of Bosnia and Herzegovina,Both sexes,6815
2020,Number,Federation of Bosnia and Herzegovina,Both sexes,6720
2021,Number,Federation of Bosnia and Herzegovina,Both sexes,6663
2022,Number,Federation of Bosnia and Herzegovina,Both sexes,6661
2009,Number,Federation of Bosnia and Herzegovina,M,365
2010,Number,Federation of Bosnia and Herzegovina,M,626
2011,Number,Federation of Bosnia and Herzegovina,M,1415
2012,Number,Federation of Bosnia and Herzegovina,M,1596
2013,Number,Federation of Bosnia and Herzegovina,M,1788
2014,Number,Federation of Bosnia and Herzegovina,M,2088
2015,Number,Federation of Bosnia and Herzegovina,M,1746
2016,Number,Federation of Bosnia and Herzegovina,M,2013
2017,Number,Federation of Bosnia and Herzegovina,M,1937
2018,Number,Federation of Bosnia and Herzegovina,M,2051
2019,Number,Federation of Bosnia and Herzegovina,M,2057
2020,Number,Federation of Bosnia and Herzegovina,M,1933
2021,Number,Federation of Bosnia and Herzegovina,M,1768
2022,Number,Federation of Bosnia and Herzegovina,M,1684
2009,Number,Federation of Bosnia and Herzegovina,F,507
2010,Number,Federation of Bosnia and Herzegovina,F,847
2011,Number,Federation of Bosnia and Herzegovina,F,2990
2012,Number,Federation of Bosnia and Herzegovina,F,3521
2013,Number,Federation of Bosnia and Herzegovina,F,3815
2014,Number,Federation of Bosnia and Herzegovina,F,4238
2015,Number,Federation of Bosnia and Herzegovina,F,3777
2016,Number,Federation of Bosnia and Herzegovina,F,4358
2017,Number,Federation of Bosnia and Herzegovina,F,4287
2018,Number,Federation of Bosnia and Herzegovina,F,4566
2019,Number,Federation of Bosnia and Herzegovina,F,4758
2020,Number,Federation of Bosnia and Herzegovina,F,4787
2021,Number,Federation of Bosnia and Herzegovina,F,4895
2022,Number,Federation of Bosnia and Herzegovina,F,4977
2011,Number,Tuzla Canton,Both sexes,1795
2012,Number,Tuzla Canton,Both sexes,1794
2013,Number,Tuzla Canton,Both sexes,1891
2014,Number,Tuzla Canton,Both sexes,2189
2015,Number,Tuzla Canton,Both sexes,2141
2016,Number,Tuzla Canton,Both sexes,2080
2017,Number,Tuzla Canton,Both sexes,2105
2018,Number,Tuzla Canton,Both sexes,2028
2019,Number,Tuzla Canton,Both sexes,2034
