Year,UNIT_MEASURE,Administrative area,Sex,Value
2016,Number,federation_of_bih,Both sexes,
2016,Number,federation_of_bih,M,
2016,Number,federation_of_bih,F,
2017,Number,federation_of_bih,Both sexes,
2017,Number,federation_of_bih,M,
2017,Number,federation_of_bih,F,
2018,Number,federation_of_bih,Both sexes,
2018,Number,federation_of_bih,M,
2018,Number,federation_of_bih,F,
2019,Number,federation_of_bih,Both sexes,
2019,Number,federation_of_bih,M,
2019,Number,federation_of_bih,F,
2020,Number,federation_of_bih,Both sexes,
2020,Number,federation_of_bih,M,
2020,Number,federation_of_bih,F,
2016,Number,una-sana_canton,Both sexes,
2016,Number,una-sana_canton,M,
2016,Number,una-sana_canton,F,
2017,Number,una-sana_canton,Both sexes,
2017,Number,una-sana_canton,M,
2017,Number,una-sana_canton,F,
2018,Number,una-sana_canton,Both sexes,
2018,Number,una-sana_canton,M,
2018,Number,una-sana_canton,F,
2019,Number,una-sana_canton,Both sexes,
2019,Number,una-sana_canton,M,
2019,Number,una-sana_canton,F,
2020,Number,una-sana_canton,Both sexes,
2020,Number,una-sana_canton,M,
2020,Number,una-sana_canton,F,
2016,Number,posavina_canton,Both sexes,
2016,Number,posavina_canton,M,
2016,Number,posavina_canton,F,
2017,Number,posavina_canton,Both sexes,
2017,Number,posavina_canton,M,
2017,Number,posavina_canton,F,
2018,Number,posavina_canton,Both sexes,
2018,Number,posavina_canton,M,
2018,Number,posavina_canton,F,
2019,Number,posavina_canton,Both sexes,
2019,Number,posavina_canton,M,
2019,Number,posavina_canton,F,
2020,Number,posavina_canton,Both sexes,
2020,Number,posavina_canton,M,
2020,Number,posavina_canton,F,
2016,Number,tuzla_canton,Both sexes,
2016,Number,tuzla_canton,M,
2016,Number,tuzla_canton,F,
2017,Number,tuzla_canton,Both sexes,
2017,Number,tuzla_canton,M,
2017,Number,tuzla_canton,F,
2018,Number,tuzla_canton,Both sexes,
2018,Number,tuzla_canton,M,
2018,Number,tuzla_canton,F,
2019,Number,tuzla_canton,Both sexes,
2019,Number,tuzla_canton,M,
2019,Number,tuzla_canton,F,
2020,Number,tuzla_canton,Both sexes,
2020,Number,tuzla_canton,M,
2020,Number,tuzla_canton,F,
2016,Number,zenica-doboj_canton,Both sexes,
2016,Number,zenica-doboj_canton,M,
2016,Number,zenica-doboj_canton,F,
2017,Number,zenica-doboj_canton,Both sexes,
2017,Number,zenica-doboj_canton,M,
2017,Number,zenica-doboj_canton,F,
2018,Number,zenica-doboj_canton,Both sexes,
2018,Number,zenica-doboj_canton,M,
2018,Number,zenica-doboj_canton,F,
2019,Number,zenica-doboj_canton,Both sexes,
2019,Number,zenica-doboj_canton,M,
2019,Number,zenica-doboj_canton,F,
2020,Number,zenica-doboj_canton,Both sexes,
2020,Number,zenica-doboj_canton,M,
2020,Number,zenica-doboj_canton,F,
2016,Number,bosnian-podrinje_canton,Both sexes,
2016,Number,bosnian-podrinje_canton,M,
2016,Number,bosnian-podrinje_canton,F,
2017,Number,bosnian-podrinje_canton,Both sexes,
2017,Number,bosnian-podrinje_canton,M,
2017,Number,bosnian-podrinje_canton,F,
2018,Number,bosnian-podrinje_canton,Both sexes,
2018,Number,bosnian-podrinje_canton,M,
2018,Number,bosnian-podrinje_canton,F,
2019,Number,bosnian-podrinje_canton,Both sexes,
2019,Number,bosnian-podrinje_canton,M,
2019,Number,bosnian-podrinje_canton,F,
2020,Number,bosnian-podrinje_canton,Both sexes,
2020,Number,bosnian-podrinje_canton,M,
2020,Number,bosnian-podrinje_canton,F,
2016,Number,central_bosnia_canton,Both sexes,
2016,Number,central_bosnia_canton,M,
2016,Number,central_bosnia_canton,F,
2017,Number,central_bosnia_canton,Both sexes,
2017,Number,central_bosnia_canton,M,
2017,Number,central_bosnia_canton,F,
2018,Number,central_bosnia_canton,Both sexes,
2018,Number,central_bosnia_canton,M,
2018,Number,central_bosnia_canton,F,
2019,Number,central_bosnia_canton,Both sexes,
2019,Number,central_bosnia_canton,M,
2019,Number,central_bosnia_canton,F,
2020,Number,central_bosnia_canton,Both sexes,
2020,Number,central_bosnia_canton,M,
2020,Number,central_bosnia_canton,F,
2016,Number,herzegovina-neretva_canton,Both sexes,
2016,Number,herzegovina-neretva_canton,M,
2016,Number,herzegovina-neretva_canton,F,
2017,Number,herzegovina-neretva_canton,Both sexes,
2017,Number,herzegovina-neretva_canton,M,
2017,Number,herzegovina-neretva_canton,F,
2018,Number,herzegovina-neretva_canton,Both sexes,
2018,Number,herzegovina-neretva_canton,M,
2018,Number,herzegovina-neretva_canton,F,
2019,Number,herzegovina-neretva_canton,Both sexes,
2019,Number,herzegovina-neretva_canton,M,
2019,Number,herzegovina-neretva_canton,F,
2020,Number,herzegovina-neretva_canton,Both sexes,
2020,Number,herzegovina-neretva_canton,M,
2020,Number,herzegovina-neretva_canton,F,
2016,Number,west_herzegovina_canton,Both sexes,
2016,Number,west_herzegovina_canton,M,
2016,Number,west_herzegovina_canton,F,
2017,Number,west_herzegovina_canton,Both sexes,
2017,Number,west_herzegovina_canton,M,
2017,Number,west_herzegovina_canton,F,
2018,Number,west_herzegovina_canton,Both sexes,
2018,Number,west_herzegovina_canton,M,
2018,Number,west_herzegovina_canton,F,
2019,Number,west_herzegovina_canton,Both sexes,
2019,Number,west_herzegovina_canton,M,
2019,Number,west_herzegovina_canton,F,
2020,Number,west_herzegovina_canton,Both sexes,
2020,Number,west_herzegovina_canton,M,
2020,Number,west_herzegovina_canton,F,
2016,Number,sarajevo_canton,Both sexes,
2016,Number,sarajevo_canton,M,
2016,Number,sarajevo_canton,F,
2017,Number,sarajevo_canton,Both sexes,
