Year,UNIT_MEASURE,Type of education,Sex,Value
2018,Number,Total,Both sexes,12083
2018,Number,Education,Both sexes,1188
2018,Number,Arts and humanities,Both sexes,1348
2018,Number,"Social sciences, journalism and information",Both sexes,1800
2018,Number,Business administration and the law of everything,Both sexes,2411
2018,Number,"Natural sciences, mathematics and statistics of all",Both sexes,673
2018,Number,Information and communication technologies,Both sexes,578
2018,Number,"Engineering, manufacturing and construction",Both sexes,1879
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,694
2018,Number,Health and social protection,Both sexes,1050
2018,Number,Services,Both sexes,390
2018,Number,Unknown,Both sexes,72
2018,Number,Total,M,4563
2018,Number,Education,M,286
2018,Number,Arts and humanities,M,393
2018,Number,"Social sciences, journalism and information",M,627
2018,Number,Business administration and the law of everything,M,864
2018,Number,"Natural sciences, mathematics and statistics of all",M,176
2018,Number,Information and communication technologies,M,350
2018,Number,"Engineering, manufacturing and construction",M,1100
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,303
2018,Number,Health and social protection,M,231
2018,Number,Services,M,209
2018,Number,Unknown,M,24
2018,Number,Total,F,7520
2018,Number,Education,F,902
2018,Number,Arts and humanities,F,955
2018,Number,"Social sciences, journalism and information",F,1173
2018,Number,Business administration and the law of everything,F,1547
2018,Number,"Natural sciences, mathematics and statistics of all",F,497
2018,Number,Information and communication technologies,F,228
2018,Number,"Engineering, manufacturing and construction",F,779
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,391
2018,Number,Health and social protection,F,819
2018,Number,Services,F,181
2018,Number,Unknown,F,48
2019,Number,Total,Both sexes,12449
2019,Number,Education,Both sexes,1129
2019,Number,Arts and humanities,Both sexes,1387
2019,Number,"Social sciences, journalism and information",Both sexes,1737
2019,Number,Business administration and the law of everything,Both sexes,2522
2019,Number,"Natural sciences, mathematics and statistics of all",Both sexes,659
2019,Number,Information and communication technologies,Both sexes,505
2019,Number,"Engineering, manufacturing and construction",Both sexes,1927
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,737
2019,Number,Health and social protection,Both sexes,1158
2019,Number,Services,Both sexes,603
2019,Number,Unknown,Both sexes,85
2019,Number,Total,M,4808
2019,Number,Education,M,324
2019,Number,Arts and humanities,M,448
2019,Number,"Social sciences, journalism and information",M,629
2019,Number,Business administration and the law of everything,M,877
2019,Number,"Natural sciences, mathematics and statistics of all",M,171
2019,Number,Information and communication technologies,M,314
2019,Number,"Engineering, manufacturing and construction",M,1103
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,316
2019,Number,Health and social protection,M,271
2019,Number,Services,M,328
2019,Number,Unknown,M,27
2019,Number,Total,F,7641
2019,Number,Education,F,805
2019,Number,Arts and humanities,F,939
2019,Number,"Social sciences, journalism and information",F,1108
2019,Number,Business administration and the law of everything,F,1645
2019,Number,"Natural sciences, mathematics and statistics of all",F,488
2019,Number,Information and communication technologies,F,191
2019,Number,"Engineering, manufacturing and construction",F,824
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,421
2019,Number,Health and social protection,F,887
2019,Number,Services,F,275
2019,Number,Unknown,F,58
2020,Number,Total,Both sexes,13192
2020,Number,Education,Both sexes,1268
2020,Number,Arts and humanities,Both sexes,1329
2020,Number,"Social sciences, journalism and information",Both sexes,1932
2020,Number,Business administration and the law of everything,Both sexes,2514
2020,Number,"Natural sciences, mathematics and statistics of all",Both sexes,686
2020,Number,Information and communication technologies,Both sexes,582
2020,Number,"Engineering, manufacturing and construction",Both sexes,1971
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,751
2020,Number,Health and social protection,Both sexes,1345
2020,Number,Services,Both sexes,749
2020,Number,Unknown,Both sexes,65
2020,Number,Total,M,4945
2020,Number,Education,M,323
2020,Number,Arts and humanities,M,458
2020,Number,"Social sciences, journalism and information",M,690
2020,Number,Business administration and the law of everything,M,837
2020,Number,"Natural sciences, mathematics and statistics of all",M,194
2020,Number,Information and communication technologies,M,364
2020,Number,"Engineering, manufacturing and construction",M,1116
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,325
2020,Number,Health and social protection,M,244
2020,Number,Services,M,372
2020,Number,Unknown,M,22
2020,Number,Total,F,8247
2020,Number,Education,F,945
2020,Number,Arts and humanities,F,871
2020,Number,"Social sciences, journalism and information",F,1242
2020,Number,Business administration and the law of everything,F,1677
2020,Number,"Natural sciences, mathematics and statistics of all",F,492
2020,Number,Information and communication technologies,F,218
2020,Number,"Engineering, manufacturing and construction",F,855
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,426
2020,Number,Health and social protection,F,1101
2020,Number,Services,F,377
2020,Number,Unknown,F,43
