Year,UNIT_MEASURE,Value
1996,Death Rate,6.3
1997,Death Rate,6.9
1998,Death Rate,7.3
1999,Death Rate,7.1
2000,Death Rate,7.4
2001,Death Rate,7.3
2002,Death Rate,7.4
2003,Death Rate,7.9
2004,Death Rate,7.9
2005,Death Rate,8.3
2006,Death Rate,8.0
2007,Death Rate,8.7
2008,Death Rate,8.3
2009,Death Rate,8.3
2010,Death Rate,8.6
2011,Death Rate,8.8
2012,Death Rate,8.7
2013,Death Rate,8.9
2014,Death Rate,8.7
2015,Death Rate,9.8
2016,Death Rate,9.6
2017,Death Rate,9.9
2018,Death Rate,9.8
2019,Death Rate,10.1
