Year,UNIT_MEASURE,Administrative Area,Sex,Value
2010,Number,Federation of Bosnia and Herzegovina,Both sexes,11350
2011,Number,Federation of Bosnia and Herzegovina,Both sexes,11209
2012,Number,Federation of Bosnia and Herzegovina,Both sexes,12231
2013,Number,Federation of Bosnia and Herzegovina,Both sexes,13491
2014,Number,Federation of Bosnia and Herzegovina,Both sexes,12183
2015,Number,Federation of Bosnia and Herzegovina,Both sexes,11846
2016,Number,Federation of Bosnia and Herzegovina,Both sexes,12149
2017,Number,Federation of Bosnia and Herzegovina,Both sexes,12060
2018,Number,Federation of Bosnia and Herzegovina,Both sexes,11747
2019,Number,Federation of Bosnia and Herzegovina,Both sexes,12359
2020,Number,Federation of Bosnia and Herzegovina,Both sexes,11476
2021,Number,Federation of Bosnia and Herzegovina,Both sexes,11537
2022,Number,Federation of Bosnia and Herzegovina,Both sexes,10374
2010,Number,Federation of Bosnia and Herzegovina,M,4143
2011,Number,Federation of Bosnia and Herzegovina,M,4291
2012,Number,Federation of Bosnia and Herzegovina,M,4650
2013,Number,Federation of Bosnia and Herzegovina,M,5150
2014,Number,Federation of Bosnia and Herzegovina,M,4700
2015,Number,Federation of Bosnia and Herzegovina,M,4611
2016,Number,Federation of Bosnia and Herzegovina,M,4767
2017,Number,Federation of Bosnia and Herzegovina,M,4798
2018,Number,Federation of Bosnia and Herzegovina,M,4682
2019,Number,Federation of Bosnia and Herzegovina,M,4803
2020,Number,Federation of Bosnia and Herzegovina,M,4403
2021,Number,Federation of Bosnia and Herzegovina,M,4230
2022,Number,Federation of Bosnia and Herzegovina,M,3731
2010,Number,Federation of Bosnia and Herzegovina,F,7207
2011,Number,Federation of Bosnia and Herzegovina,F,6918
2012,Number,Federation of Bosnia and Herzegovina,F,7581
2013,Number,Federation of Bosnia and Herzegovina,F,8341
2014,Number,Federation of Bosnia and Herzegovina,F,7483
2015,Number,Federation of Bosnia and Herzegovina,F,7235
