Year,UNIT_MEASURE,Sex,Age,Value
2013,Number,Both sexes,0-4,114843
2013,Number,Both sexes, 5-9,116052
2013,Number,Both sexes, 10-14,126053
2013,Number,Both sexes,15-19,161881
2013,Number,Both sexes,20-24,150902
2013,Number,Both sexes,25-29,164203
2013,Number,Both sexes,30-34,160988
2013,Number,Both sexes,35-39,157715
2013,Number,Both sexes,40-44,154830
2013,Number,Both sexes,45-49,167109
2013,Number,Both sexes,50-54,173996
2013,Number,Both sexes,55-59,156089
2013,Number,Both sexes,60-64,128613
2013,Number,Both sexes,65-69,88391
2013,Number,Both sexes,70-74,81023
2013,Number,Both sexes,75-79,65613
2013,Number,Both sexes,80-84,35227
2013,Number,Both sexes,85+,15692
2013,Number,M,0-4,59017
2013,Number,M, 5-9,59633
2013,Number,M, 10-14,64493
2013,Number,M,15-19,83298
2013,Number,M,20-24,77103
2013,Number,M,25-29,84119
2013,Number,M,30-34,81932
2013,Number,M,35-39,78939
2013,Number,M,40-44,77122
2013,Number,M,45-49,82594
2013,Number,M,50-54,85303
2013,Number,M,55-59,75568
2013,Number,M,60-64,59899
2013,Number,M,65-69,39438
2013,Number,M,70-74,34445
2013,Number,M,75-79,26695
2013,Number,M,80-84,13493
2013,Number,M,85+,4902
2013,Number,F,0-4,55826
2013,Number,F, 5-9,56419
2013,Number,F, 10-14,61560
2013,Number,F,15-19,78583
2013,Number,F,20-24,73799
2013,Number,F,25-29,80084
2013,Number,F,30-34,79056
2013,Number,F,35-39,78776
2013,Number,F,40-44,77708
2013,Number,F,45-49,84515
2013,Number,F,50-54,88693
2013,Number,F,55-59,80521
2013,Number,F,60-64,68714
2013,Number,F,65-69,48953
2013,Number,F,70-74,46578
2013,Number,F,75-79,38918
2013,Number,F,80-84,21734
2013,Number,F,85+,10790
