Year,UNIT_MEASURE,Administrative area,Sex,Value
2010,Number,federation_of_bih,Both sexes,15622.0
2011,Number,federation_of_bih,Both sexes,15574.0
2012,Number,federation_of_bih,Both sexes,15224.0
2013,Number,federation_of_bih,Both sexes,15417.0
2014,Number,federation_of_bih,Both sexes,15461.0
2015,Number,federation_of_bih,Both sexes,14908.0
2016,Number,federation_of_bih,Both sexes,15153.0
2017,Number,federation_of_bih,Both sexes,15272.0
2018,Number,federation_of_bih,Both sexes,15455.0
2010,Number,federation_of_bih,M,4620.0
2011,Number,federation_of_bih,M,4624.0
2012,Number,federation_of_bih,M,4425.0
2013,Number,federation_of_bih,M,4439.0
2014,Number,federation_of_bih,M,4362.0
2015,Number,federation_of_bih,M,4172.0
2016,Number,federation_of_bih,M,4200.0
2017,Number,federation_of_bih,M,4187.0
2018,Number,federation_of_bih,M,4160.0
2010,Number,federation_of_bih,F,11002.0
2011,Number,federation_of_bih,F,10950.0
2012,Number,federation_of_bih,F,10799.0
2013,Number,federation_of_bih,F,10978.0
2014,Number,federation_of_bih,F,11099.0
2015,Number,federation_of_bih,F,10736.0
2016,Number,federation_of_bih,F,10953.0
2017,Number,federation_of_bih,F,11085.0
2018,Number,federation_of_bih,F,11295.0
2010,Number,una-sana_canton,Both sexes,
2011,Number,una-sana_canton,Both sexes,
2012,Number,una-sana_canton,Both sexes,
2013,Number,una-sana_canton,Both sexes,
2014,Number,una-sana_canton,Both sexes,
2015,Number,una-sana_canton,Both sexes,
2016,Number,una-sana_canton,Both sexes,
2017,Number,una-sana_canton,Both sexes,
2018,Number,una-sana_canton,Both sexes,
2010,Number,una-sana_canton,M,
2011,Number,una-sana_canton,M,
2012,Number,una-sana_canton,M,
2013,Number,una-sana_canton,M,
2014,Number,una-sana_canton,M,
2015,Number,una-sana_canton,M,
2016,Number,una-sana_canton,M,
2017,Number,una-sana_canton,M,
2018,Number,una-sana_canton,M,
2010,Number,una-sana_canton,F,
2011,Number,una-sana_canton,F,
2012,Number,una-sana_canton,F,
2013,Number,una-sana_canton,F,
2014,Number,una-sana_canton,F,
2015,Number,una-sana_canton,F,
2016,Number,una-sana_canton,F,
2017,Number,una-sana_canton,F,
2018,Number,una-sana_canton,F,
2010,Number,posavina_canton,Both sexes,
2011,Number,posavina_canton,Both sexes,
2012,Number,posavina_canton,Both sexes,
2013,Number,posavina_canton,Both sexes,
2014,Number,posavina_canton,Both sexes,
2015,Number,posavina_canton,Both sexes,
2016,Number,posavina_canton,Both sexes,
2017,Number,posavina_canton,Both sexes,
2018,Number,posavina_canton,Both sexes,
2010,Number,posavina_canton,M,
2011,Number,posavina_canton,M,
2012,Number,posavina_canton,M,
2013,Number,posavina_canton,M,
2014,Number,posavina_canton,M,
2015,Number,posavina_canton,M,
2016,Number,posavina_canton,M,
2017,Number,posavina_canton,M,
2018,Number,posavina_canton,M,
2010,Number,posavina_canton,F,
2011,Number,posavina_canton,F,
2012,Number,posavina_canton,F,
2013,Number,posavina_canton,F,
2014,Number,posavina_canton,F,
2015,Number,posavina_canton,F,
2016,Number,posavina_canton,F,
2017,Number,posavina_canton,F,
2018,Number,posavina_canton,F,
2010,Number,tuzla_canton,Both sexes,
2011,Number,tuzla_canton,Both sexes,
2012,Number,tuzla_canton,Both sexes,
2013,Number,tuzla_canton,Both sexes,
2014,Number,tuzla_canton,Both sexes,
2015,Number,tuzla_canton,Both sexes,
2016,Number,tuzla_canton,Both sexes,
2017,Number,tuzla_canton,Both sexes,
2018,Number,tuzla_canton,Both sexes,
2010,Number,tuzla_canton,M,
2011,Number,tuzla_canton,M,
2012,Number,tuzla_canton,M,
2013,Number,tuzla_canton,M,
2014,Number,tuzla_canton,M,
2015,Number,tuzla_canton,M,
2016,Number,tuzla_canton,M,
2017,Number,tuzla_canton,M,
2018,Number,tuzla_canton,M,
2010,Number,tuzla_canton,F,
2011,Number,tuzla_canton,F,
2012,Number,tuzla_canton,F,
2013,Number,tuzla_canton,F,
2014,Number,tuzla_canton,F,
2015,Number,tuzla_canton,F,
2016,Number,tuzla_canton,F,
2017,Number,tuzla_canton,F,
2018,Number,tuzla_canton,F,
2010,Number,zenica-doboj_canton,Both sexes,
2011,Number,zenica-doboj_canton,Both sexes,
2012,Number,zenica-doboj_canton,Both sexes,
2013,Number,zenica-doboj_canton,Both sexes,
2014,Number,zenica-doboj_canton,Both sexes,
2015,Number,zenica-doboj_canton,Both sexes,
2016,Number,zenica-doboj_canton,Both sexes,
2017,Number,zenica-doboj_canton,Both sexes,
2018,Number,zenica-doboj_canton,Both sexes,
2010,Number,zenica-doboj_canton,M,
2011,Number,zenica-doboj_canton,M,
2012,Number,zenica-doboj_canton,M,
2013,Number,zenica-doboj_canton,M,
2014,Number,zenica-doboj_canton,M,
2015,Number,zenica-doboj_canton,M,
2016,Number,zenica-doboj_canton,M,
2017,Number,zenica-doboj_canton,M,
2018,Number,zenica-doboj_canton,M,
2010,Number,zenica-doboj_canton,F,
2011,Number,zenica-doboj_canton,F,
2012,Number,zenica-doboj_canton,F,
2013,Number,zenica-doboj_canton,F,
2014,Number,zenica-doboj_canton,F,
2015,Number,zenica-doboj_canton,F,
2016,Number,zenica-doboj_canton,F,
2017,Number,zenica-doboj_canton,F,
2018,Number,zenica-doboj_canton,F,
2010,Number,bosnian-podrinje_canton,Both sexes,
2011,Number,bosnian-podrinje_canton,Both sexes,
2012,Number,bosnian-podrinje_canton,Both sexes,
2013,Number,bosnian-podrinje_canton,Both sexes,
2014,Number,bosnian-podrinje_canton,Both sexes,
2015,Number,bosnian-podrinje_canton,Both sexes,
2016,Number,bosnian-podrinje_canton,Both sexes,
2017,Number,bosnian-podrinje_canton,Both sexes,
2018,Number,bosnian-podrinje_canton,Both sexes,
2010,Number,bosnian-podrinje_canton,M,
2011,Number,bosnian-podrinje_canton,M,
2012,Number,bosnian-podrinje_canton,M,
2013,Number,bosnian-podrinje_canton,M,
2014,Number,bosnian-podrinje_canton,M,
2015,Number,bosnian-podrinje_canton,M,
2016,Number,bosnian-podrinje_canton,M,
2017,Number,bosnian-podrinje_canton,M,
2018,Number,bosnian-podrinje_canton,M,
2010,Number,bosnian-podrinje_canton,F,
2011,Number,bosnian-podrinje_canton,F,
2012,Number,bosnian-podrinje_canton,F,
2013,Number,bosnian-podrinje_canton,F,
2014,Number,bosnian-podrinje_canton,F,
2015,Number,bosnian-podrinje_canton,F,
2016,Number,bosnian-podrinje_canton,F,
2017,Number,bosnian-podrinje_canton,F,
2018,Number,bosnian-podrinje_canton,F,
2010,Number,central_bosnia_canton,Both sexes,
2011,Number,central_bosnia_canton,Both sexes,
2012,Number,central_bosnia_canton,Both sexes,
2013,Number,central_bosnia_canton,Both sexes,
2014,Number,central_bosnia_canton,Both sexes,
2015,Number,central_bosnia_canton,Both sexes,
2016,Number,central_bosnia_canton,Both sexes,
2017,Number,central_bosnia_canton,Both sexes,
2018,Number,central_bosnia_canton,Both sexes,
2010,Number,central_bosnia_canton,M,
2011,Number,central_bosnia_canton,M,
2012,Number,central_bosnia_canton,M,
2013,Number,central_bosnia_canton,M,
2014,Number,central_bosnia_canton,M,
2015,Number,central_bosnia_canton,M,
2016,Number,central_bosnia_canton,M,
2017,Number,central_bosnia_canton,M,
2018,Number,central_bosnia_canton,M,
2010,Number,central_bosnia_canton,F,
2011,Number,central_bosnia_canton,F,
2012,Number,central_bosnia_canton,F,
2013,Number,central_bosnia_canton,F,
2014,Number,central_bosnia_canton,F,
2015,Number,central_bosnia_canton,F,
2016,Number,central_bosnia_canton,F,
2017,Number,central_bosnia_canton,F,
2018,Number,central_bosnia_canton,F,
2010,Number,herzegovina-neretva_canton,Both sexes,
2011,Number,herzegovina-neretva_canton,Both sexes,
2012,Number,herzegovina-neretva_canton,Both sexes,
2013,Number,herzegovina-neretva_canton,Both sexes,
2014,Number,herzegovina-neretva_canton,Both sexes,
2015,Number,herzegovina-neretva_canton,Both sexes,
2016,Number,herzegovina-neretva_canton,Both sexes,
2017,Number,herzegovina-neretva_canton,Both sexes,
2018,Number,herzegovina-neretva_canton,Both sexes,
2010,Number,herzegovina-neretva_canton,M,
2011,Number,herzegovina-neretva_canton,M,
2012,Number,herzegovina-neretva_canton,M,
2013,Number,herzegovina-neretva_canton,M,
2014,Number,herzegovina-neretva_canton,M,
2015,Number,herzegovina-neretva_canton,M,
2016,Number,herzegovina-neretva_canton,M,
2017,Number,herzegovina-neretva_canton,M,
2018,Number,herzegovina-neretva_canton,M,
2010,Number,herzegovina-neretva_canton,F,
2011,Number,herzegovina-neretva_canton,F,
2012,Number,herzegovina-neretva_canton,F,
2013,Number,herzegovina-neretva_canton,F,
2014,Number,herzegovina-neretva_canton,F,
2015,Number,herzegovina-neretva_canton,F,
2016,Number,herzegovina-neretva_canton,F,
2017,Number,herzegovina-neretva_canton,F,
2018,Number,herzegovina-neretva_canton,F,
2010,Number,west_herzegovina_canton,Both sexes,
2011,Number,west_herzegovina_canton,Both sexes,
2012,Number,west_herzegovina_canton,Both sexes,
2013,Number,west_herzegovina_canton,Both sexes,
2014,Number,west_herzegovina_canton,Both sexes,
2015,Number,west_herzegovina_canton,Both sexes,
2016,Number,west_herzegovina_canton,Both sexes,
2017,Number,west_herzegovina_canton,Both sexes,
2018,Number,west_herzegovina_canton,Both sexes,
2010,Number,west_herzegovina_canton,M,
2011,Number,west_herzegovina_canton,M,
2012,Number,west_herzegovina_canton,M,
2013,Number,west_herzegovina_canton,M,
2014,Number,west_herzegovina_canton,M,
2015,Number,west_herzegovina_canton,M,
2016,Number,west_herzegovina_canton,M,
2017,Number,west_herzegovina_canton,M,
2018,Number,west_herzegovina_canton,M,
2010,Number,west_herzegovina_canton,F,
2011,Number,west_herzegovina_canton,F,
2012,Number,west_herzegovina_canton,F,
2013,Number,west_herzegovina_canton,F,
2014,Number,west_herzegovina_canton,F,
2015,Number,west_herzegovina_canton,F,
2016,Number,west_herzegovina_canton,F,
2017,Number,west_herzegovina_canton,F,
2018,Number,west_herzegovina_canton,F,
2010,Number,sarajevo_canton,Both sexes,
2011,Number,sarajevo_canton,Both sexes,
2012,Number,sarajevo_canton,Both sexes,
2013,Number,sarajevo_canton,Both sexes,
2014,Number,sarajevo_canton,Both sexes,
2015,Number,sarajevo_canton,Both sexes,
2016,Number,sarajevo_canton,Both sexes,
2017,Number,sarajevo_canton,Both sexes,
2018,Number,sarajevo_canton,Both sexes,
2010,Number,sarajevo_canton,M,
2011,Number,sarajevo_canton,M,
2012,Number,sarajevo_canton,M,
2013,Number,sarajevo_canton,M,
2014,Number,sarajevo_canton,M,
2015,Number,sarajevo_canton,M,
2016,Number,sarajevo_canton,M,
2017,Number,sarajevo_canton,M,
2018,Number,sarajevo_canton,M,
2010,Number,sarajevo_canton,F,
2011,Number,sarajevo_canton,F,
2012,Number,sarajevo_canton,F,
2013,Number,sarajevo_canton,F,
2014,Number,sarajevo_canton,F,
2015,Number,sarajevo_canton,F,
2016,Number,sarajevo_canton,F,
2017,Number,sarajevo_canton,F,
2018,Number,sarajevo_canton,F,
2010,Number,canton_10,Both sexes,
2011,Number,canton_10,Both sexes,
2012,Number,canton_10,Both sexes,
2013,Number,canton_10,Both sexes,
2014,Number,canton_10,Both sexes,
2015,Number,canton_10,Both sexes,
2016,Number,canton_10,Both sexes,
2017,Number,canton_10,Both sexes,
2018,Number,canton_10,Both sexes,
2010,Number,canton_10,M,
2011,Number,canton_10,M,
2012,Number,canton_10,M,
