Year,UNIT_MEASURetype_of_institution,Value
2011,Number,Total
2012,Number,Total
2013,Number,Total
2014,Number,Total
2015,Number,Total
2016,Number,Total
2017,Number,Total
2018,Number,Total
2019,Number,Total
2020,Number,Total
2011,Number,Public
2012,Number,Public
2013,Number,Public
2014,Number,Public
2015,Number,Public
2016,Number,Public
2017,Number,Public
2018,Number,Public
2019,Number,Public
2020,Number,Public
2011,Number,Private
2012,Number,Private
2013,Number,Private
2014,Number,Private
2015,Number,Private
2016,Number,Private
2017,Number,Private
2018,Number,Private
2019,Number,Private
2020,Number,Private
