Year,UNIT_MEASURE,Administrativna oblast,scientific_field,Value
2010,Broj,federation_of_bih,Obrazovanje,
2010,Broj,federation_of_bih,Umjetnost i humanističke znanosti,
2010,Broj,federation_of_bih,"social_sciences,_journalism_and_information",
2010,Broj,federation_of_bih,"business,_administration_and_law",
2010,Broj,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2010,Broj,federation_of_bih,Informacijske i komunikacijske tehnologije,
2010,Broj,federation_of_bih,"engineering,_production_and_construction",
2010,Broj,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,federation_of_bih,Zdravstvo i socijalna skrb,
2010,Broj,federation_of_bih,Usluge,
2010,Broj,una-sana_canton,Obrazovanje,
2010,Broj,una-sana_canton,Umjetnost i humanističke znanosti,
2010,Broj,una-sana_canton,"social_sciences,_journalism_and_information",
2010,Broj,una-sana_canton,"business,_administration_and_law",
2010,Broj,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2010,Broj,una-sana_canton,Informacijske i komunikacijske tehnologije,
2010,Broj,una-sana_canton,"engineering,_production_and_construction",
2010,Broj,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,una-sana_canton,Zdravstvo i socijalna skrb,
2010,Broj,una-sana_canton,Usluge,
2010,Broj,tuzla_canton,Obrazovanje,
2010,Broj,tuzla_canton,Umjetnost i humanističke znanosti,
2010,Broj,tuzla_canton,"social_sciences,_journalism_and_information",
2010,Broj,tuzla_canton,"business,_administration_and_law",
2010,Broj,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2010,Broj,tuzla_canton,Informacijske i komunikacijske tehnologije,
2010,Broj,tuzla_canton,"engineering,_production_and_construction",
2010,Broj,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,tuzla_canton,Zdravstvo i socijalna skrb,
2010,Broj,tuzla_canton,Usluge,
2010,Broj,zenica-doboj_canton,Obrazovanje,
2010,Broj,zenica-doboj_canton,Umjetnost i humanističke znanosti,
2010,Broj,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2010,Broj,zenica-doboj_canton,"business,_administration_and_law",
2010,Broj,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2010,Broj,zenica-doboj_canton,Informacijske i komunikacijske tehnologije,
2010,Broj,zenica-doboj_canton,"engineering,_production_and_construction",
2010,Broj,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,zenica-doboj_canton,Zdravstvo i socijalna skrb,
2010,Broj,zenica-doboj_canton,Usluge,
2010,Broj,bosnian-podrinje_canton,Obrazovanje,
2010,Broj,bosnian-podrinje_canton,Umjetnost i humanističke znanosti,
2010,Broj,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2010,Broj,bosnian-podrinje_canton,"business,_administration_and_law",
2010,Broj,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2010,Broj,bosnian-podrinje_canton,Informacijske i komunikacijske tehnologije,
2010,Broj,bosnian-podrinje_canton,"engineering,_production_and_construction",
2010,Broj,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,bosnian-podrinje_canton,Zdravstvo i socijalna skrb,
2010,Broj,bosnian-podrinje_canton,Usluge,
2010,Broj,central_bosnia_canton,Obrazovanje,
2010,Broj,central_bosnia_canton,Umjetnost i humanističke znanosti,
2010,Broj,central_bosnia_canton,"social_sciences,_journalism_and_information",
2010,Broj,central_bosnia_canton,"business,_administration_and_law",
2010,Broj,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2010,Broj,central_bosnia_canton,Informacijske i komunikacijske tehnologije,
2010,Broj,central_bosnia_canton,"engineering,_production_and_construction",
2010,Broj,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Broj,central_bosnia_canton,Zdravstvo i socijalna skrb,
2010,Broj,central_bosnia_canton,Usluge,
2010,Broj,herzegovina-neretva_canton,Obrazovanje,
2010,Broj,herzegovina-neretva_canton,Umjetnost i humanističke znanosti,
2010,Broj,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2010,Broj,herzegovina-neretva_canton,"business,_administration_and_law",
