Year,UNIT_MEASURE,Административна јединица,Пољопривредна активност,Value
2013,Број,Федерација Босне и Херцеговине,Укупно,715739
2013,Број,Федерација Босне и Херцеговине,Обављање пољопривредне активности,217061
2013,Број,Федерација Босне и Херцеговине,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,30089
2013,Број,Унско-сански кантон,Укупно,78267
2013,Број,Унско-сански кантон,Обављање пољопривредне активности,23945
2013,Број,Унско-сански кантон,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,4547
2013,Број,Посавски кантон,Укупно,13313
2013,Број,Посавски кантон,Обављање пољопривредне активности,3960
2013,Број,Посавски кантон,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,834
2013,Број,Тузлански кантон,Укупно,150607
2013,Број,Тузлански кантон,Обављање пољопривредне активности,56033
2013,Број,Тузлански кантон,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,6242
2013,Број,Зеничко-добојски кантон,Укупно,121156
2013,Број,Зеничко-добојски кантон,Обављање пољопривредне активности,47622
2013,Број,Зеничко-добојски кантон,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,5385
2013,Број,Босанско-подрињски кантон,Укупно,8670
2013,Број,Босанско-подрињски кантон,Обављање пољопривредне активности,3373
2013,Број,Босанско-подрињски кантон,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,462
2013,Број,Средњобосански кантон,Укупно,77889
2013,Број,Средњобосански кантон,Обављање пољопривредне активности,31489
2013,Број,Средњобосански кантон,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,4989
2013,Број,Херцеговачко-неретвански кантон,Укупно,68121
2013,Број,Херцеговачко-неретвански кантон,Обављање пољопривредне активности,17696
2013,Број,Херцеговачко-неретвански кантон,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,3808
2013,Број,Западнохерцеговчки кантон,Укупно,25081
2013,Број,Западнохерцеговчки кантон,Обављање пољопривредне активности,9592
2013,Број,Западнохерцеговчки кантон,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,1161
2013,Број,Кантон Сарајево,Укупно,148871
2013,Број,Кантон Сарајево,Обављање пољопривредне активности,16112
2013,Број,Кантон Сарајево,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,1241
2013,Број,Кантон 10,Укупно,23764
2013,Број,Кантон 10,Обављање пољопривредне активности,7239
2013,Број,Кантон 10,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,1420
