Year,UNIT_MEASURE,Sex,Admin_Area,Births,Value
1996,NUMBER,T,federation_of_bih,LIVE_BIRTH,32614
1996,NUMBER,T,una-sana_canton,LIVE_BIRTH,4646
1996,NUMBER,T,posavina_canton,LIVE_BIRTH,43
1996,NUMBER,T,tuzla_canton,LIVE_BIRTH,6825
1996,NUMBER,T,zenica-doboj_canton,LIVE_BIRTH,7375
1996,NUMBER,T,bosnian-podrinje_canton,LIVE_BIRTH,495
1996,NUMBER,T,central_bosnia_canton,LIVE_BIRTH,4350
1996,NUMBER,T,herzegovina-neretva_canton,LIVE_BIRTH,2913
1996,NUMBER,T,west_herzegovina_canton,LIVE_BIRTH,950
1996,NUMBER,T,sarajevo_canton,LIVE_BIRTH,4154
1996,NUMBER,T,canton_10,LIVE_BIRTH,863
1996,NUMBER,M,federation_of_bih,LIVE_BIRTH,17120
1996,NUMBER,M,una-sana_canton,LIVE_BIRTH,2518
1996,NUMBER,M,posavina_canton,LIVE_BIRTH,23
1996,NUMBER,M,tuzla_canton,LIVE_BIRTH,3515
1996,NUMBER,M,zenica-doboj_canton,LIVE_BIRTH,3937
1996,NUMBER,M,bosnian-podrinje_canton,LIVE_BIRTH,249
1996,NUMBER,M,central_bosnia_canton,LIVE_BIRTH,2285
1996,NUMBER,M,herzegovina-neretva_canton,LIVE_BIRTH,1506
1996,NUMBER,M,west_herzegovina_canton,LIVE_BIRTH,506
1996,NUMBER,M,sarajevo_canton,LIVE_BIRTH,2133
1996,NUMBER,M,canton_10,LIVE_BIRTH,448
1996,NUMBER,F,federation_of_bih,LIVE_BIRTH,15494
1996,NUMBER,F,una-sana_canton,LIVE_BIRTH,2128
1996,NUMBER,F,posavina_canton,LIVE_BIRTH,20
1996,NUMBER,F,tuzla_canton,LIVE_BIRTH,3310
1996,NUMBER,F,zenica-doboj_canton,LIVE_BIRTH,3438
1996,NUMBER,F,bosnian-podrinje_canton,LIVE_BIRTH,246
1996,NUMBER,F,central_bosnia_canton,LIVE_BIRTH,2065
1996,NUMBER,F,herzegovina-neretva_canton,LIVE_BIRTH,1407
1996,NUMBER,F,west_herzegovina_canton,LIVE_BIRTH,444
1996,NUMBER,F,sarajevo_canton,LIVE_BIRTH,2021
1996,NUMBER,F,canton_10,LIVE_BIRTH,415
1997,NUMBER,T,federation_of_bih,LIVE_BIRTH,33003
1997,NUMBER,T,una-sana_canton,LIVE_BIRTH,5682
1997,NUMBER,T,posavina_canton,LIVE_BIRTH,22
1997,NUMBER,T,tuzla_canton,LIVE_BIRTH,5901
1997,NUMBER,T,zenica-doboj_canton,LIVE_BIRTH,6764
1997,NUMBER,T,bosnian-podrinje_canton,LIVE_BIRTH,482
1997,NUMBER,T,central_bosnia_canton,LIVE_BIRTH,4134
1997,NUMBER,T,herzegovina-neretva_canton,LIVE_BIRTH,2745
1997,NUMBER,T,west_herzegovina_canton,LIVE_BIRTH,1082
1997,NUMBER,T,sarajevo_canton,LIVE_BIRTH,5245
1997,NUMBER,T,canton_10,LIVE_BIRTH,946
1997,NUMBER,M,federation_of_bih,LIVE_BIRTH,17251
1997,NUMBER,M,una-sana_canton,LIVE_BIRTH,2930
1997,NUMBER,M,posavina_canton,LIVE_BIRTH,13
1997,NUMBER,M,tuzla_canton,LIVE_BIRTH,3097
1997,NUMBER,M,zenica-doboj_canton,LIVE_BIRTH,3486
1997,NUMBER,M,bosnian-podrinje_canton,LIVE_BIRTH,255
1997,NUMBER,M,central_bosnia_canton,LIVE_BIRTH,2200
1997,NUMBER,M,herzegovina-neretva_canton,LIVE_BIRTH,1482
1997,NUMBER,M,west_herzegovina_canton,LIVE_BIRTH,584
1997,NUMBER,M,sarajevo_canton,LIVE_BIRTH,2734
1997,NUMBER,M,canton_10,LIVE_BIRTH,470
1997,NUMBER,F,federation_of_bih,LIVE_BIRTH,15752
1997,NUMBER,F,una-sana_canton,LIVE_BIRTH,2752
1997,NUMBER,F,posavina_canton,LIVE_BIRTH,9
1997,NUMBER,F,tuzla_canton,LIVE_BIRTH,2804
1997,NUMBER,F,zenica-doboj_canton,LIVE_BIRTH,3278
1997,NUMBER,F,bosnian-podrinje_canton,LIVE_BIRTH,227
1997,NUMBER,F,central_bosnia_canton,LIVE_BIRTH,1934
1997,NUMBER,F,herzegovina-neretva_canton,LIVE_BIRTH,1263
1997,NUMBER,F,west_herzegovina_canton,LIVE_BIRTH,498
1997,NUMBER,F,sarajevo_canton,LIVE_BIRTH,2511
1997,NUMBER,F,canton_10,LIVE_BIRTH,476
1998,NUMBER,T,federation_of_bih,LIVE_BIRTH,30427
1998,NUMBER,T,una-sana_canton,LIVE_BIRTH,5158
1998,NUMBER,T,posavina_canton,LIVE_BIRTH,30
1998,NUMBER,T,tuzla_canton,LIVE_BIRTH,5858
1998,NUMBER,T,zenica-doboj_canton,LIVE_BIRTH,6068
1998,NUMBER,T,bosnian-podrinje_canton,LIVE_BIRTH,406
1998,NUMBER,T,central_bosnia_canton,LIVE_BIRTH,3765
1998,NUMBER,T,herzegovina-neretva_canton,LIVE_BIRTH,2526
1998,NUMBER,T,west_herzegovina_canton,LIVE_BIRTH,913
1998,NUMBER,T,sarajevo_canton,LIVE_BIRTH,4890
1998,NUMBER,T,canton_10,LIVE_BIRTH,813
1998,NUMBER,M,federation_of_bih,LIVE_BIRTH,15811
1998,NUMBER,M,una-sana_canton,LIVE_BIRTH,442
1998,NUMBER,M,posavina_canton,LIVE_BIRTH,14
1998,NUMBER,M,tuzla_canton,LIVE_BIRTH,3032
1998,NUMBER,M,zenica-doboj_canton,LIVE_BIRTH,3169
1998,NUMBER,M,bosnian-podrinje_canton,LIVE_BIRTH,216
1998,NUMBER,M,central_bosnia_canton,LIVE_BIRTH,1904
1998,NUMBER,M,herzegovina-neretva_canton,LIVE_BIRTH,1272
1998,NUMBER,M,west_herzegovina_canton,LIVE_BIRTH,470
1998,NUMBER,M,sarajevo_canton,LIVE_BIRTH,2558
1998,NUMBER,M,canton_10,LIVE_BIRTH,442
1998,NUMBER,F,federation_of_bih,LIVE_BIRTH,14616
1998,NUMBER,F,una-sana_canton,LIVE_BIRTH,371
1998,NUMBER,F,posavina_canton,LIVE_BIRTH,16
1998,NUMBER,F,tuzla_canton,LIVE_BIRTH,2826
1998,NUMBER,F,zenica-doboj_canton,LIVE_BIRTH,2899
1998,NUMBER,F,bosnian-podrinje_canton,LIVE_BIRTH,190
1998,NUMBER,F,central_bosnia_canton,LIVE_BIRTH,1861
1998,NUMBER,F,herzegovina-neretva_canton,LIVE_BIRTH,1254
1998,NUMBER,F,west_herzegovina_canton,LIVE_BIRTH,443
1998,NUMBER,F,sarajevo_canton,LIVE_BIRTH,2332
1998,NUMBER,F,canton_10,LIVE_BIRTH,371
1999,NUMBER,T,federation_of_bih,LIVE_BIRTH,27614
1999,NUMBER,T,una-sana_canton,LIVE_BIRTH,4675
1999,NUMBER,T,posavina_canton,LIVE_BIRTH,302
1999,NUMBER,T,tuzla_canton,LIVE_BIRTH,5627
1999,NUMBER,T,zenica-doboj_canton,LIVE_BIRTH,5124
1999,NUMBER,T,bosnian-podrinje_canton,LIVE_BIRTH,360
1999,NUMBER,T,central_bosnia_canton,LIVE_BIRTH,3439
1999,NUMBER,T,herzegovina-neretva_canton,LIVE_BIRTH,2012
1999,NUMBER,T,west_herzegovina_canton,LIVE_BIRTH,654
1999,NUMBER,T,sarajevo_canton,LIVE_BIRTH,4621
1999,NUMBER,T,canton_10,LIVE_BIRTH,800
1999,NUMBER,M,federation_of_bih,LIVE_BIRTH,14046
1999,NUMBER,M,una-sana_canton,LIVE_BIRTH,2366
1999,NUMBER,M,posavina_canton,LIVE_BIRTH,159
1999,NUMBER,M,tuzla_canton,LIVE_BIRTH,2885
1999,NUMBER,M,zenica-doboj_canton,LIVE_BIRTH,2648
1999,NUMBER,M,bosnian-podrinje_canton,LIVE_BIRTH,183
1999,NUMBER,M,central_bosnia_canton,LIVE_BIRTH,1747
1999,NUMBER,M,herzegovina-neretva_canton,LIVE_BIRTH,1013
1999,NUMBER,M,west_herzegovina_canton,LIVE_BIRTH,1013
1999,NUMBER,M,sarajevo_canton,LIVE_BIRTH,2338
1999,NUMBER,M,canton_10,LIVE_BIRTH,394
1999,NUMBER,F,federation_of_bih,LIVE_BIRTH,13568
1999,NUMBER,F,una-sana_canton,LIVE_BIRTH,2309
1999,NUMBER,F,posavina_canton,LIVE_BIRTH,143
1999,NUMBER,F,tuzla_canton,LIVE_BIRTH,2742
1999,NUMBER,F,zenica-doboj_canton,LIVE_BIRTH,2476
1999,NUMBER,F,bosnian-podrinje_canton,LIVE_BIRTH,177
1999,NUMBER,F,central_bosnia_canton,LIVE_BIRTH,1692
1999,NUMBER,F,herzegovina-neretva_canton,LIVE_BIRTH,999
1999,NUMBER,F,west_herzegovina_canton,LIVE_BIRTH,999
1999,NUMBER,F,sarajevo_canton,LIVE_BIRTH,2283
1999,NUMBER,F,canton_10,LIVE_BIRTH,406
2000,NUMBER,T,federation_of_bih,LIVE_BIRTH,25255
2000,NUMBER,T,una-sana_canton,LIVE_BIRTH,3722
2000,NUMBER,T,posavina_canton,LIVE_BIRTH,344
2000,NUMBER,T,tuzla_canton,LIVE_BIRTH,5373
2000,NUMBER,T,zenica-doboj_canton,LIVE_BIRTH,4708
2000,NUMBER,T,bosnian-podrinje_canton,LIVE_BIRTH,306
2000,NUMBER,T,central_bosnia_canton,LIVE_BIRTH,3119
2000,NUMBER,T,herzegovina-neretva_canton,LIVE_BIRTH,2118
2000,NUMBER,T,west_herzegovina_canton,LIVE_BIRTH,572
2000,NUMBER,T,sarajevo_canton,LIVE_BIRTH,4268
2000,NUMBER,T,canton_10,LIVE_BIRTH,725
2000,NUMBER,M,federation_of_bih,LIVE_BIRTH,13026
2000,NUMBER,M,una-sana_canton,LIVE_BIRTH,1901
2000,NUMBER,M,posavina_canton,LIVE_BIRTH,195
2000,NUMBER,M,tuzla_canton,LIVE_BIRTH,2739
2000,NUMBER,M,zenica-doboj_canton,LIVE_BIRTH,2408
2000,NUMBER,M,bosnian-podrinje_canton,LIVE_BIRTH,152
2000,NUMBER,M,central_bosnia_canton,LIVE_BIRTH,1628
2000,NUMBER,M,herzegovina-neretva_canton,LIVE_BIRTH,1130
2000,NUMBER,M,west_herzegovina_canton,LIVE_BIRTH,287
2000,NUMBER,M,sarajevo_canton,LIVE_BIRTH,2206
2000,NUMBER,M,canton_10,LIVE_BIRTH,380
2000,NUMBER,F,federation_of_bih,LIVE_BIRTH,12229
2000,NUMBER,F,una-sana_canton,LIVE_BIRTH,1821
2000,NUMBER,F,posavina_canton,LIVE_BIRTH,149
2000,NUMBER,F,tuzla_canton,LIVE_BIRTH,2634
2000,NUMBER,F,zenica-doboj_canton,LIVE_BIRTH,2300
2000,NUMBER,F,bosnian-podrinje_canton,LIVE_BIRTH,154
2000,NUMBER,F,central_bosnia_canton,LIVE_BIRTH,1491
2000,NUMBER,F,herzegovina-neretva_canton,LIVE_BIRTH,988
2000,NUMBER,F,west_herzegovina_canton,LIVE_BIRTH,285
2000,NUMBER,F,sarajevo_canton,LIVE_BIRTH,2062
2000,NUMBER,F,canton_10,LIVE_BIRTH,345
2001,NUMBER,T,federation_of_bih,LIVE_BIRTH,23881
2001,NUMBER,T,una-sana_canton,LIVE_BIRTH,3497
2001,NUMBER,T,posavina_canton,LIVE_BIRTH,338
2001,NUMBER,T,tuzla_canton,LIVE_BIRTH,5162
2001,NUMBER,T,zenica-doboj_canton,LIVE_BIRTH,4481
2001,NUMBER,T,bosnian-podrinje_canton,LIVE_BIRTH,296
2001,NUMBER,T,central_bosnia_canton,LIVE_BIRTH,2979
2001,NUMBER,T,herzegovina-neretva_canton,LIVE_BIRTH,2043
2001,NUMBER,T,west_herzegovina_canton,LIVE_BIRTH,569
2001,NUMBER,T,sarajevo_canton,LIVE_BIRTH,3878
2001,NUMBER,T,canton_10,LIVE_BIRTH,638
2001,NUMBER,M,federation_of_bih,LIVE_BIRTH,12278
2001,NUMBER,M,una-sana_canton,LIVE_BIRTH,1802
2001,NUMBER,M,posavina_canton,LIVE_BIRTH,181
2001,NUMBER,M,tuzla_canton,LIVE_BIRTH,2678
2001,NUMBER,M,zenica-doboj_canton,LIVE_BIRTH,2292
2001,NUMBER,M,bosnian-podrinje_canton,LIVE_BIRTH,140
2001,NUMBER,M,central_bosnia_canton,LIVE_BIRTH,1561
2001,NUMBER,M,herzegovina-neretva_canton,LIVE_BIRTH,1008
2001,NUMBER,M,west_herzegovina_canton,LIVE_BIRTH,300
2001,NUMBER,M,sarajevo_canton,LIVE_BIRTH,1999
2001,NUMBER,M,canton_10,LIVE_BIRTH,317
2001,NUMBER,F,federation_of_bih,LIVE_BIRTH,11603
2001,NUMBER,F,una-sana_canton,LIVE_BIRTH,1695
2001,NUMBER,F,posavina_canton,LIVE_BIRTH,157
2001,NUMBER,F,tuzla_canton,LIVE_BIRTH,2484
2001,NUMBER,F,zenica-doboj_canton,LIVE_BIRTH,2189
2001,NUMBER,F,bosnian-podrinje_canton,LIVE_BIRTH,156
2001,NUMBER,F,central_bosnia_canton,LIVE_BIRTH,1418
2001,NUMBER,F,herzegovina-neretva_canton,LIVE_BIRTH,1035
2001,NUMBER,F,west_herzegovina_canton,LIVE_BIRTH,269
2001,NUMBER,F,sarajevo_canton,LIVE_BIRTH,1879
2001,NUMBER,F,canton_10,LIVE_BIRTH,321
2002,NUMBER,T,federation_of_bih,LIVE_BIRTH,23058
2002,NUMBER,T,una-sana_canton,LIVE_BIRTH,3208
2002,NUMBER,T,posavina_canton,LIVE_BIRTH,363
2002,NUMBER,T,tuzla_canton,LIVE_BIRTH,5079
2002,NUMBER,T,zenica-doboj_canton,LIVE_BIRTH,4195
2002,NUMBER,T,bosnian-podrinje_canton,LIVE_BIRTH,230
2002,NUMBER,T,central_bosnia_canton,LIVE_BIRTH,2873
2002,NUMBER,T,herzegovina-neretva_canton,LIVE_BIRTH,2130
2002,NUMBER,T,west_herzegovina_canton,LIVE_BIRTH,569
2002,NUMBER,T,sarajevo_canton,LIVE_BIRTH,3840
2002,NUMBER,T,canton_10,LIVE_BIRTH,571
2002,NUMBER,M,federation_of_bih,LIVE_BIRTH,11829
2002,NUMBER,M,una-sana_canton,LIVE_BIRTH,1650
2002,NUMBER,M,posavina_canton,LIVE_BIRTH,184
2002,NUMBER,M,tuzla_canton,LIVE_BIRTH,2575
2002,NUMBER,M,zenica-doboj_canton,LIVE_BIRTH,2140
2002,NUMBER,M,bosnian-podrinje_canton,LIVE_BIRTH,126
2002,NUMBER,M,central_bosnia_canton,LIVE_BIRTH,1491
2002,NUMBER,M,herzegovina-neretva_canton,LIVE_BIRTH,1092
2002,NUMBER,M,west_herzegovina_canton,LIVE_BIRTH,273
2002,NUMBER,M,sarajevo_canton,LIVE_BIRTH,2009
2002,NUMBER,M,canton_10,LIVE_BIRTH,289
2002,NUMBER,F,federation_of_bih,LIVE_BIRTH,11229
2002,NUMBER,F,una-sana_canton,LIVE_BIRTH,1558
2002,NUMBER,F,posavina_canton,LIVE_BIRTH,179
2002,NUMBER,F,tuzla_canton,LIVE_BIRTH,2504
2002,NUMBER,F,zenica-doboj_canton,LIVE_BIRTH,2055
2002,NUMBER,F,bosnian-podrinje_canton,LIVE_BIRTH,104
2002,NUMBER,F,central_bosnia_canton,LIVE_BIRTH,1382
2002,NUMBER,F,herzegovina-neretva_canton,LIVE_BIRTH,1038
2002,NUMBER,F,west_herzegovina_canton,LIVE_BIRTH,296
2002,NUMBER,F,sarajevo_canton,LIVE_BIRTH,1831
2002,NUMBER,F,canton_10,LIVE_BIRTH,282
2003,NUMBER,T,federation_of_bih,LIVE_BIRTH,22953
2003,NUMBER,T,una-sana_canton,LIVE_BIRTH,3156
2003,NUMBER,T,posavina_canton,LIVE_BIRTH,313
2003,NUMBER,T,tuzla_canton,LIVE_BIRTH,4931
2003,NUMBER,T,zenica-doboj_canton,LIVE_BIRTH,4106
