Year,UNIT_MEASURE,Admin_Area,Sex,Value
2010,NUMBER,federation_of_bih,_T,58
2011,NUMBER,federation_of_bih,_T,66
2012,NUMBER,federation_of_bih,_T,134
2013,NUMBER,federation_of_bih,_T,380
2014,NUMBER,federation_of_bih,_T,571
2015,NUMBER,federation_of_bih,_T,597
2016,NUMBER,federation_of_bih,_T,599
2017,NUMBER,federation_of_bih,_T,627
2018,NUMBER,federation_of_bih,_T,603
2019,NUMBER,federation_of_bih,_T,898
2020,NUMBER,federation_of_bih,_T,909
2021,NUMBER,federation_of_bih,_T,753
2022,NUMBER,federation_of_bih,_T,783
2023,NUMBER,federation_of_bih,_T,741
2010,NUMBER,federation_of_bih,M,18
2011,NUMBER,federation_of_bih,M,22
2012,NUMBER,federation_of_bih,M,44
2013,NUMBER,federation_of_bih,M,121
2014,NUMBER,federation_of_bih,M,190
2015,NUMBER,federation_of_bih,M,155
2016,NUMBER,federation_of_bih,M,160
2017,NUMBER,federation_of_bih,M,206
2018,NUMBER,federation_of_bih,M,191
2019,NUMBER,federation_of_bih,M,319
2020,NUMBER,federation_of_bih,M,333
2021,NUMBER,federation_of_bih,M,218
2022,NUMBER,federation_of_bih,M,217
2023,NUMBER,federation_of_bih,M,203
2010,NUMBER,federation_of_bih,F,40
2011,NUMBER,federation_of_bih,F,44
2012,NUMBER,federation_of_bih,F,90
2013,NUMBER,federation_of_bih,F,259
2014,NUMBER,federation_of_bih,F,381
2015,NUMBER,federation_of_bih,F,442
2016,NUMBER,federation_of_bih,F,439
2017,NUMBER,federation_of_bih,F,421
2018,NUMBER,federation_of_bih,F,412
2019,NUMBER,federation_of_bih,F,579
2020,NUMBER,federation_of_bih,F,576
2021,NUMBER,federation_of_bih,F,535
2022,NUMBER,federation_of_bih,F,566
2023,NUMBER,federation_of_bih,F,538
2013,NUMBER,tuzla_canton,_T,202
2014,NUMBER,tuzla_canton,_T,154
2015,NUMBER,tuzla_canton,_T,198
2016,NUMBER,tuzla_canton,_T,215
2017,NUMBER,tuzla_canton,_T,187
