Year,UNIT_MEASURE,Administrative Area,Household agricultural activity,Value
2013,Number,Federation of Bosnia and Herzegovina,Total,715739
2013,Number,Federation of Bosnia and Herzegovina,Engaged in agricultural activities,217061
2013,Number,Federation of Bosnia and Herzegovina,Engaged in agricultural activities and sell their products in the market,30089
2013,Number,Una-Sana Canton,Total,78267
2013,Number,Una-Sana Canton,Engaged in agricultural activities,23945
2013,Number,Una-Sana Canton,Engaged in agricultural activities and sell their products in the market,4547
2013,Number,Posavina Canton,Total,13313
2013,Number,Posavina Canton,Engaged in agricultural activities,3960
2013,Number,Posavina Canton,Engaged in agricultural activities and sell their products in the market,834
2013,Number,Tuzla Canton,Total,150607
2013,Number,Tuzla Canton,Engaged in agricultural activities,56033
2013,Number,Tuzla Canton,Engaged in agricultural activities and sell their products in the market,6242
2013,Number,Zenica-Doboj Canton,Total,121156
2013,Number,Zenica-Doboj Canton,Engaged in agricultural activities,47622
2013,Number,Zenica-Doboj Canton,Engaged in agricultural activities and sell their products in the market,5385
2013,Number,Bosnian-Podrinje Canton,Total,8670
2013,Number,Bosnian-Podrinje Canton,Engaged in agricultural activities,3373
2013,Number,Bosnian-Podrinje Canton,Engaged in agricultural activities and sell their products in the market,462
2013,Number,Central Bosnia Canton,Total,77889
2013,Number,Central Bosnia Canton,Engaged in agricultural activities,31489
2013,Number,Central Bosnia Canton,Engaged in agricultural activities and sell their products in the market,4989
2013,Number,Herzegovina-Neretva Canton,Total,68121
2013,Number,Herzegovina-Neretva Canton,Engaged in agricultural activities,17696
2013,Number,Herzegovina-Neretva Canton,Engaged in agricultural activities and sell their products in the market,3808
2013,Number,West Herzegovina Canton,Total,25081
2013,Number,West Herzegovina Canton,Engaged in agricultural activities,9592
2013,Number,West Herzegovina Canton,Engaged in agricultural activities and sell their products in the market,1161
2013,Number,Sarajevo Canton,Total,148871
2013,Number,Sarajevo Canton,Engaged in agricultural activities,16112
2013,Number,Sarajevo Canton,Engaged in agricultural activities and sell their products in the market,1241
2013,Number,Canton 10,Total,23764
2013,Number,Canton 10,Engaged in agricultural activities,7239
2013,Number,Canton 10,Engaged in agricultural activities and sell their products in the market,1420
