Year,UNIT_MEASURE,Sex,Age,Cause of death,Value
2008,Number,Both sexes,Total,(H00-H59) Diseases of the eye,1.0
2008,Number,Both sexes,Total,"(O00-O99) Pregnancy, childbirth and the puerperium",3.0
2008,Number,Both sexes,Total,(A00-B99) Infectious and parasitic diseases,154.0
2008,Number,Both sexes,Total,"(C00-C97,D00-D48) Neoplasms",3832.0
2008,Number,Both sexes,Total,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",27.0
2008,Number,Both sexes,Total,(E00-E90) Endocrine metabolic and nutritional diseases,774.0
2008,Number,Both sexes,Total,(F00-F99) Mental and behavioural disorders,61.0
2008,Number,Both sexes,Total,(G00-G99) Diseases of the nervous system,141.0
2008,Number,Both sexes,Total,(I00-I99) Diseases of the circulatory system,10509.0
2008,Number,Both sexes,Total,(J00-J99) Diseases of the respiratory system,558.0
2008,Number,Both sexes,Total,(K00-K93) Diseases of the digestive system,468.0
2008,Number,Both sexes,Total,(L00-L99) Diseases of the skin and subcutaneous tissue,8.0
2008,Number,Both sexes,Total,(M00-M99) Diseases of the musculoskeletal system and connective tissue,23.0
2008,Number,Both sexes,Total,(N00-N99) Diseases of the genitourinary system,279.0
2008,Number,Both sexes,Total,(P00-P96) Certain conditions originating in the perinatal period,116.0
2008,Number,Both sexes,Total,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",46.0
2008,Number,Both sexes,Total,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",1062.0
2008,Number,Both sexes,Total,Unknown,813.0
2008,Number,Both sexes,Total,"(S00-T98) Injuries, poisoning and consequences of external causes",605.0
2008,Number,M,Total,"(O00-O99) Pregnancy, childbirth and the puerperium",0.0
2008,Number,M,Total,(H00-H59) Diseases of the eye,0.0
2008,Number,M,Total,(L00-L99) Diseases of the skin and subcutaneous tissue,3.0
2008,Number,M,Total,"(S00-T98) Injuries, poisoning and consequences of external causes",483.0
2008,Number,M,Total,(A00-B99) Infectious and parasitic diseases,96.0
2008,Number,M,Total,"(C00-C97,D00-D48) Neoplasms",2286.0
2008,Number,M,Total,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",12.0
2008,Number,M,Total,(E00-E90) Endocrine metabolic and nutritional diseases,298.0
2008,Number,M,Total,(F00-F99) Mental and behavioural disorders,38.0
2008,Number,M,Total,(G00-G99) Diseases of the nervous system,76.0
2008,Number,M,Total,(I00-I99) Diseases of the circulatory system,4949.0
2008,Number,M,Total,(J00-J99) Diseases of the respiratory system,336.0
2008,Number,M,Total,(K00-K93) Diseases of the digestive system,270.0
2008,Number,M,Total,(M00-M99) Diseases of the musculoskeletal system and connective tissue,11.0
2008,Number,M,Total,(N00-N99) Diseases of the genitourinary system,137.0
2008,Number,M,Total,(P00-P96) Certain conditions originating in the perinatal period,63.0
2008,Number,M,Total,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",27.0
2008,Number,M,Total,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",542.0
2008,Number,M,Total,Unknown,443.0
2008,Number,F,Total,(H00-H59) Diseases of the eye,1.0
2008,Number,F,Total,"(O00-O99) Pregnancy, childbirth and the puerperium",3.0
2008,Number,F,Total,(L00-L99) Diseases of the skin and subcutaneous tissue,5.0
2008,Number,F,Total,(A00-B99) Infectious and parasitic diseases,58.0
2008,Number,F,Total,"(C00-C97,D00-D48) Neoplasms",1546.0
2008,Number,F,Total,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",15.0
2008,Number,F,Total,(E00-E90) Endocrine metabolic and nutritional diseases,476.0
2008,Number,F,Total,(F00-F99) Mental and behavioural disorders,23.0
2008,Number,F,Total,(G00-G99) Diseases of the nervous system,65.0
2008,Number,F,Total,(I00-I99) Diseases of the circulatory system,5560.0
2008,Number,F,Total,(J00-J99) Diseases of the respiratory system,222.0
2008,Number,F,Total,(K00-K93) Diseases of the digestive system,198.0
2008,Number,F,Total,(M00-M99) Diseases of the musculoskeletal system and connective tissue,12.0
2008,Number,F,Total,(N00-N99) Diseases of the genitourinary system,142.0
2008,Number,F,Total,(P00-P96) Certain conditions originating in the perinatal period,53.0
2008,Number,F,Total,"(Q00-Q99) Congenital malformations, deformations and chromosomal abnormalities",19.0
2008,Number,F,Total,"(R00-R99) Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",520.0
2008,Number,F,Total,"(S00-T98) Injuries, poisoning and consequences of external causes",122.0
2008,Number,F,Total,Unknown,370.0
2008,Number,Both sexes,0,(L00-L99) Diseases of the skin and subcutaneous tissue,0.0
2008,Number,Both sexes,0,(H00-H59) Diseases of the eye,0.0
2008,Number,Both sexes,0,"(O00-O99) Pregnancy, childbirth and the puerperium",0.0
2008,Number,Both sexes,0,"(D50-D89) Diseases of the blood and blood-forming organs, disorders involving the immune mechanism",0.0
