Year,Value,UNIT_MEASURE
1996,25.7,permil
1997,68.4,permil
1998,77.1,permil
1999,84.1,permil
2000,84.9,permil
2001,100.8,permil
2002,110.5,permil
2003,89.6,permil
2004,62.6,permil
2005,70.9,permil
2006,71.7,permil
2007,69.6,permil
2008,62.9,permil
2009,58.9,permil
2010,76.5,permil
2011,97.0,permil
2012,97.5,permil
2013,119.8,permil
2014,110.2,permil
2015,115.8,permil
2016,113.0,permil
2017,132.8,permil
2018,139.6,permil
2019,136.4,permil
2020,142.8,permil
2021,137.4,permil
2022,154.3,permil
2023,173.0,permil
