Year,UNIT_MEASURE,Vrsta obrazovanja,Spol,Value
2018,Broj,Ukupno,Oba spola,12083
2018,Broj,education,Oba spola,1188
2018,Broj,arts_and_humanities,Oba spola,1348
2018,Broj,social_sciences_journalism_and_information,Oba spola,1800
2018,Broj,business_administration_and_the_law_of_everything,Oba spola,2411
2018,Broj,natural_sciences_mathematics_and_statistics_of_all,Oba spola,673
2018,Broj,information_and_communication_technologies,Oba spola,578
2018,Broj,engineering_manufacturing_and_construction,Oba spola,1879
2018,Broj,agriculture_forestry_fisheries_and_veterinary_medicine,Oba spola,694
2018,Broj,health_and_social_protection,Oba spola,1050
2018,Broj,services,Oba spola,390
2018,Broj,Nepoznato,Oba spola,72
2018,Broj,Ukupno,M,4563
2018,Broj,education,M,286
2018,Broj,arts_and_humanities,M,393
2018,Broj,social_sciences_journalism_and_information,M,627
2018,Broj,business_administration_and_the_law_of_everything,M,864
2018,Broj,natural_sciences_mathematics_and_statistics_of_all,M,176
2018,Broj,information_and_communication_technologies,M,350
2018,Broj,engineering_manufacturing_and_construction,M,1100
2018,Broj,agriculture_forestry_fisheries_and_veterinary_medicine,M,303
2018,Broj,health_and_social_protection,M,231
2018,Broj,services,M,209
2018,Broj,Nepoznato,M,24
2018,Broj,Ukupno,Ž,7520
2018,Broj,education,Ž,902
2018,Broj,arts_and_humanities,Ž,955
2018,Broj,social_sciences_journalism_and_information,Ž,1173
2018,Broj,business_administration_and_the_law_of_everything,Ž,1547
2018,Broj,natural_sciences_mathematics_and_statistics_of_all,Ž,497
2018,Broj,information_and_communication_technologies,Ž,228
2018,Broj,engineering_manufacturing_and_construction,Ž,779
2018,Broj,agriculture_forestry_fisheries_and_veterinary_medicine,Ž,391
2018,Broj,health_and_social_protection,Ž,819
2018,Broj,services,Ž,181
2018,Broj,Nepoznato,Ž,48
2019,Broj,Ukupno,Oba spola,12449
2019,Broj,education,Oba spola,1129
2019,Broj,arts_and_humanities,Oba spola,1387
2019,Broj,social_sciences_journalism_and_information,Oba spola,1737
2019,Broj,business_administration_and_the_law_of_everything,Oba spola,2522
2019,Broj,natural_sciences_mathematics_and_statistics_of_all,Oba spola,659
2019,Broj,information_and_communication_technologies,Oba spola,505
2019,Broj,engineering_manufacturing_and_construction,Oba spola,1927
2019,Broj,agriculture_forestry_fisheries_and_veterinary_medicine,Oba spola,737
2019,Broj,health_and_social_protection,Oba spola,1158
2019,Broj,services,Oba spola,603
2019,Broj,Nepoznato,Oba spola,85
2019,Broj,Ukupno,M,4808
2019,Broj,education,M,324
2019,Broj,arts_and_humanities,M,448
2019,Broj,social_sciences_journalism_and_information,M,629
2019,Broj,business_administration_and_the_law_of_everything,M,877
2019,Broj,natural_sciences_mathematics_and_statistics_of_all,M,171
2019,Broj,information_and_communication_technologies,M,314
2019,Broj,engineering_manufacturing_and_construction,M,1103
2019,Broj,agriculture_forestry_fisheries_and_veterinary_medicine,M,316
2019,Broj,health_and_social_protection,M,271
2019,Broj,services,M,328
2019,Broj,Nepoznato,M,27
2019,Broj,Ukupno,Ž,7641
2019,Broj,education,Ž,805
2019,Broj,arts_and_humanities,Ž,939
2019,Broj,social_sciences_journalism_and_information,Ž,1108
2019,Broj,business_administration_and_the_law_of_everything,Ž,1645
2019,Broj,natural_sciences_mathematics_and_statistics_of_all,Ž,488
2019,Broj,information_and_communication_technologies,Ž,191
2019,Broj,engineering_manufacturing_and_construction,Ž,824
2019,Broj,agriculture_forestry_fisheries_and_veterinary_medicine,Ž,421
2019,Broj,health_and_social_protection,Ž,887
2019,Broj,services,Ž,275
2019,Broj,Nepoznato,Ž,58
2020,Broj,Ukupno,Oba spola,13192
2020,Broj,education,Oba spola,1268
2020,Broj,arts_and_humanities,Oba spola,1329
2020,Broj,social_sciences_journalism_and_information,Oba spola,1932
2020,Broj,business_administration_and_the_law_of_everything,Oba spola,2514
2020,Broj,natural_sciences_mathematics_and_statistics_of_all,Oba spola,686
2020,Broj,information_and_communication_technologies,Oba spola,582
2020,Broj,engineering_manufacturing_and_construction,Oba spola,1971
2020,Broj,agriculture_forestry_fisheries_and_veterinary_medicine,Oba spola,751
2020,Broj,health_and_social_protection,Oba spola,1345
2020,Broj,services,Oba spola,749
2020,Broj,Nepoznato,Oba spola,65
2020,Broj,Ukupno,M,4945
2020,Broj,education,M,323
2020,Broj,arts_and_humanities,M,458
2020,Broj,social_sciences_journalism_and_information,M,690
2020,Broj,business_administration_and_the_law_of_everything,M,837
2020,Broj,natural_sciences_mathematics_and_statistics_of_all,M,194
2020,Broj,information_and_communication_technologies,M,364
2020,Broj,engineering_manufacturing_and_construction,M,1116
2020,Broj,agriculture_forestry_fisheries_and_veterinary_medicine,M,325
2020,Broj,health_and_social_protection,M,244
2020,Broj,services,M,372
2020,Broj,Nepoznato,M,22
2020,Broj,Ukupno,Ž,8247
2020,Broj,education,Ž,945
2020,Broj,arts_and_humanities,Ž,871
2020,Broj,social_sciences_journalism_and_information,Ž,1242
2020,Broj,business_administration_and_the_law_of_everything,Ž,1677
2020,Broj,natural_sciences_mathematics_and_statistics_of_all,Ž,492
2020,Broj,information_and_communication_technologies,Ž,218
2020,Broj,engineering_manufacturing_and_construction,Ž,855
2020,Broj,agriculture_forestry_fisheries_and_veterinary_medicine,Ž,426
2020,Broj,health_and_social_protection,Ž,1101
2020,Broj,services,Ž,377
2020,Broj,Nepoznato,Ž,43
