Year,UNIT_MEASURE,Admin_Area,Spol,Value
2001,Broj,Županija Tuzlanska,M,11941.0
2001,Broj,Županija Zeničko-dobojska,M,51720.0
2001,Broj,Županija Bosansko-podrinjska,M,
2001,Broj,Županija Srednjobosanska,M,9183.0
2001,Broj,Županija Hercegovačko-neretvanska,M,12154.0
2001,Broj,Županija Zapadno-hercegovačka,M,304.0
2001,Broj,Sarajevska županija,M,81369.0
2001,Broj,Županija 10,M,1171.0
2001,Broj,Federacija Bosne i Hercegovine,Ž,116084.0
2001,Broj,Županija Unsko-sanska,Ž,5707.0
2001,Broj,Županija Posavska,Ž,675.0
2001,Broj,Županija Tuzlanska,Ž,16424.0
2001,Broj,Županija Zeničko-dobojska,Ž,42785.0
2001,Broj,Županija Bosansko-podrinjska,Ž,
2001,Broj,Županija Srednjobosanska,Ž,12038.0
2001,Broj,Županija Hercegovačko-neretvanska,Ž,14937.0
2001,Broj,Županija Zapadno-hercegovačka,Ž,323.0
2001,Broj,Sarajevska županija,Ž,21857.0
2001,Broj,Županija 10,Ž,1338.0
2002,Broj,Federacija Bosne i Hercegovine,Oba spola,278769.0
2002,Broj,Županija Unsko-sanska,Oba spola,13413.0
2002,Broj,Županija Posavska,Oba spola,445.0
2002,Broj,Županija Tuzlanska,Oba spola,27426.0
2002,Broj,Županija Zeničko-dobojska,Oba spola,90861.0
2002,Broj,Županija Bosansko-podrinjska,Oba spola,
2002,Broj,Županija Srednjobosanska,Oba spola,25509.0
2002,Broj,Županija Hercegovačko-neretvanska,Oba spola,33238.0
2002,Broj,Županija Zapadno-hercegovačka,Oba spola,1435.0
2002,Broj,Sarajevska županija,Oba spola,84101.0
2002,Broj,Županija 10,Oba spola,2341.0
2002,Broj,Federacija Bosne i Hercegovine,M,149039.0
2002,Broj,Županija Unsko-sanska,M,6158.0
2002,Broj,Županija Posavska,M,209.0
2002,Broj,Županija Tuzlanska,M,11177.0
2002,Broj,Županija Zeničko-dobojska,M,47241.0
2002,Broj,Županija Bosansko-podrinjska,M,
2002,Broj,Županija Srednjobosanska,M,12470.0
2002,Broj,Županija Hercegovačko-neretvanska,M,14442.0
2002,Broj,Županija Zapadno-hercegovačka,M,799.0
2002,Broj,Sarajevska županija,M,55462.0
2002,Broj,Županija 10,M,1081.0
2002,Broj,Federacija Bosne i Hercegovine,Ž,129730.0
2002,Broj,Županija Unsko-sanska,Ž,7255.0
2002,Broj,Županija Posavska,Ž,236.0
2002,Broj,Županija Tuzlanska,Ž,16249.0
2002,Broj,Županija Zeničko-dobojska,Ž,43620.0
2002,Broj,Županija Bosansko-podrinjska,Ž,
2002,Broj,Županija Srednjobosanska,Ž,13039.0
2002,Broj,Županija Hercegovačko-neretvanska,Ž,18796.0
2002,Broj,Županija Zapadno-hercegovačka,Ž,636.0
2002,Broj,Sarajevska županija,Ž,28639.0
2002,Broj,Županija 10,Ž,1260.0
2003,Broj,Federacija Bosne i Hercegovine,Oba spola,289167.0
2003,Broj,Županija Unsko-sanska,Oba spola,31374.0
2003,Broj,Županija Posavska,Oba spola,63.0
2003,Broj,Županija Tuzlanska,Oba spola,28411.0
2003,Broj,Županija Zeničko-dobojska,Oba spola,94539.0
2003,Broj,Županija Bosansko-podrinjska,Oba spola,
2003,Broj,Županija Srednjobosanska,Oba spola,17320.0
2003,Broj,Županija Hercegovačko-neretvanska,Oba spola,31978.0
2003,Broj,Županija Zapadno-hercegovačka,Oba spola,1733.0
2003,Broj,Sarajevska županija,Oba spola,81448.0
2003,Broj,Županija 10,Oba spola,2301.0
2003,Broj,Federacija Bosne i Hercegovine,M,156012.0
2003,Broj,Županija Unsko-sanska,M,21833.0
2003,Broj,Županija Posavska,M,26.0
2003,Broj,Županija Tuzlanska,M,11375.0
2003,Broj,Županija Zeničko-dobojska,M,49827.0
2003,Broj,Županija Bosansko-podrinjska,M,
2003,Broj,Županija Srednjobosanska,M,8597.0
2003,Broj,Županija Hercegovačko-neretvanska,M,14707.0
2003,Broj,Županija Zapadno-hercegovačka,M,1020.0
2003,Broj,Sarajevska županija,M,47683.0
2003,Broj,Županija 10,M,944.0
2003,Broj,Federacija Bosne i Hercegovine,Ž,133155.0
2003,Broj,Županija Unsko-sanska,Ž,9541.0
2003,Broj,Županija Posavska,Ž,37.0
2003,Broj,Županija Tuzlanska,Ž,17036.0
2003,Broj,Županija Zeničko-dobojska,Ž,44712.0
2003,Broj,Županija Bosansko-podrinjska,Ž,
2003,Broj,Županija Srednjobosanska,Ž,8723.0
2003,Broj,Županija Hercegovačko-neretvanska,Ž,17271.0
2003,Broj,Županija Zapadno-hercegovačka,Ž,713.0
2003,Broj,Sarajevska županija,Ž,33765.0
2003,Broj,Županija 10,Ž,1357.0
2004,Broj,Federacija Bosne i Hercegovine,Oba spola,270507.0
2004,Broj,Županija Unsko-sanska,Oba spola,15996.0
2004,Broj,Županija Posavska,Oba spola,94.0
2004,Broj,Županija Tuzlanska,Oba spola,29152.0
2004,Broj,Županija Zeničko-dobojska,Oba spola,86461.0
2004,Broj,Županija Bosansko-podrinjska,Oba spola,
2004,Broj,Županija Srednjobosanska,Oba spola,15487.0
2004,Broj,Županija Hercegovačko-neretvanska,Oba spola,26784.0
2004,Broj,Županija Zapadno-hercegovačka,Oba spola,1826.0
2004,Broj,Sarajevska županija,Oba spola,92390.0
2004,Broj,Županija 10,Oba spola,2317.0
2004,Broj,Federacija Bosne i Hercegovine,M,140214.0
2004,Broj,Županija Unsko-sanska,M,4970.0
2004,Broj,Županija Posavska,M,35.0
2004,Broj,Županija Tuzlanska,M,13090.0
2004,Broj,Županija Zeničko-dobojska,M,43327.0
2004,Broj,Županija Bosansko-podrinjska,M,
2004,Broj,Županija Srednjobosanska,M,7645.0
2004,Broj,Županija Hercegovačko-neretvanska,M,13121.0
2004,Broj,Županija Zapadno-hercegovačka,M,1053.0
2004,Broj,Sarajevska županija,M,56016.0
2004,Broj,Županija 10,M,957.0
2004,Broj,Federacija Bosne i Hercegovine,Ž,130293.0
2004,Broj,Županija Unsko-sanska,Ž,11026.0
2004,Broj,Županija Posavska,Ž,59.0
2004,Broj,Županija Tuzlanska,Ž,16062.0
2004,Broj,Županija Zeničko-dobojska,Ž,43134.0
2004,Broj,Županija Bosansko-podrinjska,Ž,
2004,Broj,Županija Srednjobosanska,Ž,7842.0
2004,Broj,Županija Hercegovačko-neretvanska,Ž,13663.0
2004,Broj,Županija Zapadno-hercegovačka,Ž,773.0
2004,Broj,Sarajevska županija,Ž,36374.0
2004,Broj,Županija 10,Ž,1360.0
2005,Broj,Federacija Bosne i Hercegovine,Oba spola,249848.0
2005,Broj,Županija Unsko-sanska,Oba spola,17657.0
2005,Broj,Županija Posavska,Oba spola,120.0
2005,Broj,Županija Tuzlanska,Oba spola,31339.0
2005,Broj,Županija Zeničko-dobojska,Oba spola,71895.0
2005,Broj,Županija Bosansko-podrinjska,Oba spola,
2005,Broj,Županija Srednjobosanska,Oba spola,16422.0
2005,Broj,Županija Hercegovačko-neretvanska,Oba spola,19460.0
2005,Broj,Županija Zapadno-hercegovačka,Oba spola,1894.0
2005,Broj,Sarajevska županija,Oba spola,88769.0
2005,Broj,Županija 10,Oba spola,2292.0
2005,Broj,Federacija Bosne i Hercegovine,M,126173.0
2005,Broj,Županija Unsko-sanska,M,5530.0
2005,Broj,Županija Posavska,M,51.0
2005,Broj,Županija Tuzlanska,M,13199.0
2005,Broj,Županija Zeničko-dobojska,M,36270.0
2005,Broj,Županija Bosansko-podrinjska,M,
2005,Broj,Županija Srednjobosanska,M,7964.0
2005,Broj,Županija Hercegovačko-neretvanska,M,8200.0
2005,Broj,Županija Zapadno-hercegovačka,M,1097.0
2005,Broj,Sarajevska županija,M,52885.0
2005,Broj,Županija 10,M,977.0
2005,Broj,Federacija Bosne i Hercegovine,Ž,123675.0
2005,Broj,Županija Unsko-sanska,Ž,12127.0
2005,Broj,Županija Posavska,Ž,69.0
2005,Broj,Županija Tuzlanska,Ž,18140.0
2005,Broj,Županija Zeničko-dobojska,Ž,35625.0
2005,Broj,Županija Bosansko-podrinjska,Ž,
2005,Broj,Županija Srednjobosanska,Ž,8458.0
2005,Broj,Županija Hercegovačko-neretvanska,Ž,11260.0
2005,Broj,Županija Zapadno-hercegovačka,Ž,797.0
2005,Broj,Sarajevska županija,Ž,35884.0
2005,Broj,Županija 10,Ž,1315.0
2006,Broj,Federacija Bosne i Hercegovine,Oba spola,333918.0
2006,Broj,Županija Unsko-sanska,Oba spola,21373.0
2006,Broj,Županija Posavska,Oba spola,136.0
2006,Broj,Županija Tuzlanska,Oba spola,48970.0
2006,Broj,Županija Zeničko-dobojska,Oba spola,100693.0
2006,Broj,Županija Bosansko-podrinjska,Oba spola,
2006,Broj,Županija Srednjobosanska,Oba spola,18658.0
2006,Broj,Županija Hercegovačko-neretvanska,Oba spola,21145.0
2006,Broj,Županija Zapadno-hercegovačka,Oba spola,2345.0
2006,Broj,Sarajevska županija,Oba spola,117743.0
2006,Broj,Županija 10,Oba spola,2855.0
2006,Broj,Federacija Bosne i Hercegovine,M,188431.0
2006,Broj,Županija Unsko-sanska,M,8672.0
2006,Broj,Županija Posavska,M,136.0
2006,Broj,Županija Tuzlanska,M,26081.0
2006,Broj,Županija Zeničko-dobojska,M,57897.0
2006,Broj,Županija Bosansko-podrinjska,M,
2006,Broj,Županija Srednjobosanska,M,8419.0
2006,Broj,Županija Hercegovačko-neretvanska,M,10559.0
2006,Broj,Županija Zapadno-hercegovačka,M,1460.0
2006,Broj,Sarajevska županija,M,73991.0
2006,Broj,Županija 10,M,1219.0
2006,Broj,Federacija Bosne i Hercegovine,Ž,145487.0
2006,Broj,Županija Unsko-sanska,Ž,12701.0
2006,Broj,Županija Posavska,Ž,0.0
2006,Broj,Županija Tuzlanska,Ž,22889.0
2006,Broj,Županija Zeničko-dobojska,Ž,42796.0
2006,Broj,Županija Bosansko-podrinjska,Ž,
2006,Broj,Županija Srednjobosanska,Ž,10239.0
2006,Broj,Županija Hercegovačko-neretvanska,Ž,10586.0
2006,Broj,Županija Zapadno-hercegovačka,Ž,885.0
2006,Broj,Sarajevska županija,Ž,43752.0
2006,Broj,Županija 10,Ž,1636.0
2007,Broj,Federacija Bosne i Hercegovine,Oba spola,334660.0
2007,Broj,Županija Unsko-sanska,Oba spola,17226.0
2007,Broj,Županija Posavska,Oba spola,1287.0
2007,Broj,Županija Tuzlanska,Oba spola,46851.0
2007,Broj,Županija Zeničko-dobojska,Oba spola,77762.0
2007,Broj,Županija Bosansko-podrinjska,Oba spola,
2007,Broj,Županija Srednjobosanska,Oba spola,19464.0
2007,Broj,Županija Hercegovačko-neretvanska,Oba spola,21708.0
2007,Broj,Županija Zapadno-hercegovačka,Oba spola,2560.0
2007,Broj,Sarajevska županija,Oba spola,144940.0
2007,Broj,Županija 10,Oba spola,2862.0
2007,Broj,Federacija Bosne i Hercegovine,M,183592.0
2007,Broj,Županija Unsko-sanska,M,7586.0
2007,Broj,Županija Posavska,M,481.0
2007,Broj,Županija Tuzlanska,M,21048.0
2007,Broj,Županija Zeničko-dobojska,M,39940.0
2007,Broj,Županija Bosansko-podrinjska,M,
2007,Broj,Županija Srednjobosanska,M,8681.0
2007,Broj,Županija Hercegovačko-neretvanska,M,9489.0
2007,Broj,Županija Zapadno-hercegovačka,M,1579.0
2007,Broj,Sarajevska županija,M,93705.0
2007,Broj,Županija 10,M,1083.0
2007,Broj,Federacija Bosne i Hercegovine,Ž,151068.0
2007,Broj,Županija Unsko-sanska,Ž,9640.0
2007,Broj,Županija Posavska,Ž,806.0
2007,Broj,Županija Tuzlanska,Ž,25803.0
2007,Broj,Županija Zeničko-dobojska,Ž,37822.0
2007,Broj,Županija Bosansko-podrinjska,Ž,
2007,Broj,Županija Srednjobosanska,Ž,10783.0
2007,Broj,Županija Hercegovačko-neretvanska,Ž,12219.0
2007,Broj,Županija Zapadno-hercegovačka,Ž,981.0
2007,Broj,Sarajevska županija,Ž,51235.0
2007,Broj,Županija 10,Ž,1779.0
2008,Broj,Federacija Bosne i Hercegovine,Oba spola,340152.0
2008,Broj,Županija Unsko-sanska,Oba spola,17453.0
2008,Broj,Županija Posavska,Oba spola,892.0
2008,Broj,Županija Tuzlanska,Oba spola,55890.0
2008,Broj,Županija Zeničko-dobojska,Oba spola,70513.0
2008,Broj,Županija Bosansko-podrinjska,Oba spola,
2008,Broj,Županija Srednjobosanska,Oba spola,22556.0
2008,Broj,Županija Hercegovačko-neretvanska,Oba spola,15078.0
2008,Broj,Županija Zapadno-hercegovačka,Oba spola,2765.0
2008,Broj,Sarajevska županija,Oba spola,152336.0
2008,Broj,Županija 10,Oba spola,2669.0
2008,Broj,Federacija Bosne i Hercegovine,M,182103.0
2008,Broj,Županija Unsko-sanska,M,8106.0
2008,Broj,Županija Posavska,M,371.0
2008,Broj,Županija Tuzlanska,M,23290.0
2008,Broj,Županija Zeničko-dobojska,M,35712.0
2008,Broj,Županija Bosansko-podrinjska,M,
2008,Broj,Županija Srednjobosanska,M,9089.0
2008,Broj,Županija Hercegovačko-neretvanska,M,6274.0
2008,Broj,Županija Zapadno-hercegovačka,M,1620.0
2008,Broj,Sarajevska županija,M,96671.0
2008,Broj,Županija 10,M,970.0
2008,Broj,Federacija Bosne i Hercegovine,Ž,158049.0
2008,Broj,Županija Unsko-sanska,Ž,9347.0
2008,Broj,Županija Posavska,Ž,521.0
2008,Broj,Županija Tuzlanska,Ž,32600.0
2008,Broj,Županija Zeničko-dobojska,Ž,34801.0
2008,Broj,Županija Bosansko-podrinjska,Ž,
2008,Broj,Županija Srednjobosanska,Ž,13467.0
2008,Broj,Županija Hercegovačko-neretvanska,Ž,8804.0
2008,Broj,Županija Zapadno-hercegovačka,Ž,1145.0
2008,Broj,Sarajevska županija,Ž,55665.0
2008,Broj,Županija 10,Ž,1699.0
2009,Broj,Federacija Bosne i Hercegovine,Oba spola,403628.0
2009,Broj,Županija Unsko-sanska,Oba spola,20080.0
2009,Broj,Županija Posavska,Oba spola,538.0
2009,Broj,Županija Tuzlanska,Oba spola,68873.0
2009,Broj,Županija Zeničko-dobojska,Oba spola,83298.0
2009,Broj,Županija Bosansko-podrinjska,Oba spola,
2009,Broj,Županija Srednjobosanska,Oba spola,22343.0
2009,Broj,Županija Hercegovačko-neretvanska,Oba spola,14039.0
2009,Broj,Županija Zapadno-hercegovačka,Oba spola,2897.0
2009,Broj,Sarajevska županija,Oba spola,188504.0
2009,Broj,Županija 10,Oba spola,3056.0
2009,Broj,Federacija Bosne i Hercegovine,M,198035.0
2009,Broj,Županija Unsko-sanska,M,7518.0
2009,Broj,Županija Posavska,M,210.0
2009,Broj,Županija Tuzlanska,M,32281.0
2009,Broj,Županija Zeničko-dobojska,M,41961.0
2009,Broj,Županija Bosansko-podrinjska,M,
2009,Broj,Županija Srednjobosanska,M,9826.0
2009,Broj,Županija Hercegovačko-neretvanska,M,5819.0
2009,Broj,Županija Zapadno-hercegovačka,M,1511.0
2009,Broj,Sarajevska županija,M,97779.0
2009,Broj,Županija 10,M,1130.0
2009,Broj,Federacija Bosne i Hercegovine,Ž,205593.0
2009,Broj,Županija Unsko-sanska,Ž,12562.0
2009,Broj,Županija Posavska,Ž,328.0
2009,Broj,Županija Tuzlanska,Ž,36592.0
2009,Broj,Županija Zeničko-dobojska,Ž,41337.0
2009,Broj,Županija Bosansko-podrinjska,Ž,
2009,Broj,Županija Srednjobosanska,Ž,12517.0
2009,Broj,Županija Hercegovačko-neretvanska,Ž,8220.0
2009,Broj,Županija Zapadno-hercegovačka,Ž,1386.0
2009,Broj,Sarajevska županija,Ž,90725.0
2009,Broj,Županija 10,Ž,1926.0
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,368808.0
2010,Broj,Županija Unsko-sanska,Oba spola,19595.0
2010,Broj,Županija Posavska,Oba spola,830.0
2010,Broj,Županija Tuzlanska,Oba spola,68396.0
2010,Broj,Županija Zeničko-dobojska,Oba spola,76610.0
2010,Broj,Županija Bosansko-podrinjska,Oba spola,
2010,Broj,Županija Srednjobosanska,Oba spola,17177.0
2010,Broj,Županija Hercegovačko-neretvanska,Oba spola,14923.0
2010,Broj,Županija Zapadno-hercegovačka,Oba spola,3684.0
2010,Broj,Sarajevska županija,Oba spola,164918.0
2010,Broj,Županija 10,Oba spola,2675.0
2010,Broj,Federacija Bosne i Hercegovine,M,174999.0
2010,Broj,Županija Unsko-sanska,M,7579.0
2010,Broj,Županija Posavska,M,295.0
2010,Broj,Županija Tuzlanska,M,29285.0
2010,Broj,Županija Zeničko-dobojska,M,35188.0
2010,Broj,Županija Bosansko-podrinjska,M,
2010,Broj,Županija Srednjobosanska,M,7780.0
2010,Broj,Županija Hercegovačko-neretvanska,M,3427.0
2010,Broj,Županija Zapadno-hercegovačka,M,2148.0
2010,Broj,Sarajevska županija,M,88379.0
2010,Broj,Županija 10,M,918.0
2010,Broj,Federacija Bosne i Hercegovine,Ž,193809.0
2010,Broj,Županija Unsko-sanska,Ž,12016.0
2010,Broj,Županija Posavska,Ž,535.0
2010,Broj,Županija Tuzlanska,Ž,39111.0
2010,Broj,Županija Zeničko-dobojska,Ž,41422.0
2010,Broj,Županija Bosansko-podrinjska,Ž,
2010,Broj,Županija Srednjobosanska,Ž,9397.0
2010,Broj,Županija Hercegovačko-neretvanska,Ž,11496.0
2010,Broj,Županija Zapadno-hercegovačka,Ž,1536.0
2010,Broj,Sarajevska županija,Ž,76539.0
2010,Broj,Županija 10,Ž,1757.0
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,344976.0
2011,Broj,Županija Unsko-sanska,Oba spola,21212.0
2011,Broj,Županija Posavska,Oba spola,228.0
2011,Broj,Županija Tuzlanska,Oba spola,79042.0
2011,Broj,Županija Zeničko-dobojska,Oba spola,73550.0
2011,Broj,Županija Bosansko-podrinjska,Oba spola,
2011,Broj,Županija Srednjobosanska,Oba spola,11560.0
2011,Broj,Županija Hercegovačko-neretvanska,Oba spola,15304.0
2011,Broj,Županija Zapadno-hercegovačka,Oba spola,3174.0
2011,Broj,Sarajevska županija,Oba spola,137012.0
2011,Broj,Županija 10,Oba spola,3894.0
2011,Broj,Federacija Bosne i Hercegovine,M,162768.0
2011,Broj,Županija Unsko-sanska,M,8760.0
2011,Broj,Županija Posavska,M,93.0
2011,Broj,Županija Tuzlanska,M,31106.0
2011,Broj,Županija Zeničko-dobojska,M,35157.0
2011,Broj,Županija Bosansko-podrinjska,M,
2011,Broj,Županija Srednjobosanska,M,5787.0
2011,Broj,Županija Hercegovačko-neretvanska,M,6800.0
2011,Broj,Županija Zapadno-hercegovačka,M,1583.0
2011,Broj,Sarajevska županija,M,71509.0
2011,Broj,Županija 10,M,1973.0
2011,Broj,Federacija Bosne i Hercegovine,Ž,182208.0
2011,Broj,Županija Unsko-sanska,Ž,12452.0
2011,Broj,Županija Posavska,Ž,135.0
2011,Broj,Županija Tuzlanska,Ž,47936.0
2011,Broj,Županija Zeničko-dobojska,Ž,38393.0
2011,Broj,Županija Bosansko-podrinjska,Ž,
2011,Broj,Županija Srednjobosanska,Ž,5773.0
2011,Broj,Županija Hercegovačko-neretvanska,Ž,8504.0
2011,Broj,Županija Zapadno-hercegovačka,Ž,1591.0
2011,Broj,Sarajevska županija,Ž,65503.0
2011,Broj,Županija 10,Ž,1921.0
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,364552.0
2012,Broj,Županija Unsko-sanska,Oba spola,18348.0
2012,Broj,Županija Posavska,Oba spola,350.0
2012,Broj,Županija Tuzlanska,Oba spola,87038.0
2012,Broj,Županija Zeničko-dobojska,Oba spola,61780.0
2012,Broj,Županija Bosansko-podrinjska,Oba spola,
2012,Broj,Županija Srednjobosanska,Oba spola,20320.0
2012,Broj,Županija Hercegovačko-neretvanska,Oba spola,13180.0
2012,Broj,Županija Zapadno-hercegovačka,Oba spola,3944.0
2012,Broj,Sarajevska županija,Oba spola,155065.0
2012,Broj,Županija 10,Oba spola,4527.0
2012,Broj,Federacija Bosne i Hercegovine,M,184723.0
2012,Broj,Županija Unsko-sanska,M,7074.0
2012,Broj,Županija Posavska,M,170.0
2012,Broj,Županija Tuzlanska,M,40077.0
2012,Broj,Županija Zeničko-dobojska,M,28689.0
2012,Broj,Županija Bosansko-podrinjska,M,
2012,Broj,Županija Srednjobosanska,M,9341.0
2012,Broj,Županija Hercegovačko-neretvanska,M,4865.0
2012,Broj,Županija Zapadno-hercegovačka,M,2260.0
2012,Broj,Sarajevska županija,M,89973.0
2012,Broj,Županija 10,M,2274.0
2012,Broj,Federacija Bosne i Hercegovine,Ž,179829.0
2012,Broj,Županija Unsko-sanska,Ž,11274.0
2012,Broj,Županija Posavska,Ž,180.0
2012,Broj,Županija Tuzlanska,Ž,46961.0
2012,Broj,Županija Zeničko-dobojska,Ž,33091.0
2012,Broj,Županija Bosansko-podrinjska,Ž,
2012,Broj,Županija Srednjobosanska,Ž,10979.0
2012,Broj,Županija Hercegovačko-neretvanska,Ž,8315.0
2012,Broj,Županija Zapadno-hercegovačka,Ž,1684.0
2012,Broj,Sarajevska županija,Ž,65092.0
2012,Broj,Županija 10,Ž,2253.0
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,312990.0
2013,Broj,Županija Unsko-sanska,Oba spola,20984.0
2013,Broj,Županija Posavska,Oba spola,423.0
2013,Broj,Županija Tuzlanska,Oba spola,73700.0
2013,Broj,Županija Zeničko-dobojska,Oba spola,64654.0
