Year,UNIT_MEASURE,Spol,Value
1996,‰,Oba spola,13.8
1997,‰,Oba spola,13.0
1998,‰,Oba spola,12.1
1999,‰,Oba spola,11.2
2000,‰,Oba spola,11.0
2001,‰,Oba spola,8.9
2002,‰,Oba spola,10.5
2003,‰,Oba spola,8.7
2004,‰,Oba spola,8.5
2005,‰,Oba spola,8.8
2006,‰,Oba spola,9.5
2007,‰,Oba spola,8.9
2008,‰,Oba spola,8.5
2009,‰,Oba spola,7.6
2010,‰,Oba spola,7.7
2011,‰,Oba spola,6.6
2012,‰,Oba spola,6.5
2013,‰,Oba spola,7.3
2014,‰,Oba spola,6.4
2015,‰,Oba spola,8.0
2016,‰,Oba spola,7.5
2017,‰,Oba spola,8.2
2018,‰,Oba spola,8.4
2019,‰,Oba spola,9.3
2020,‰,Oba spola,6.9
2021,‰,Oba spola,5.9
2022,‰,Oba spola,6.5
1996,‰,M,14.5
1997,‰,M,15.4
1998,‰,M,14.4
1999,‰,M,12.2
2000,‰,M,12.5
2001,‰,M,9.6
2002,‰,M,11.6
2003,‰,M,10.1
2004,‰,M,9.3
2005,‰,M,10.0
2006,‰,M,11.3
2007,‰,M,10.1
2008,‰,M,9.4
2009,‰,M,7.3
2010,‰,M,9.1
2011,‰,M,7.7
2012,‰,M,7.6
2013,‰,M,8.5
2014,‰,M,6.2
2015,‰,M,8.5
2016,‰,M,8.5
2017,‰,M,8.5
2018,‰,M,8.3
2019,‰,M,9.5
2020,‰,M,8.0
2021,‰,M,6.5
2022,‰,M,6.9
1996,‰,Ž,13.1
1997,‰,Ž,10.3
1998,‰,Ž,9.7
1999,‰,Ž,10.1
2000,‰,Ž,9.5
2001,‰,Ž,8.2
2002,‰,Ž,9.5
2003,‰,Ž,7.2
2004,‰,Ž,7.7
2005,‰,Ž,7.6
2006,‰,Ž,7.5
2007,‰,Ž,7.6
2008,‰,Ž,7.5
2009,‰,Ž,7.8
2010,‰,Ž,6.2
2011,‰,Ž,5.5
2012,‰,Ž,5.2
2013,‰,Ž,6.2
2014,‰,Ž,6.6
2015,‰,Ž,7.4
2016,‰,Ž,6.4
2017,‰,Ž,7.8
2018,‰,Ž,8.4
2019,‰,Ž,9.0
2020,‰,Ž,5.8
2021,‰,Ž,5.2
2022,‰,Ž,6.1
