Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,15622.0
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,15574.0
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,15224.0
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,15417.0
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,15461.0
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,14908.0
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,15153.0
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,15272.0
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,15455.0
2010,Broj,Federacija Bosne i Hercegovine,M,4620.0
2011,Broj,Federacija Bosne i Hercegovine,M,4624.0
2012,Broj,Federacija Bosne i Hercegovine,M,4425.0
2013,Broj,Federacija Bosne i Hercegovine,M,4439.0
2014,Broj,Federacija Bosne i Hercegovine,M,4362.0
2015,Broj,Federacija Bosne i Hercegovine,M,4172.0
2016,Broj,Federacija Bosne i Hercegovine,M,4200.0
2017,Broj,Federacija Bosne i Hercegovine,M,4187.0
2018,Broj,Federacija Bosne i Hercegovine,M,4160.0
2010,Broj,Federacija Bosne i Hercegovine,Ž,11002.0
2011,Broj,Federacija Bosne i Hercegovine,Ž,10950.0
2012,Broj,Federacija Bosne i Hercegovine,Ž,10799.0
2013,Broj,Federacija Bosne i Hercegovine,Ž,10978.0
2014,Broj,Federacija Bosne i Hercegovine,Ž,11099.0
2015,Broj,Federacija Bosne i Hercegovine,Ž,10736.0
2016,Broj,Federacija Bosne i Hercegovine,Ž,10953.0
2017,Broj,Federacija Bosne i Hercegovine,Ž,11085.0
2018,Broj,Federacija Bosne i Hercegovine,Ž,11295.0
2010,Broj,Unsko-sanska županija,Oba spola,
2011,Broj,Unsko-sanska županija,Oba spola,
2012,Broj,Unsko-sanska županija,Oba spola,
2013,Broj,Unsko-sanska županija,Oba spola,
2014,Broj,Unsko-sanska županija,Oba spola,
2015,Broj,Unsko-sanska županija,Oba spola,
2016,Broj,Unsko-sanska županija,Oba spola,
2017,Broj,Unsko-sanska županija,Oba spola,
2018,Broj,Unsko-sanska županija,Oba spola,
2010,Broj,Unsko-sanska županija,M,
2011,Broj,Unsko-sanska županija,M,
2012,Broj,Unsko-sanska županija,M,
2013,Broj,Unsko-sanska županija,M,
2014,Broj,Unsko-sanska županija,M,
2015,Broj,Unsko-sanska županija,M,
2016,Broj,Unsko-sanska županija,M,
2017,Broj,Unsko-sanska županija,M,
2018,Broj,Unsko-sanska županija,M,
2010,Broj,Unsko-sanska županija,Ž,
2011,Broj,Unsko-sanska županija,Ž,
2012,Broj,Unsko-sanska županija,Ž,
2013,Broj,Unsko-sanska županija,Ž,
2014,Broj,Unsko-sanska županija,Ž,
2015,Broj,Unsko-sanska županija,Ž,
2016,Broj,Unsko-sanska županija,Ž,
2017,Broj,Unsko-sanska županija,Ž,
2018,Broj,Unsko-sanska županija,Ž,
2010,Broj,Posavska županija,Oba spola,
2011,Broj,Posavska županija,Oba spola,
2012,Broj,Posavska županija,Oba spola,
2013,Broj,Posavska županija,Oba spola,
2014,Broj,Posavska županija,Oba spola,
2015,Broj,Posavska županija,Oba spola,
2016,Broj,Posavska županija,Oba spola,
2017,Broj,Posavska županija,Oba spola,
2018,Broj,Posavska županija,Oba spola,
2010,Broj,Posavska županija,M,
2011,Broj,Posavska županija,M,
2012,Broj,Posavska županija,M,
2013,Broj,Posavska županija,M,
2014,Broj,Posavska županija,M,
2015,Broj,Posavska županija,M,
2016,Broj,Posavska županija,M,
2017,Broj,Posavska županija,M,
2018,Broj,Posavska županija,M,
2010,Broj,Posavska županija,Ž,
2011,Broj,Posavska županija,Ž,
2012,Broj,Posavska županija,Ž,
2013,Broj,Posavska županija,Ž,
2014,Broj,Posavska županija,Ž,
2015,Broj,Posavska županija,Ž,
2016,Broj,Posavska županija,Ž,
2017,Broj,Posavska županija,Ž,
2018,Broj,Posavska županija,Ž,
2010,Broj,Tuzlanska županija,Oba spola,
2011,Broj,Tuzlanska županija,Oba spola,
2012,Broj,Tuzlanska županija,Oba spola,
2013,Broj,Tuzlanska županija,Oba spola,
2014,Broj,Tuzlanska županija,Oba spola,
2015,Broj,Tuzlanska županija,Oba spola,
2016,Broj,Tuzlanska županija,Oba spola,
2017,Broj,Tuzlanska županija,Oba spola,
2018,Broj,Tuzlanska županija,Oba spola,
2010,Broj,Tuzlanska županija,M,
2011,Broj,Tuzlanska županija,M,
2012,Broj,Tuzlanska županija,M,
2013,Broj,Tuzlanska županija,M,
2014,Broj,Tuzlanska županija,M,
2015,Broj,Tuzlanska županija,M,
2016,Broj,Tuzlanska županija,M,
2017,Broj,Tuzlanska županija,M,
2018,Broj,Tuzlanska županija,M,
2010,Broj,Tuzlanska županija,Ž,
2011,Broj,Tuzlanska županija,Ž,
2012,Broj,Tuzlanska županija,Ž,
2013,Broj,Tuzlanska županija,Ž,
2014,Broj,Tuzlanska županija,Ž,
2015,Broj,Tuzlanska županija,Ž,
2016,Broj,Tuzlanska županija,Ž,
2017,Broj,Tuzlanska županija,Ž,
2018,Broj,Tuzlanska županija,Ž,
2010,Broj,Zeničko-dobojska županija,Oba spola,
2011,Broj,Zeničko-dobojska županija,Oba spola,
2012,Broj,Zeničko-dobojska županija,Oba spola,
2013,Broj,Zeničko-dobojska županija,Oba spola,
2014,Broj,Zeničko-dobojska županija,Oba spola,
2015,Broj,Zeničko-dobojska županija,Oba spola,
2016,Broj,Zeničko-dobojska županija,Oba spola,
2017,Broj,Zeničko-dobojska županija,Oba spola,
2018,Broj,Zeničko-dobojska županija,Oba spola,
2010,Broj,Zeničko-dobojska županija,M,
2011,Broj,Zeničko-dobojska županija,M,
2012,Broj,Zeničko-dobojska županija,M,
2013,Broj,Zeničko-dobojska županija,M,
2014,Broj,Zeničko-dobojska županija,M,
2015,Broj,Zeničko-dobojska županija,M,
2016,Broj,Zeničko-dobojska županija,M,
2017,Broj,Zeničko-dobojska županija,M,
2018,Broj,Zeničko-dobojska županija,M,
2010,Broj,Zeničko-dobojska županija,Ž,
2011,Broj,Zeničko-dobojska županija,Ž,
2012,Broj,Zeničko-dobojska županija,Ž,
2013,Broj,Zeničko-dobojska županija,Ž,
2014,Broj,Zeničko-dobojska županija,Ž,
2015,Broj,Zeničko-dobojska županija,Ž,
2016,Broj,Zeničko-dobojska županija,Ž,
2017,Broj,Zeničko-dobojska županija,Ž,
2018,Broj,Zeničko-dobojska županija,Ž,
2010,Broj,Bosansko-podrinjska županija,Oba spola,
2011,Broj,Bosansko-podrinjska županija,Oba spola,
2012,Broj,Bosansko-podrinjska županija,Oba spola,
2013,Broj,Bosansko-podrinjska županija,Oba spola,
2014,Broj,Bosansko-podrinjska županija,Oba spola,
2015,Broj,Bosansko-podrinjska županija,Oba spola,
2016,Broj,Bosansko-podrinjska županija,Oba spola,
2017,Broj,Bosansko-podrinjska županija,Oba spola,
2018,Broj,Bosansko-podrinjska županija,Oba spola,
2010,Broj,Bosansko-podrinjska županija,M,
2011,Broj,Bosansko-podrinjska županija,M,
2012,Broj,Bosansko-podrinjska županija,M,
2013,Broj,Bosansko-podrinjska županija,M,
2014,Broj,Bosansko-podrinjska županija,M,
2015,Broj,Bosansko-podrinjska županija,M,
