Year,UNIT_MEASURE,Administrative Area,Age,Sex,Value
2013,Number,West Herzegovina Canton,30,M,603
2013,Number,West Herzegovina Canton,31,M,604
2013,Number,West Herzegovina Canton,32,M,585
2013,Number,West Herzegovina Canton,33,M,577
2013,Number,West Herzegovina Canton,34,M,551
2013,Number,West Herzegovina Canton,35,M,548
2013,Number,West Herzegovina Canton,36,M,572
2013,Number,West Herzegovina Canton,37,M,623
2013,Number,West Herzegovina Canton,38,M,618
2013,Number,West Herzegovina Canton,39,M,628
2013,Number,West Herzegovina Canton,40,M,680
2013,Number,West Herzegovina Canton,41,M,730
2013,Number,West Herzegovina Canton,42,M,644
2013,Number,West Herzegovina Canton,43,M,609
2013,Number,West Herzegovina Canton,44,M,653
2013,Number,West Herzegovina Canton,45,M,757
2013,Number,West Herzegovina Canton,46,M,783
2013,Number,West Herzegovina Canton,47,M,748
2013,Number,West Herzegovina Canton,48,M,739
2013,Number,West Herzegovina Canton,49,M,748
2013,Number,West Herzegovina Canton,50,M,796
2013,Number,West Herzegovina Canton,51,M,768
2013,Number,West Herzegovina Canton,52,M,729
2013,Number,West Herzegovina Canton,53,M,730
2013,Number,West Herzegovina Canton,54,M,738
2013,Number,West Herzegovina Canton,55,M,695
2013,Number,West Herzegovina Canton,56,M,632
2013,Number,West Herzegovina Canton,57,M,649
2013,Number,West Herzegovina Canton,58,M,557
2013,Number,West Herzegovina Canton,59,M,590
2013,Number,West Herzegovina Canton,60,M,519
2013,Number,West Herzegovina Canton,61,M,444
2013,Number,West Herzegovina Canton,62,M,412
2013,Number,West Herzegovina Canton,63,M,426
2013,Number,West Herzegovina Canton,64,M,396
2013,Number,West Herzegovina Canton,65,M,382
2013,Number,West Herzegovina Canton,66,M,359
2013,Number,West Herzegovina Canton,67,M,264
2013,Number,West Herzegovina Canton,68,M,342
2013,Number,West Herzegovina Canton,69,M,334
2013,Number,West Herzegovina Canton,70,M,262
2013,Number,West Herzegovina Canton,71,M,378
2013,Number,West Herzegovina Canton,72,M,381
2013,Number,West Herzegovina Canton,73,M,384
2013,Number,West Herzegovina Canton,74,M,356
2013,Number,West Herzegovina Canton,75,M,334
2013,Number,West Herzegovina Canton,76,M,299
2013,Number,West Herzegovina Canton,77,M,280
2013,Number,West Herzegovina Canton,78,M,244
2013,Number,West Herzegovina Canton,79,M,199
2013,Number,West Herzegovina Canton,80,M,210
2013,Number,West Herzegovina Canton,81,M,188
2013,Number,West Herzegovina Canton,82,M,176
2013,Number,West Herzegovina Canton,83,M,165
2013,Number,West Herzegovina Canton,84,M,115
2013,Number,West Herzegovina Canton,85+,M,334
2013,Number,Sarajevo Canton,Total,M,195161
2013,Number,Sarajevo Canton,0,M,2212
2013,Number,Sarajevo Canton,1,M,2264
2013,Number,Sarajevo Canton,2,M,2302
2013,Number,Sarajevo Canton,3,M,2300
2013,Number,Sarajevo Canton,4,M,2298
2013,Number,Sarajevo Canton,5,M,2285
2013,Number,Sarajevo Canton,6,M,2092
2013,Number,Sarajevo Canton,7,M,2088
2013,Number,Sarajevo Canton,8,M,2001
2013,Number,Sarajevo Canton,9,M,2014
2013,Number,Sarajevo Canton,10,M,2087
2013,Number,Sarajevo Canton,11,M,2079
2013,Number,Sarajevo Canton,12,M,2066
2013,Number,Sarajevo Canton,13,M,2115
2013,Number,Sarajevo Canton,14,M,2260
2013,Number,Sarajevo Canton,15,M,2508
2013,Number,Sarajevo Canton,16,M,2948
2013,Number,Sarajevo Canton,17,M,2727
2013,Number,Sarajevo Canton,18,M,2975
2013,Number,Sarajevo Canton,19,M,2338
2013,Number,Sarajevo Canton,20,M,2052
2013,Number,Sarajevo Canton,21,M,2476
2013,Number,Sarajevo Canton,22,M,2776
2013,Number,Sarajevo Canton,23,M,2714
2013,Number,Sarajevo Canton,24,M,2827
2013,Number,Sarajevo Canton,25,M,2995
2013,Number,Sarajevo Canton,26,M,2945
2013,Number,Sarajevo Canton,27,M,3059
2013,Number,Sarajevo Canton,28,M,3164
2013,Number,Sarajevo Canton,29,M,3373
2013,Number,Sarajevo Canton,30,M,3288
2013,Number,Sarajevo Canton,31,M,3340
2013,Number,Sarajevo Canton,32,M,3201
2013,Number,Sarajevo Canton,33,M,3190
2013,Number,Sarajevo Canton,34,M,3170
2013,Number,Sarajevo Canton,35,M,3137
2013,Number,Sarajevo Canton,36,M,3029
2013,Number,Sarajevo Canton,37,M,2926
2013,Number,Sarajevo Canton,38,M,2793
2013,Number,Sarajevo Canton,39,M,2587
2013,Number,Sarajevo Canton,40,M,2521
2013,Number,Sarajevo Canton,41,M,2646
2013,Number,Sarajevo Canton,42,M,2596
2013,Number,Sarajevo Canton,43,M,2483
2013,Number,Sarajevo Canton,44,M,2499
2013,Number,Sarajevo Canton,45,M,2531
2013,Number,Sarajevo Canton,46,M,2673
2013,Number,Sarajevo Canton,47,M,2721
2013,Number,Sarajevo Canton,48,M,2822
2013,Number,Sarajevo Canton,49,M,2848
2013,Number,Sarajevo Canton,50,M,2810
2013,Number,Sarajevo Canton,51,M,2922
2013,Number,Sarajevo Canton,52,M,2936
2013,Number,Sarajevo Canton,53,M,2816
2013,Number,Sarajevo Canton,54,M,3001
2013,Number,Sarajevo Canton,55,M,2857
2013,Number,Sarajevo Canton,56,M,2808
2013,Number,Sarajevo Canton,57,M,2837
2013,Number,Sarajevo Canton,58,M,2937
2013,Number,Sarajevo Canton,59,M,2781
2013,Number,Sarajevo Canton,60,M,2649
2013,Number,Sarajevo Canton,61,M,2498
2013,Number,Sarajevo Canton,62,M,2341
2013,Number,Sarajevo Canton,63,M,2223
2013,Number,Sarajevo Canton,64,M,2174
2013,Number,Sarajevo Canton,65,M,1795
2013,Number,Sarajevo Canton,66,M,1814
2013,Number,Sarajevo Canton,67,M,1408
2013,Number,Sarajevo Canton,68,M,1310
2013,Number,Sarajevo Canton,69,M,1124
2013,Number,Sarajevo Canton,70,M,1134
2013,Number,Sarajevo Canton,71,M,1285
2013,Number,Sarajevo Canton,72,M,1246
2013,Number,Sarajevo Canton,73,M,1332
2013,Number,Sarajevo Canton,74,M,1330
2013,Number,Sarajevo Canton,75,M,1302
2013,Number,Sarajevo Canton,76,M,1164
2013,Number,Sarajevo Canton,77,M,1113
2013,Number,Sarajevo Canton,78,M,970
2013,Number,Sarajevo Canton,79,M,901
2013,Number,Sarajevo Canton,80,M,744
2013,Number,Sarajevo Canton,81,M,661
2013,Number,Sarajevo Canton,82,M,526
2013,Number,Sarajevo Canton,83,M,484
2013,Number,Sarajevo Canton,84,M,391
2013,Number,Sarajevo Canton,85+,M,1196
2013,Number,Canton 10,Total,M,42343
2013,Number,Canton 10,0,M,284
2013,Number,Canton 10,1,M,353
2013,Number,Canton 10,2,M,358
2013,Number,Canton 10,3,M,388
2013,Number,Canton 10,4,M,366
2013,Number,Canton 10,5,M,361
2013,Number,Canton 10,6,M,385
2013,Number,Canton 10,7,M,426
2013,Number,Canton 10,8,M,448
2013,Number,Canton 10,9,M,410
2013,Number,Canton 10,10,M,442
2013,Number,Canton 10,11,M,445
2013,Number,Canton 10,12,M,467
2013,Number,Canton 10,13,M,490
2013,Number,Canton 10,14,M,511
2013,Number,Canton 10,15,M,575
2013,Number,Canton 10,16,M,570
2013,Number,Canton 10,17,M,644
2013,Number,Canton 10,18,M,558
2013,Number,Canton 10,19,M,567
2013,Number,Canton 10,20,M,536
2013,Number,Canton 10,21,M,548
2013,Number,Canton 10,22,M,548
2013,Number,Canton 10,23,M,613
2013,Number,Canton 10,24,M,529
2013,Number,Canton 10,25,M,563
2013,Number,Canton 10,26,M,592
2013,Number,Canton 10,27,M,585
2013,Number,Canton 10,28,M,568
2013,Number,Canton 10,29,M,585
2013,Number,Canton 10,30,M,576
2013,Number,Canton 10,31,M,553
2013,Number,Canton 10,32,M,578
2013,Number,Canton 10,33,M,569
2013,Number,Canton 10,34,M,544
2013,Number,Canton 10,35,M,545
2013,Number,Canton 10,36,M,581
2013,Number,Canton 10,37,M,590
2013,Number,Canton 10,38,M,602
2013,Number,Canton 10,39,M,632
2013,Number,Canton 10,40,M,617
2013,Number,Canton 10,41,M,671
2013,Number,Canton 10,42,M,662
2013,Number,Canton 10,43,M,558
2013,Number,Canton 10,44,M,690
2013,Number,Canton 10,45,M,670
2013,Number,Canton 10,46,M,660
2013,Number,Canton 10,47,M,683
2013,Number,Canton 10,48,M,657
2013,Number,Canton 10,49,M,609
2013,Number,Canton 10,50,M,650
2013,Number,Canton 10,51,M,705
2013,Number,Canton 10,52,M,702
2013,Number,Canton 10,53,M,683
2013,Number,Canton 10,54,M,685
2013,Number,Canton 10,55,M,629
2013,Number,Canton 10,56,M,693
2013,Number,Canton 10,57,M,632
2013,Number,Canton 10,58,M,596
2013,Number,Canton 10,59,M,541
2013,Number,Canton 10,60,M,565
2013,Number,Canton 10,61,M,540
2013,Number,Canton 10,62,M,483
2013,Number,Canton 10,63,M,545
2013,Number,Canton 10,64,M,466
2013,Number,Canton 10,65,M,483
2013,Number,Canton 10,66,M,472
2013,Number,Canton 10,67,M,317
2013,Number,Canton 10,68,M,324
2013,Number,Canton 10,69,M,302
2013,Number,Canton 10,70,M,291
2013,Number,Canton 10,71,M,348
2013,Number,Canton 10,72,M,373
2013,Number,Canton 10,73,M,388
2013,Number,Canton 10,74,M,412
2013,Number,Canton 10,75,M,348
2013,Number,Canton 10,76,M,303
2013,Number,Canton 10,77,M,311
2013,Number,Canton 10,78,M,239
2013,Number,Canton 10,79,M,242
2013,Number,Canton 10,80,M,180
2013,Number,Canton 10,81,M,198
2013,Number,Canton 10,82,M,158
2013,Number,Canton 10,83,M,147
2013,Number,Canton 10,84,M,126
2013,Number,Canton 10,85+,M,304
2013,Number,Federation of Bosnia and Herzegovina,Total,F,1131227
2013,Number,Federation of Bosnia and Herzegovina,0,F,10581
2013,Number,Federation of Bosnia and Herzegovina,1,F,10988
2013,Number,Federation of Bosnia and Herzegovina,2,F,11056
2013,Number,Federation of Bosnia and Herzegovina,3,F,11474
2013,Number,Federation of Bosnia and Herzegovina,4,F,11727
2013,Number,Federation of Bosnia and Herzegovina,5,F,11618
2013,Number,Federation of Bosnia and Herzegovina,6,F,11072
2013,Number,Federation of Bosnia and Herzegovina,7,F,11215
2013,Number,Federation of Bosnia and Herzegovina,8,F,11277
2013,Number,Federation of Bosnia and Herzegovina,9,F,11237
2013,Number,Federation of Bosnia and Herzegovina,10,F,11518
2013,Number,Federation of Bosnia and Herzegovina,11,F,11681
2013,Number,Federation of Bosnia and Herzegovina,12,F,12202
2013,Number,Federation of Bosnia and Herzegovina,13,F,12637
2013,Number,Federation of Bosnia and Herzegovina,14,F,13522
2013,Number,Federation of Bosnia and Herzegovina,15,F,14879
2013,Number,Federation of Bosnia and Herzegovina,16,F,16932
2013,Number,Federation of Bosnia and Herzegovina,17,F,17068
2013,Number,Federation of Bosnia and Herzegovina,18,F,16591
2013,Number,Federation of Bosnia and Herzegovina,19,F,13113
2013,Number,Federation of Bosnia and Herzegovina,20,F,12272
2013,Number,Federation of Bosnia and Herzegovina,21,F,14751
2013,Number,Federation of Bosnia and Herzegovina,22,F,15660
2013,Number,Federation of Bosnia and Herzegovina,23,F,15516
2013,Number,Federation of Bosnia and Herzegovina,24,F,15600
2013,Number,Federation of Bosnia and Herzegovina,25,F,16118
2013,Number,Federation of Bosnia and Herzegovina,26,F,15645
2013,Number,Federation of Bosnia and Herzegovina,27,F,15846
2013,Number,Federation of Bosnia and Herzegovina,28,F,15889
2013,Number,Federation of Bosnia and Herzegovina,29,F,16586
2013,Number,Federation of Bosnia and Herzegovina,30,F,15886
2013,Number,Federation of Bosnia and Herzegovina,31,F,15749
2013,Number,Federation of Bosnia and Herzegovina,32,F,16055
2013,Number,Federation of Bosnia and Herzegovina,33,F,15811
2013,Number,Federation of Bosnia and Herzegovina,34,F,15555
2013,Number,Federation of Bosnia and Herzegovina,35,F,15626
2013,Number,Federation of Bosnia and Herzegovina,36,F,15712
2013,Number,Federation of Bosnia and Herzegovina,37,F,16154
2013,Number,Federation of Bosnia and Herzegovina,38,F,15646
2013,Number,Federation of Bosnia and Herzegovina,39,F,15638
2013,Number,Federation of Bosnia and Herzegovina,40,F,15457
2013,Number,Federation of Bosnia and Herzegovina,41,F,15946
2013,Number,Federation of Bosnia and Herzegovina,42,F,15542
2013,Number,Federation of Bosnia and Herzegovina,43,F,14905
2013,Number,Federation of Bosnia and Herzegovina,44,F,15858
2013,Number,Federation of Bosnia and Herzegovina,45,F,16162
2013,Number,Federation of Bosnia and Herzegovina,46,F,16613
2013,Number,Federation of Bosnia and Herzegovina,47,F,17140
2013,Number,Federation of Bosnia and Herzegovina,48,F,17373
2013,Number,Federation of Bosnia and Herzegovina,49,F,17227
2013,Number,Federation of Bosnia and Herzegovina,50,F,17408
2013,Number,Federation of Bosnia and Herzegovina,51,F,18176
2013,Number,Federation of Bosnia and Herzegovina,52,F,17803
2013,Number,Federation of Bosnia and Herzegovina,53,F,17770
2013,Number,Federation of Bosnia and Herzegovina,54,F,17536
2013,Number,Federation of Bosnia and Herzegovina,55,F,16951
2013,Number,Federation of Bosnia and Herzegovina,56,F,15777
2013,Number,Federation of Bosnia and Herzegovina,57,F,16033
2013,Number,Federation of Bosnia and Herzegovina,58,F,16371
2013,Number,Federation of Bosnia and Herzegovina,59,F,15389
2013,Number,Federation of Bosnia and Herzegovina,60,F,15575
2013,Number,Federation of Bosnia and Herzegovina,61,F,14255
2013,Number,Federation of Bosnia and Herzegovina,62,F,13044
2013,Number,Federation of Bosnia and Herzegovina,63,F,13250
2013,Number,Federation of Bosnia and Herzegovina,64,F,12590
2013,Number,Federation of Bosnia and Herzegovina,65,F,11398
2013,Number,Federation of Bosnia and Herzegovina,66,F,11859
2013,Number,Federation of Bosnia and Herzegovina,67,F,9102
2013,Number,Federation of Bosnia and Herzegovina,68,F,8553
2013,Number,Federation of Bosnia and Herzegovina,69,F,8041
2013,Number,Federation of Bosnia and Herzegovina,70,F,8325
2013,Number,Federation of Bosnia and Herzegovina,71,F,9159
2013,Number,Federation of Bosnia and Herzegovina,72,F,9645
2013,Number,Federation of Bosnia and Herzegovina,73,F,10201
2013,Number,Federation of Bosnia and Herzegovina,74,F,9248
2013,Number,Federation of Bosnia and Herzegovina,75,F,9067
2013,Number,Federation of Bosnia and Herzegovina,76,F,8290
2013,Number,Federation of Bosnia and Herzegovina,77,F,7879
2013,Number,Federation of Bosnia and Herzegovina,78,F,7222
2013,Number,Federation of Bosnia and Herzegovina,79,F,6460
2013,Number,Federation of Bosnia and Herzegovina,80,F,5631
2013,Number,Federation of Bosnia and Herzegovina,81,F,5104
2013,Number,Federation of Bosnia and Herzegovina,82,F,4167
2013,Number,Federation of Bosnia and Herzegovina,83,F,3832
2013,Number,Federation of Bosnia and Herzegovina,84,F,3000
2013,Number,Federation of Bosnia and Herzegovina,85+,F,10790
2013,Number,Una-Sana Canton,Total,F,137957
2013,Number,Una-Sana Canton,0,F,1347
2013,Number,Una-Sana Canton,1,F,1359
2013,Number,Una-Sana Canton,2,F,1394
2013,Number,Una-Sana Canton,3,F,1495
2013,Number,Una-Sana Canton,4,F,1581
2013,Number,Una-Sana Canton,5,F,1659
2013,Number,Una-Sana Canton,6,F,1492
2013,Number,Una-Sana Canton,7,F,1490
2013,Number,Una-Sana Canton,8,F,1543
2013,Number,Una-Sana Canton,9,F,1531
2013,Number,Una-Sana Canton,10,F,1621
2013,Number,Una-Sana Canton,11,F,1609
2013,Number,Una-Sana Canton,12,F,1666
2013,Number,Una-Sana Canton,13,F,1768
2013,Number,Una-Sana Canton,14,F,1884
2013,Number,Una-Sana Canton,15,F,2189
2013,Number,Una-Sana Canton,16,F,2604
2013,Number,Una-Sana Canton,17,F,2002
2013,Number,Una-Sana Canton,18,F,1844
2013,Number,Una-Sana Canton,19,F,1682
2013,Number,Una-Sana Canton,20,F,1580
2013,Number,Una-Sana Canton,21,F,1912
2013,Number,Una-Sana Canton,22,F,2043
2013,Number,Una-Sana Canton,23,F,1968
2013,Number,Una-Sana Canton,24,F,2008
2013,Number,Una-Sana Canton,25,F,2045
2013,Number,Una-Sana Canton,26,F,2003
2013,Number,Una-Sana Canton,27,F,1898
2013,Number,Una-Sana Canton,28,F,1952
2013,Number,Una-Sana Canton,29,F,2163
2013,Number,Una-Sana Canton,30,F,1990
2013,Number,Una-Sana Canton,31,F,1967
2013,Number,Una-Sana Canton,32,F,2099
2013,Number,Una-Sana Canton,33,F,1964
2013,Number,Una-Sana Canton,34,F,1980
2013,Number,Una-Sana Canton,35,F,2101
2013,Number,Una-Sana Canton,36,F,2090
2013,Number,Una-Sana Canton,37,F,2176
2013,Number,Una-Sana Canton,38,F,2206
2013,Number,Una-Sana Canton,39,F,2124
2013,Number,Una-Sana Canton,40,F,2099
2013,Number,Una-Sana Canton,41,F,2177
2013,Number,Una-Sana Canton,42,F,2119
2013,Number,Una-Sana Canton,43,F,1957
2013,Number,Una-Sana Canton,44,F,2099
2013,Number,Una-Sana Canton,45,F,2131
2013,Number,Una-Sana Canton,46,F,2094
2013,Number,Una-Sana Canton,47,F,2092
2013,Number,Una-Sana Canton,48,F,2019
2013,Number,Una-Sana Canton,49,F,2104
2013,Number,Una-Sana Canton,50,F,2073
2013,Number,Una-Sana Canton,51,F,2121
2013,Number,Una-Sana Canton,52,F,2136
2013,Number,Una-Sana Canton,53,F,1962
2013,Number,Una-Sana Canton,54,F,1954
2013,Number,Una-Sana Canton,55,F,1753
2013,Number,Una-Sana Canton,56,F,1757
2013,Number,Una-Sana Canton,57,F,1797
2013,Number,Una-Sana Canton,58,F,1794
2013,Number,Una-Sana Canton,59,F,1647
2013,Number,Una-Sana Canton,60,F,1674
2013,Number,Una-Sana Canton,61,F,1382
2013,Number,Una-Sana Canton,62,F,1248
2013,Number,Una-Sana Canton,63,F,1417
2013,Number,Una-Sana Canton,64,F,1294
2013,Number,Una-Sana Canton,65,F,1258
2013,Number,Una-Sana Canton,66,F,1371
2013,Number,Una-Sana Canton,67,F,1016
2013,Number,Una-Sana Canton,68,F,832
2013,Number,Una-Sana Canton,69,F,798
2013,Number,Una-Sana Canton,70,F,1063
2013,Number,Una-Sana Canton,71,F,906
2013,Number,Una-Sana Canton,72,F,1092
2013,Number,Una-Sana Canton,73,F,1066
2013,Number,Una-Sana Canton,74,F,930
2013,Number,Una-Sana Canton,75,F,954
2013,Number,Una-Sana Canton,76,F,870
2013,Number,Una-Sana Canton,77,F,794
2013,Number,Una-Sana Canton,78,F,665
2013,Number,Una-Sana Canton,79,F,640
2013,Number,Una-Sana Canton,80,F,550
2013,Number,Una-Sana Canton,81,F,414
2013,Number,Una-Sana Canton,82,F,375
2013,Number,Una-Sana Canton,83,F,355
2013,Number,Una-Sana Canton,84,F,247
2013,Number,Una-Sana Canton,85+,F,832
2013,Number,Posavina Canton,Total,F,21648
2013,Number,Posavina Canton,0,F,137
2013,Number,Posavina Canton,1,F,139
2013,Number,Posavina Canton,2,F,175
2013,Number,Posavina Canton,3,F,160
2013,Number,Posavina Canton,4,F,169
2013,Number,Posavina Canton,5,F,189
2013,Number,Posavina Canton,6,F,171
2013,Number,Posavina Canton,7,F,198
2013,Number,Posavina Canton,8,F,204
2013,Number,Posavina Canton,9,F,201
2013,Number,Posavina Canton,10,F,200
2013,Number,Posavina Canton,11,F,217
2013,Number,Posavina Canton,12,F,237
2013,Number,Posavina Canton,13,F,232
2013,Number,Posavina Canton,14,F,257
2013,Number,Posavina Canton,15,F,301
2013,Number,Posavina Canton,16,F,275
2013,Number,Posavina Canton,17,F,309
2013,Number,Posavina Canton,18,F,289
2013,Number,Posavina Canton,19,F,282
2013,Number,Posavina Canton,20,F,228
2013,Number,Posavina Canton,21,F,270
2013,Number,Posavina Canton,22,F,269
2013,Number,Posavina Canton,23,F,261
2013,Number,Posavina Canton,24,F,304
2013,Number,Posavina Canton,25,F,287
2013,Number,Posavina Canton,26,F,246
2013,Number,Posavina Canton,27,F,282
2013,Number,Posavina Canton,28,F,286
2013,Number,Posavina Canton,29,F,249
2013,Number,Posavina Canton,30,F,259
2013,Number,Posavina Canton,31,F,249
2013,Number,Posavina Canton,32,F,250
2013,Number,Posavina Canton,33,F,275
2013,Number,Posavina Canton,34,F,278
2013,Number,Posavina Canton,35,F,249
2013,Number,Posavina Canton,36,F,277
2013,Number,Posavina Canton,37,F,315
2013,Number,Posavina Canton,38,F,323
2013,Number,Posavina Canton,39,F,350
2013,Number,Posavina Canton,40,F,325
2013,Number,Posavina Canton,41,F,349
2013,Number,Posavina Canton,42,F,326
2013,Number,Posavina Canton,43,F,345
2013,Number,Posavina Canton,44,F,357
2013,Number,Posavina Canton,45,F,365
2013,Number,Posavina Canton,46,F,362
2013,Number,Posavina Canton,47,F,375
2013,Number,Posavina Canton,48,F,411
2013,Number,Posavina Canton,49,F,364
2013,Number,Posavina Canton,50,F,355
2013,Number,Posavina Canton,51,F,345
2013,Number,Posavina Canton,52,F,322
2013,Number,Posavina Canton,53,F,329
2013,Number,Posavina Canton,54,F,316
2013,Number,Posavina Canton,55,F,274
2013,Number,Posavina Canton,56,F,263
2013,Number,Posavina Canton,57,F,262
2013,Number,Posavina Canton,58,F,273
2013,Number,Posavina Canton,59,F,282
2013,Number,Posavina Canton,60,F,293
2013,Number,Posavina Canton,61,F,253
2013,Number,Posavina Canton,62,F,249
2013,Number,Posavina Canton,63,F,259
2013,Number,Posavina Canton,64,F,266
2013,Number,Posavina Canton,65,F,243
2013,Number,Posavina Canton,66,F,267
2013,Number,Posavina Canton,67,F,208
2013,Number,Posavina Canton,68,F,241
2013,Number,Posavina Canton,69,F,214
2013,Number,Posavina Canton,70,F,230
2013,Number,Posavina Canton,71,F,244
2013,Number,Posavina Canton,72,F,209
2013,Number,Posavina Canton,73,F,217
2013,Number,Posavina Canton,74,F,202
2013,Number,Posavina Canton,75,F,205
2013,Number,Posavina Canton,76,F,213
2013,Number,Posavina Canton,77,F,175
2013,Number,Posavina Canton,78,F,183
2013,Number,Posavina Canton,79,F,175
2013,Number,Posavina Canton,80,F,116
2013,Number,Posavina Canton,81,F,119
2013,Number,Posavina Canton,82,F,104
2013,Number,Posavina Canton,83,F,73
2013,Number,Posavina Canton,84,F,54
2013,Number,Posavina Canton,85+,F,187
2013,Number,Tuzla Canton,Total,F,227640
2013,Number,Tuzla Canton,0,F,2130
2013,Number,Tuzla Canton,1,F,2261
2013,Number,Tuzla Canton,2,F,2178
2013,Number,Tuzla Canton,3,F,2295
2013,Number,Tuzla Canton,4,F,2335
2013,Number,Tuzla Canton,5,F,2282
2013,Number,Tuzla Canton,6,F,2157
2013,Number,Tuzla Canton,7,F,2171
2013,Number,Tuzla Canton,8,F,2221
2013,Number,Tuzla Canton,9,F,2184
2013,Number,Tuzla Canton,10,F,2231
2013,Number,Tuzla Canton,11,F,2244
2013,Number,Tuzla Canton,12,F,2375
2013,Number,Tuzla Canton,13,F,2352
2013,Number,Tuzla Canton,14,F,2535
2013,Number,Tuzla Canton,15,F,2823
2013,Number,Tuzla Canton,16,F,3253
2013,Number,Tuzla Canton,17,F,3614
2013,Number,Tuzla Canton,18,F,3398
2013,Number,Tuzla Canton,19,F,2619
2013,Number,Tuzla Canton,20,F,2574
2013,Number,Tuzla Canton,21,F,3157
2013,Number,Tuzla Canton,22,F,3303
2013,Number,Tuzla Canton,23,F,3202
2013,Number,Tuzla Canton,24,F,3175
2013,Number,Tuzla Canton,25,F,3279
2013,Number,Tuzla Canton,26,F,3253
2013,Number,Tuzla Canton,27,F,3177
2013,Number,Tuzla Canton,28,F,3103
2013,Number,Tuzla Canton,29,F,3287
2013,Number,Tuzla Canton,30,F,3114
2013,Number,Tuzla Canton,31,F,3061
2013,Number,Tuzla Canton,32,F,3201
2013,Number,Tuzla Canton,33,F,3082
2013,Number,Tuzla Canton,34,F,3072
2013,Number,Tuzla Canton,35,F,3049
2013,Number,Tuzla Canton,36,F,3088
2013,Number,Tuzla Canton,37,F,3312
2013,Number,Tuzla Canton,38,F,3165
2013,Number,Tuzla Canton,39,F,3207
2013,Number,Tuzla Canton,40,F,3200
2013,Number,Tuzla Canton,41,F,3272
2013,Number,Tuzla Canton,42,F,3254
2013,Number,Tuzla Canton,43,F,3042
2013,Number,Tuzla Canton,44,F,3166
2013,Number,Tuzla Canton,45,F,3238
2013,Number,Tuzla Canton,46,F,3514
2013,Number,Tuzla Canton,47,F,3642
2013,Number,Tuzla Canton,48,F,3696
2013,Number,Tuzla Canton,49,F,3771
2013,Number,Tuzla Canton,50,F,3680
2013,Number,Tuzla Canton,51,F,3818
2013,Number,Tuzla Canton,52,F,3969
2013,Number,Tuzla Canton,53,F,3929
2013,Number,Tuzla Canton,54,F,3731
2013,Number,Tuzla Canton,55,F,3584
2013,Number,Tuzla Canton,56,F,3086
2013,Number,Tuzla Canton,57,F,3316
2013,Number,Tuzla Canton,58,F,3427
2013,Number,Tuzla Canton,59,F,3244
2013,Number,Tuzla Canton,60,F,3453
2013,Number,Tuzla Canton,61,F,3012
2013,Number,Tuzla Canton,62,F,2703
2013,Number,Tuzla Canton,63,F,2568
2013,Number,Tuzla Canton,64,F,2583
2013,Number,Tuzla Canton,65,F,2299
2013,Number,Tuzla Canton,66,F,2393
2013,Number,Tuzla Canton,67,F,2018
2013,Number,Tuzla Canton,68,F,1700
2013,Number,Tuzla Canton,69,F,1775
2013,Number,Tuzla Canton,70,F,1680
2013,Number,Tuzla Canton,71,F,1766
2013,Number,Tuzla Canton,72,F,1752
2013,Number,Tuzla Canton,73,F,1912
2013,Number,Tuzla Canton,74,F,1608
2013,Number,Tuzla Canton,75,F,1642
2013,Number,Tuzla Canton,76,F,1452
2013,Number,Tuzla Canton,77,F,1402
2013,Number,Tuzla Canton,78,F,1305
2013,Number,Tuzla Canton,79,F,1174
2013,Number,Tuzla Canton,80,F,994
2013,Number,Tuzla Canton,81,F,861
2013,Number,Tuzla Canton,82,F,715
2013,Number,Tuzla Canton,83,F,648
2013,Number,Tuzla Canton,84,F,508
2013,Number,Tuzla Canton,85+,F,1619
2013,Number,Zenica-Doboj Canton,Total,F,183653
2013,Number,Zenica-Doboj Canton,0,F,1775
2013,Number,Zenica-Doboj Canton,1,F,1880
2013,Number,Zenica-Doboj Canton,2,F,1880
2013,Number,Zenica-Doboj Canton,3,F,2055
2013,Number,Zenica-Doboj Canton,4,F,2051
2013,Number,Zenica-Doboj Canton,5,F,2050
2013,Number,Zenica-Doboj Canton,6,F,1880
2013,Number,Zenica-Doboj Canton,7,F,1862
2013,Number,Zenica-Doboj Canton,8,F,1925
2013,Number,Zenica-Doboj Canton,9,F,1883
2013,Number,Zenica-Doboj Canton,10,F,1961
2013,Number,Zenica-Doboj Canton,11,F,1922
2013,Number,Zenica-Doboj Canton,12,F,2044
2013,Number,Zenica-Doboj Canton,13,F,2107
2013,Number,Zenica-Doboj Canton,14,F,2225
2013,Number,Zenica-Doboj Canton,15,F,2428
2013,Number,Zenica-Doboj Canton,16,F,2856
2013,Number,Zenica-Doboj Canton,17,F,3172
2013,Number,Zenica-Doboj Canton,18,F,2864
2013,Number,Zenica-Doboj Canton,19,F,2002
2013,Number,Zenica-Doboj Canton,20,F,2052
2013,Number,Zenica-Doboj Canton,21,F,2516
2013,Number,Zenica-Doboj Canton,22,F,2684
2013,Number,Zenica-Doboj Canton,23,F,2594
2013,Number,Zenica-Doboj Canton,24,F,2622
2013,Number,Zenica-Doboj Canton,25,F,2685
2013,Number,Zenica-Doboj Canton,26,F,2628
2013,Number,Zenica-Doboj Canton,27,F,2553
2013,Number,Zenica-Doboj Canton,28,F,2585
2013,Number,Zenica-Doboj Canton,29,F,2660
2013,Number,Zenica-Doboj Canton,30,F,2515
2013,Number,Zenica-Doboj Canton,31,F,2575
