Year,UNIT_MEASURE,Врста образовања,Пол,Value
2018,Број,Укупно,Оба пола,981
2018,Број,Образовање,Оба пола,36
2018,Број,Умјетност и хуманистичке науке,Оба пола,108
2018,Број,"Друштвене науке, новинарство и информисање",Оба пола,90
2018,Број,"Пословање, администрација, и право",Оба пола,190
2018,Број,"Природне науке, математика, и статистика",Оба пола,88
2018,Број,Информационе и комуникационе технологије,Оба пола,51
2018,Број,"Инжењерство, производња и грађевинарство",Оба пола,103
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,20
2018,Број,Здравство и социјална заштита,Оба пола,222
2018,Број,Услуге,Оба пола,73
2018,Број,Непознато,Оба пола,0
2018,Број,Укупно,M,508
2018,Број,Образовање,M,24
2018,Број,Умјетност и хуманистичке науке,M,36
2018,Број,"Друштвене науке, новинарство и информисање",M,55
2018,Број,"Пословање, администрација, и право",M,111
2018,Број,"Природне науке, математика, и статистика",M,32
2018,Број,Информационе и комуникационе технологије,M,42
2018,Број,"Инжењерство, производња и грађевинарство",M,70
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,11
2018,Број,Здравство и социјална заштита,M,80
2018,Број,Услуге,M,47
2018,Број,Непознато,M,0
2018,Број,Укупно,Ж,473
2018,Број,Образовање,Ж,12
2018,Број,Умјетност и хуманистичке науке,Ж,72
2018,Број,"Друштвене науке, новинарство и информисање",Ж,35
2018,Број,"Пословање, администрација, и право",Ж,79
2018,Број,"Природне науке, математика, и статистика",Ж,56
2018,Број,Информационе и комуникационе технологије,Ж,9
2018,Број,"Инжењерство, производња и грађевинарство",Ж,33
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,9
2018,Број,Здравство и социјална заштита,Ж,142
2018,Број,Услуге,Ж,26
2018,Број,Непознато,Ж,0
2019,Број,Укупно,Оба пола,1022
2019,Број,Образовање,Оба пола,40
2019,Број,Умјетност и хуманистичке науке,Оба пола,119
2019,Број,"Друштвене науке, новинарство и информисање",Оба пола,173
2019,Број,"Пословање, администрација, и право",Оба пола,183
2019,Број,"Природне науке, математика, и статистика",Оба пола,85
2019,Број,Информационе и комуникационе технологије,Оба пола,12
2019,Број,"Инжењерство, производња и грађевинарство",Оба пола,88
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,97
2019,Број,Здравство и социјална заштита,Оба пола,173
2019,Број,Услуге,Оба пола,52
2019,Број,Непознато,Оба пола,0
2019,Број,Укупно,M,492
2019,Број,Образовање,M,20
2019,Број,Умјетност и хуманистичке науке,M,48
2019,Број,"Друштвене науке, новинарство и информисање",M,91
2019,Број,"Пословање, администрација, и право",M,97
2019,Број,"Природне науке, математика, и статистика",M,36
2019,Број,Информационе и комуникационе технологије,M,7
2019,Број,"Инжењерство, производња и грађевинарство",M,54
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,17
2019,Број,Здравство и социјална заштита,M,88
2019,Број,Услуге,M,34
2019,Број,Непознато,M,0
2019,Број,Укупно,Ж,530
2019,Број,Образовање,Ж,20
2019,Број,Умјетност и хуманистичке науке,Ж,71
2019,Број,"Друштвене науке, новинарство и информисање",Ж,82
2019,Број,"Пословање, администрација, и право",Ж,86
2019,Број,"Природне науке, математика, и статистика",Ж,49
2019,Број,Информационе и комуникационе технологије,Ж,5
2019,Број,"Инжењерство, производња и грађевинарство",Ж,25
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,24
2019,Број,Здравство и социјална заштита,Ж,150
2019,Број,Услуге,Ж,18
2019,Број,Непознато,Ж,0
2020,Број,Укупно,Оба пола,1208
2020,Број,Образовање,Оба пола,54
2020,Број,Умјетност и хуманистичке науке,Оба пола,116
2020,Број,"Друштвене науке, новинарство и информисање",Оба пола,56
2020,Број,"Пословање, администрација, и право",Оба пола,188
2020,Број,"Природне науке, математика, и статистика",Оба пола,116
2020,Број,Информационе и комуникационе технологије,Оба пола,56
2020,Број,"Инжењерство, производња и грађевинарство",Оба пола,163
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Оба пола,43
2020,Број,Здравство и социјална заштита,Оба пола,371
2020,Број,Услуге,Оба пола,29
2020,Број,Непознато,Оба пола,16
2020,Број,Укупно,M,606
2020,Број,Образовање,M,22
2020,Број,Умјетност и хуманистичке науке,M,40
2020,Број,"Друштвене науке, новинарство и информисање",M,28
2020,Број,"Пословање, администрација, и право",M,99
2020,Број,"Природне науке, математика, и статистика",M,50
2020,Број,Информационе и комуникационе технологије,M,41
2020,Број,"Инжењерство, производња и грађевинарство",M,130
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,22
2020,Број,Здравство и социјална заштита,M,151
2020,Број,Услуге,M,13
2020,Број,Непознато,M,10
2020,Број,Укупно,Ж,602
2020,Број,Образовање,Ж,32
2020,Број,Умјетност и хуманистичке науке,Ж,76
2020,Број,"Друштвене науке, новинарство и информисање",Ж,28
2020,Број,"Пословање, администрација, и право",Ж,89
2020,Број,"Природне науке, математика, и статистика",Ж,66
2020,Број,Информационе и комуникационе технологије,Ж,15
2020,Број,"Инжењерство, производња и грађевинарство",Ж,33
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,21
2020,Број,Здравство и социјална заштита,Ж,220
2020,Број,Услуге,Ж,16
2020,Број,Непознато,Ж,6
