Year,Пол,UNIT_MEASURE,Етничка/национална припадност,Value
2013,Оба пола,Број,Бошњачки,1769592
2013,Оба пола,Број,Serb,1086733
2013,Оба пола,Број,Croat ,544780
2013,Оба пола,Број,Босански,37110
2013,Оба пола,Број,Ромски,12583
2013,Оба пола,Број,Муслиманска,12121
2013,Оба пола,Број,Босанско-херцеговачка,11406
2013,Оба пола,Број,Албански,2659
2013,Оба пола,Број,Yugoslav,2570
2013,Оба пола,Број,Ukrainian,2331
2013,Оба пола,Број,Montenegrin,1883
2013,Оба пола,Број,Turk,1108
2013,Оба пола,Број,Slovenian,937
2013,Оба пола,Број,Православна,826
2013,Оба пола,Број,Macedonian ,738
2013,Оба пола,Број,Друго,10267
2013,Оба пола,Број,Неопредијељен,27055
2013,Оба пола,Број,Unknown,6460
2013,M,Број,Бошњачки,867492
2013,M,Број,Serb,534030
2013,M,Број,Croat ,267789
2013,M,Број,Босански,18135
2013,M,Број,Ромски,6511
2013,M,Број,Муслиманска,5888
2013,M,Број,Босанско-херцеговачка,5663
2013,M,Број,Албански,1646
2013,M,Број,Yugoslav,1350
2013,M,Број,Ukrainian,1146
2013,M,Број,Montenegrin,953
2013,M,Број,Turk,738
2013,M,Број,Slovenian,366
2013,M,Број,Православна,376
2013,M,Број,Macedonian ,351
2013,M,Број,Друго,5171
2013,M,Број,Неопредијељен,11503
2013,M,Број,Unknown,3162
2013,Ж,Број,Бошњачки,902100
2013,Ж,Број,Serb,552703
2013,Ж,Број,Croat ,276991
2013,Ж,Број,Босански,18975
2013,Ж,Број,Ромски,6072
2013,Ж,Број,Муслиманска,6233
2013,Ж,Број,Босанско-херцеговачка,5743
2013,Ж,Број,Албански,1013
2013,Ж,Број,Yugoslav,1220
2013,Ж,Број,Ukrainian,1185
2013,Ж,Број,Montenegrin,930
2013,Ж,Број,Turk,370
2013,Ж,Број,Slovenian,571
2013,Ж,Број,Православна,450
2013,Ж,Број,Macedonian ,387
2013,Ж,Број,Друго,5096
2013,Ж,Број,Неопредијељен,15552
2013,Ж,Број,Unknown,3298
