Year,UNIT_MEASURE,Пол,Value
1996,‰,Оба пола,13.8
1997,‰,Оба пола,13.0
1998,‰,Оба пола,12.1
1999,‰,Оба пола,11.2
2000,‰,Оба пола,11.0
2001,‰,Оба пола,8.9
2002,‰,Оба пола,10.5
2003,‰,Оба пола,8.7
2004,‰,Оба пола,8.5
2005,‰,Оба пола,8.8
2006,‰,Оба пола,9.5
2007,‰,Оба пола,8.9
2008,‰,Оба пола,8.5
2009,‰,Оба пола,7.6
2010,‰,Оба пола,7.7
2011,‰,Оба пола,6.6
2012,‰,Оба пола,6.5
2013,‰,Оба пола,7.3
2014,‰,Оба пола,6.4
2015,‰,Оба пола,8.0
2016,‰,Оба пола,7.5
2017,‰,Оба пола,8.2
2018,‰,Оба пола,8.4
2019,‰,Оба пола,9.3
2020,‰,Оба пола,6.9
2021,‰,Оба пола,5.9
2022,‰,Оба пола,6.5
1996,‰,M,14.5
1997,‰,M,15.4
1998,‰,M,14.4
1999,‰,M,12.2
2000,‰,M,12.5
2001,‰,M,9.6
2002,‰,M,11.6
2003,‰,M,10.1
2004,‰,M,9.3
2005,‰,M,10.0
2006,‰,M,11.3
2007,‰,M,10.1
2008,‰,M,9.4
2009,‰,M,7.3
2010,‰,M,9.1
2011,‰,M,7.7
2012,‰,M,7.6
2013,‰,M,8.5
2014,‰,M,6.2
2015,‰,M,8.5
2016,‰,M,8.5
2017,‰,M,8.5
2018,‰,M,8.3
2019,‰,M,9.5
2020,‰,M,8.0
2021,‰,M,6.5
2022,‰,M,6.9
1996,‰,Ж,13.1
1997,‰,Ж,10.3
1998,‰,Ж,9.7
1999,‰,Ж,10.1
2000,‰,Ж,9.5
2001,‰,Ж,8.2
2002,‰,Ж,9.5
2003,‰,Ж,7.2
2004,‰,Ж,7.7
2005,‰,Ж,7.6
2006,‰,Ж,7.5
2007,‰,Ж,7.6
2008,‰,Ж,7.5
2009,‰,Ж,7.8
2010,‰,Ж,6.2
2011,‰,Ж,5.5
2012,‰,Ж,5.2
2013,‰,Ж,6.2
2014,‰,Ж,6.6
2015,‰,Ж,7.4
2016,‰,Ж,6.4
2017,‰,Ж,7.8
2018,‰,Ж,8.4
2019,‰,Ж,9.0
2020,‰,Ж,5.8
2021,‰,Ж,5.2
2022,‰,Ж,6.1
