Year,UNIT_MEASURE,Административна јединица,scientific_field,Value
2010,Број,Федерација Босне и Херцеговине,Образовање,
2010,Број,Федерација Босне и Херцеговине,Умјетност и хуманистичке науке,
2010,Број,Федерација Босне и Херцеговине,"social_sciences,_journalism_and_information",
2010,Број,Федерација Босне и Херцеговине,"business,_administration_and_law",
2010,Број,Федерација Босне и Херцеговине,"natural_sciences,_mathematics_and_statistics",
2010,Број,Федерација Босне и Херцеговине,Информационе и комуникационе технологије,
2010,Број,Федерација Босне и Херцеговине,"engineering,_production_and_construction",
2010,Број,Федерација Босне и Херцеговине,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,Федерација Босне и Херцеговине,Здравство и социјална заштита,
2010,Број,Федерација Босне и Херцеговине,Услуге,
2010,Број,Унско-сански кантон,Образовање,
2010,Број,Унско-сански кантон,Умјетност и хуманистичке науке,
2010,Број,Унско-сански кантон,"social_sciences,_journalism_and_information",
2010,Број,Унско-сански кантон,"business,_administration_and_law",
2010,Број,Унско-сански кантон,"natural_sciences,_mathematics_and_statistics",
2010,Број,Унско-сански кантон,Информационе и комуникационе технологије,
2010,Број,Унско-сански кантон,"engineering,_production_and_construction",
2010,Број,Унско-сански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,Унско-сански кантон,Здравство и социјална заштита,
2010,Број,Унско-сански кантон,Услуге,
2010,Број,Тузлански кантон,Образовање,
2010,Број,Тузлански кантон,Умјетност и хуманистичке науке,
2010,Број,Тузлански кантон,"social_sciences,_journalism_and_information",
2010,Број,Тузлански кантон,"business,_administration_and_law",
2010,Број,Тузлански кантон,"natural_sciences,_mathematics_and_statistics",
2010,Број,Тузлански кантон,Информационе и комуникационе технологије,
2010,Број,Тузлански кантон,"engineering,_production_and_construction",
2010,Број,Тузлански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,Тузлански кантон,Здравство и социјална заштита,
2010,Број,Тузлански кантон,Услуге,
2010,Број,Зеничко-добојски кантон,Образовање,
2010,Број,Зеничко-добојски кантон,Умјетност и хуманистичке науке,
2010,Број,Зеничко-добојски кантон,"social_sciences,_journalism_and_information",
2010,Број,Зеничко-добојски кантон,"business,_administration_and_law",
2010,Број,Зеничко-добојски кантон,"natural_sciences,_mathematics_and_statistics",
2010,Број,Зеничко-добојски кантон,Информационе и комуникационе технологије,
2010,Број,Зеничко-добојски кантон,"engineering,_production_and_construction",
2010,Број,Зеничко-добојски кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,Зеничко-добојски кантон,Здравство и социјална заштита,
2010,Број,Зеничко-добојски кантон,Услуге,
2010,Број,Босанско-подрињски кантон,Образовање,
2010,Број,Босанско-подрињски кантон,Умјетност и хуманистичке науке,
2010,Број,Босанско-подрињски кантон,"social_sciences,_journalism_and_information",
2010,Број,Босанско-подрињски кантон,"business,_administration_and_law",
2010,Број,Босанско-подрињски кантон,"natural_sciences,_mathematics_and_statistics",
2010,Број,Босанско-подрињски кантон,Информационе и комуникационе технологије,
2010,Број,Босанско-подрињски кантон,"engineering,_production_and_construction",
2010,Број,Босанско-подрињски кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,Босанско-подрињски кантон,Здравство и социјална заштита,
2010,Број,Босанско-подрињски кантон,Услуге,
2010,Број,Средњобосански кантон,Образовање,
2010,Број,Средњобосански кантон,Умјетност и хуманистичке науке,
2010,Број,Средњобосански кантон,"social_sciences,_journalism_and_information",
2010,Број,Средњобосански кантон,"business,_administration_and_law",
2010,Број,Средњобосански кантон,"natural_sciences,_mathematics_and_statistics",
2010,Број,Средњобосански кантон,Информационе и комуникационе технологије,
2010,Број,Средњобосански кантон,"engineering,_production_and_construction",
2010,Број,Средњобосански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,Средњобосански кантон,Здравство и социјална заштита,
2010,Број,Средњобосански кантон,Услуге,
2010,Број,Херцеговачко-неретвански кантон,Образовање,
2010,Број,Херцеговачко-неретвански кантон,Умјетност и хуманистичке науке,
2010,Број,Херцеговачко-неретвански кантон,"social_sciences,_journalism_and_information",
2010,Број,Херцеговачко-неретвански кантон,"business,_administration_and_law",
2010,Број,Херцеговачко-неретвански кантон,"natural_sciences,_mathematics_and_statistics",
2010,Број,Херцеговачко-неретвански кантон,Информационе и комуникационе технологије,
2010,Број,Херцеговачко-неретвански кантон,"engineering,_production_and_construction",
2010,Број,Херцеговачко-неретвански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,Херцеговачко-неретвански кантон,Здравство и социјална заштита,
2010,Број,Херцеговачко-неретвански кантон,Услуге,
2010,Број,Кантон Сарајево,Образовање,
2010,Број,Кантон Сарајево,Умјетност и хуманистичке науке,
2010,Број,Кантон Сарајево,"social_sciences,_journalism_and_information",
2010,Број,Кантон Сарајево,"business,_administration_and_law",
2010,Број,Кантон Сарајево,"natural_sciences,_mathematics_and_statistics",
2010,Број,Кантон Сарајево,Информационе и комуникационе технологије,
2010,Број,Кантон Сарајево,"engineering,_production_and_construction",
2010,Број,Кантон Сарајево,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,Кантон Сарајево,Здравство и социјална заштита,
2010,Број,Кантон Сарајево,Услуге,
2011,Број,Федерација Босне и Херцеговине,Образовање,
2011,Број,Федерација Босне и Херцеговине,Умјетност и хуманистичке науке,
2011,Број,Федерација Босне и Херцеговине,"social_sciences,_journalism_and_information",
2011,Број,Федерација Босне и Херцеговине,"business,_administration_and_law",
2011,Број,Федерација Босне и Херцеговине,"natural_sciences,_mathematics_and_statistics",
2011,Број,Федерација Босне и Херцеговине,Информационе и комуникационе технологије,
2011,Број,Федерација Босне и Херцеговине,"engineering,_production_and_construction",
2011,Број,Федерација Босне и Херцеговине,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Број,Федерација Босне и Херцеговине,Здравство и социјална заштита,
2011,Број,Федерација Босне и Херцеговине,Услуге,
2011,Број,Унско-сански кантон,Образовање,
2011,Број,Унско-сански кантон,Умјетност и хуманистичке науке,
2011,Број,Унско-сански кантон,"social_sciences,_journalism_and_information",
2011,Број,Унско-сански кантон,"business,_administration_and_law",
2011,Број,Унско-сански кантон,"natural_sciences,_mathematics_and_statistics",
2011,Број,Унско-сански кантон,Информационе и комуникационе технологије,
2011,Број,Унско-сански кантон,"engineering,_production_and_construction",
2011,Број,Унско-сански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Број,Унско-сански кантон,Здравство и социјална заштита,
2011,Број,Унско-сански кантон,Услуге,
2011,Број,Тузлански кантон,Образовање,
2011,Број,Тузлански кантон,Умјетност и хуманистичке науке,
2011,Број,Тузлански кантон,"social_sciences,_journalism_and_information",
2011,Број,Тузлански кантон,"business,_administration_and_law",
2011,Број,Тузлански кантон,"natural_sciences,_mathematics_and_statistics",
2011,Број,Тузлански кантон,Информационе и комуникационе технологије,
2011,Број,Тузлански кантон,"engineering,_production_and_construction",
2011,Број,Тузлански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Број,Тузлански кантон,Здравство и социјална заштита,
2011,Број,Тузлански кантон,Услуге,
2011,Број,Зеничко-добојски кантон,Образовање,
2011,Број,Зеничко-добојски кантон,Умјетност и хуманистичке науке,
2011,Број,Зеничко-добојски кантон,"social_sciences,_journalism_and_information",
2011,Број,Зеничко-добојски кантон,"business,_administration_and_law",
2011,Број,Зеничко-добојски кантон,"natural_sciences,_mathematics_and_statistics",
2011,Број,Зеничко-добојски кантон,Информационе и комуникационе технологије,
2011,Број,Зеничко-добојски кантон,"engineering,_production_and_construction",
2011,Број,Зеничко-добојски кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Број,Зеничко-добојски кантон,Здравство и социјална заштита,
2011,Број,Зеничко-добојски кантон,Услуге,
2011,Број,Босанско-подрињски кантон,Образовање,
2011,Број,Босанско-подрињски кантон,Умјетност и хуманистичке науке,
2011,Број,Босанско-подрињски кантон,"social_sciences,_journalism_and_information",
2011,Број,Босанско-подрињски кантон,"business,_administration_and_law",
2011,Број,Босанско-подрињски кантон,"natural_sciences,_mathematics_and_statistics",
2011,Број,Босанско-подрињски кантон,Информационе и комуникационе технологије,
2011,Број,Босанско-подрињски кантон,"engineering,_production_and_construction",
2011,Број,Босанско-подрињски кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Број,Босанско-подрињски кантон,Здравство и социјална заштита,
2011,Број,Босанско-подрињски кантон,Услуге,
2011,Број,Средњобосански кантон,Образовање,
2011,Број,Средњобосански кантон,Умјетност и хуманистичке науке,
2011,Број,Средњобосански кантон,"social_sciences,_journalism_and_information",
2011,Број,Средњобосански кантон,"business,_administration_and_law",
2011,Број,Средњобосански кантон,"natural_sciences,_mathematics_and_statistics",
2011,Број,Средњобосански кантон,Информационе и комуникационе технологије,
2011,Број,Средњобосански кантон,"engineering,_production_and_construction",
2011,Број,Средњобосански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Број,Средњобосански кантон,Здравство и социјална заштита,
2011,Број,Средњобосански кантон,Услуге,
2011,Број,Херцеговачко-неретвански кантон,Образовање,
2011,Број,Херцеговачко-неретвански кантон,Умјетност и хуманистичке науке,
2011,Број,Херцеговачко-неретвански кантон,"social_sciences,_journalism_and_information",
2011,Број,Херцеговачко-неретвански кантон,"business,_administration_and_law",
2011,Број,Херцеговачко-неретвански кантон,"natural_sciences,_mathematics_and_statistics",
2011,Број,Херцеговачко-неретвански кантон,Информационе и комуникационе технологије,
2011,Број,Херцеговачко-неретвански кантон,"engineering,_production_and_construction",
2011,Број,Херцеговачко-неретвански кантон,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Број,Херцеговачко-неретвански кантон,Здравство и социјална заштита,
2011,Број,Херцеговачко-неретвански кантон,Услуге,
2011,Број,Кантон Сарајево,Образовање,
2011,Број,Кантон Сарајево,Умјетност и хуманистичке науке,
2011,Број,Кантон Сарајево,"social_sciences,_journalism_and_information",
2011,Број,Кантон Сарајево,"business,_administration_and_law",
2011,Број,Кантон Сарајево,"natural_sciences,_mathematics_and_statistics",
2011,Број,Кантон Сарајево,Информационе и комуникационе технологије,
2011,Број,Кантон Сарајево,"engineering,_production_and_construction",
2011,Број,Кантон Сарајево,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2011,Број,Кантон Сарајево,Здравство и социјална заштита,
2011,Број,Кантон Сарајево,Услуге,
2012,Број,Федерација Босне и Херцеговине,Образовање,
2012,Број,Федерација Босне и Херцеговине,Умјетност и хуманистичке науке,
2012,Број,Федерација Босне и Херцеговине,"social_sciences,_journalism_and_information",
2012,Број,Федерација Босне и Херцеговине,"business,_administration_and_law",
2012,Број,Федерација Босне и Херцеговине,"natural_sciences,_mathematics_and_statistics",
2012,Број,Федерација Босне и Херцеговине,Информационе и комуникационе технологије,
2012,Број,Федерација Босне и Херцеговине,"engineering,_production_and_construction",
2012,Број,Федерација Босне и Херцеговине,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2012,Број,Федерација Босне и Херцеговине,Здравство и социјална заштита,
2012,Број,Федерација Босне и Херцеговине,Услуге,
2012,Број,Унско-сански кантон,Образовање,
2012,Број,Унско-сански кантон,Умјетност и хуманистичке науке,
2012,Број,Унско-сански кантон,"social_sciences,_journalism_and_information",
2012,Број,Унско-сански кантон,"business,_administration_and_law",
