Year,UNIT_MEASURE,Административна јединица,Пол,Value
2010,Број,Федерација Босне и Херцеговине,Оба пола,11350.0
2011,Број,Федерација Босне и Херцеговине,Оба пола,11209.0
2012,Број,Федерација Босне и Херцеговине,Оба пола,12231.0
2013,Број,Федерација Босне и Херцеговине,Оба пола,13491.0
2014,Број,Федерација Босне и Херцеговине,Оба пола,12183.0
2015,Број,Федерација Босне и Херцеговине,Оба пола,11846.0
2016,Број,Федерација Босне и Херцеговине,Оба пола,12149.0
2017,Број,Федерација Босне и Херцеговине,Оба пола,12060.0
2018,Број,Федерација Босне и Херцеговине,Оба пола,11747.0
2019,Број,Федерација Босне и Херцеговине,Оба пола,12359.0
2020,Број,Федерација Босне и Херцеговине,Оба пола,11476.0
2021,Број,Федерација Босне и Херцеговине,Оба пола,11537.0
2022,Број,Федерација Босне и Херцеговине,Оба пола,10374.0
2023,Број,Федерација Босне и Херцеговине,Оба пола,9286.0
2010,Број,Федерација Босне и Херцеговине,M,4143.0
2011,Број,Федерација Босне и Херцеговине,M,4291.0
2012,Број,Федерација Босне и Херцеговине,M,4650.0
2013,Број,Федерација Босне и Херцеговине,M,5150.0
2014,Број,Федерација Босне и Херцеговине,M,4700.0
2015,Број,Федерација Босне и Херцеговине,M,4611.0
2016,Број,Федерација Босне и Херцеговине,M,4767.0
2017,Број,Федерација Босне и Херцеговине,M,4798.0
2018,Број,Федерација Босне и Херцеговине,M,4682.0
2019,Број,Федерација Босне и Херцеговине,M,4803.0
2020,Број,Федерација Босне и Херцеговине,M,4403.0
2021,Број,Федерација Босне и Херцеговине,M,4230.0
2022,Број,Федерација Босне и Херцеговине,M,3731.0
2023,Број,Федерација Босне и Херцеговине,M,3331.0
2010,Број,Федерација Босне и Херцеговине,Ж,7207.0
2011,Број,Федерација Босне и Херцеговине,Ж,6918.0
2012,Број,Федерација Босне и Херцеговине,Ж,7581.0
2013,Број,Федерација Босне и Херцеговине,Ж,8341.0
2014,Број,Федерација Босне и Херцеговине,Ж,7483.0
2015,Број,Федерација Босне и Херцеговине,Ж,7235.0
2016,Број,Федерација Босне и Херцеговине,Ж,7382.0
