Year,UNIT_MEASURE,Administrative Area,Sex,Value
2016,Number,Federation of Bosnia and Herzegovina,Both sexes,8568
2016,Number,Federation of Bosnia and Herzegovina,M,3474
2016,Number,Federation of Bosnia and Herzegovina,F,5094
2017,Number,Federation of Bosnia and Herzegovina,Both sexes,8564
2017,Number,Federation of Bosnia and Herzegovina,M,3370
2017,Number,Federation of Bosnia and Herzegovina,F,5194
2018,Number,Federation of Bosnia and Herzegovina,Both sexes,8393
2018,Number,Federation of Bosnia and Herzegovina,M,3274
2018,Number,Federation of Bosnia and Herzegovina,F,5119
2019,Number,Federation of Bosnia and Herzegovina,Both sexes,8516
2019,Number,Federation of Bosnia and Herzegovina,M,3316
2019,Number,Federation of Bosnia and Herzegovina,F,5200
2020,Number,Federation of Bosnia and Herzegovina,Both sexes,8543
2020,Number,Federation of Bosnia and Herzegovina,M,3244
2020,Number,Federation of Bosnia and Herzegovina,F,5299
2021,Number,Federation of Bosnia and Herzegovina,Both sexes,8644
2021,Number,Federation of Bosnia and Herzegovina,M,3248
2021,Number,Federation of Bosnia and Herzegovina,F,5396
2022,Number,Federation of Bosnia and Herzegovina,Both sexes,8763
2022,Number,Federation of Bosnia and Herzegovina,M,3206
2022,Number,Federation of Bosnia and Herzegovina,F,5557
2023,Number,Federation of Bosnia and Herzegovina,Both sexes,8693
2023,Number,Federation of Bosnia and Herzegovina,M,3162
2023,Number,Federation of Bosnia and Herzegovina,F,5531
2016,Number,Una-Sana Canton,Both sexes,908
2016,Number,Una-Sana Canton,M,445
2016,Number,Una-Sana Canton,F,463
2017,Number,Una-Sana Canton,Both sexes,912
2017,Number,Una-Sana Canton,M,439
2017,Number,Una-Sana Canton,F,473
2018,Number,Una-Sana Canton,Both sexes,857
2018,Number,Una-Sana Canton,M,407
2018,Number,Una-Sana Canton,F,450
2019,Number,Una-Sana Canton,Both sexes,832
2019,Number,Una-Sana Canton,M,395
2019,Number,Una-Sana Canton,F,437
2020,Number,Una-Sana Canton,Both sexes,815
2020,Number,Una-Sana Canton,M,357
2020,Number,Una-Sana Canton,F,458
2021,Number,Una-Sana Canton,Both sexes,835
2021,Number,Una-Sana Canton,M,382
2021,Number,Una-Sana Canton,F,453
2022,Number,Una-Sana Canton,Both sexes,822
2022,Number,Una-Sana Canton,M,356
2022,Number,Una-Sana Canton,F,466
2023,Number,Una-Sana Canton,Both sexes,758
2023,Number,Una-Sana Canton,M,317
2023,Number,Una-Sana Canton,F,441
2016,Number,Posavina Canton,Both sexes,130
2016,Number,Posavina Canton,M,61
2016,Number,Posavina Canton,F,69
2017,Number,Posavina Canton,Both sexes,110
2017,Number,Posavina Canton,M,49
2017,Number,Posavina Canton,F,61
2018,Number,Posavina Canton,Both sexes,115
2018,Number,Posavina Canton,M,50
2018,Number,Posavina Canton,F,65
2019,Number,Posavina Canton,Both sexes,114
2019,Number,Posavina Canton,M,47
2019,Number,Posavina Canton,F,67
2020,Number,Posavina Canton,Both sexes,103
2020,Number,Posavina Canton,M,39
2020,Number,Posavina Canton,F,64
2021,Number,Posavina Canton,Both sexes,96
2021,Number,Posavina Canton,M,39
2021,Number,Posavina Canton,F,57
2022,Number,Posavina Canton,Both sexes,94
2022,Number,Posavina Canton,M,36
2022,Number,Posavina Canton,F,58
2023,Number,Posavina Canton,Both sexes,97
2023,Number,Posavina Canton,M,35
2023,Number,Posavina Canton,F,62
2016,Number,Tuzla Canton,Both sexes,1741
2016,Number,Tuzla Canton,M,780
2016,Number,Tuzla Canton,F,961
2017,Number,Tuzla Canton,Both sexes,1683
2017,Number,Tuzla Canton,M,727
2017,Number,Tuzla Canton,F,956
2018,Number,Tuzla Canton,Both sexes,1687
2018,Number,Tuzla Canton,M,731
2018,Number,Tuzla Canton,F,956
2019,Number,Tuzla Canton,Both sexes,1658
2019,Number,Tuzla Canton,M,740
2019,Number,Tuzla Canton,F,918
2020,Number,Tuzla Canton,Both sexes,1714
2020,Number,Tuzla Canton,M,743
2020,Number,Tuzla Canton,F,971
2021,Number,Tuzla Canton,Both sexes,1706
2021,Number,Tuzla Canton,M,723
2021,Number,Tuzla Canton,F,983
2022,Number,Tuzla Canton,Both sexes,1694
2022,Number,Tuzla Canton,M,697
2022,Number,Tuzla Canton,F,997
2023,Number,Tuzla Canton,Both sexes,1701
2023,Number,Tuzla Canton,M,684
2023,Number,Tuzla Canton,F,1017
2016,Number,Zenica-Doboj Canton,Both sexes,1549
2016,Number,Zenica-Doboj Canton,M,641
2016,Number,Zenica-Doboj Canton,F,908
2017,Number,Zenica-Doboj Canton,Both sexes,1565
2017,Number,Zenica-Doboj Canton,M,633
2017,Number,Zenica-Doboj Canton,F,932
2018,Number,Zenica-Doboj Canton,Both sexes,1559
2018,Number,Zenica-Doboj Canton,M,631
2018,Number,Zenica-Doboj Canton,F,928
2019,Number,Zenica-Doboj Canton,Both sexes,1639
2019,Number,Zenica-Doboj Canton,M,662
2019,Number,Zenica-Doboj Canton,F,977
2020,Number,Zenica-Doboj Canton,Both sexes,1651
2020,Number,Zenica-Doboj Canton,M,663
2020,Number,Zenica-Doboj Canton,F,988
2021,Number,Zenica-Doboj Canton,Both sexes,1620
2021,Number,Zenica-Doboj Canton,M,623
2021,Number,Zenica-Doboj Canton,F,997
2022,Number,Zenica-Doboj Canton,Both sexes,1624
2022,Number,Zenica-Doboj Canton,M,635
2022,Number,Zenica-Doboj Canton,F,989
2023,Number,Zenica-Doboj Canton,Both sexes,1579
