Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,11350.0
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,11209.0
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,12231.0
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,13491.0
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,12183.0
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,11846.0
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,12149.0
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,12060.0
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,11747.0
2019,Broj,Federacija Bosne i Hercegovine,Oba spola,12359.0
2020,Broj,Federacija Bosne i Hercegovine,Oba spola,11476.0
2021,Broj,Federacija Bosne i Hercegovine,Oba spola,11537.0
2022,Broj,Federacija Bosne i Hercegovine,Oba spola,10374.0
2023,Broj,Federacija Bosne i Hercegovine,Oba spola,9286.0
2010,Broj,Federacija Bosne i Hercegovine,M,4143.0
2011,Broj,Federacija Bosne i Hercegovine,M,4291.0
2012,Broj,Federacija Bosne i Hercegovine,M,4650.0
2013,Broj,Federacija Bosne i Hercegovine,M,5150.0
2014,Broj,Federacija Bosne i Hercegovine,M,4700.0
2015,Broj,Federacija Bosne i Hercegovine,M,4611.0
2016,Broj,Federacija Bosne i Hercegovine,M,4767.0
2017,Broj,Federacija Bosne i Hercegovine,M,4798.0
2018,Broj,Federacija Bosne i Hercegovine,M,4682.0
2019,Broj,Federacija Bosne i Hercegovine,M,4803.0
2020,Broj,Federacija Bosne i Hercegovine,M,4403.0
2021,Broj,Federacija Bosne i Hercegovine,M,4230.0
2022,Broj,Federacija Bosne i Hercegovine,M,3731.0
2023,Broj,Federacija Bosne i Hercegovine,M,3331.0
2010,Broj,Federacija Bosne i Hercegovine,Ž,7207.0
2011,Broj,Federacija Bosne i Hercegovine,Ž,6918.0
2012,Broj,Federacija Bosne i Hercegovine,Ž,7581.0
2013,Broj,Federacija Bosne i Hercegovine,Ž,8341.0
2014,Broj,Federacija Bosne i Hercegovine,Ž,7483.0
2015,Broj,Federacija Bosne i Hercegovine,Ž,7235.0
2016,Broj,Federacija Bosne i Hercegovine,Ž,7382.0
2017,Broj,Federacija Bosne i Hercegovine,Ž,7262.0
2018,Broj,Federacija Bosne i Hercegovine,Ž,7065.0
2019,Broj,Federacija Bosne i Hercegovine,Ž,7556.0
2020,Broj,Federacija Bosne i Hercegovine,Ž,7073.0
2021,Broj,Federacija Bosne i Hercegovine,Ž,7307.0
2022,Broj,Federacija Bosne i Hercegovine,Ž,6643.0
2023,Broj,Federacija Bosne i Hercegovine,Ž,5955.0
2010,Broj,Unsko-sanski kanton,Oba spola,729.0
2011,Broj,Unsko-sanski kanton,Oba spola,409.0
2012,Broj,Unsko-sanski kanton,Oba spola,603.0
2013,Broj,Unsko-sanski kanton,Oba spola,588.0
2014,Broj,Unsko-sanski kanton,Oba spola,514.0
2015,Broj,Unsko-sanski kanton,Oba spola,481.0
2016,Broj,Unsko-sanski kanton,Oba spola,417.0
2017,Broj,Unsko-sanski kanton,Oba spola,432.0
2018,Broj,Unsko-sanski kanton,Oba spola,423.0
2019,Broj,Unsko-sanski kanton,Oba spola,330.0
2020,Broj,Unsko-sanski kanton,Oba spola,272.0
2021,Broj,Unsko-sanski kanton,Oba spola,384.0
2022,Broj,Unsko-sanski kanton,Oba spola,314.0
2023,Broj,Unsko-sanski kanton,Oba spola,236.0
2010,Broj,Unsko-sanski kanton,M,249.0
2011,Broj,Unsko-sanski kanton,M,179.0
2012,Broj,Unsko-sanski kanton,M,204.0
2013,Broj,Unsko-sanski kanton,M,219.0
2014,Broj,Unsko-sanski kanton,M,195.0
2015,Broj,Unsko-sanski kanton,M,210.0
2016,Broj,Unsko-sanski kanton,M,158.0
2017,Broj,Unsko-sanski kanton,M,181.0
2018,Broj,Unsko-sanski kanton,M,178.0
2019,Broj,Unsko-sanski kanton,M,105.0
2020,Broj,Unsko-sanski kanton,M,91.0
2021,Broj,Unsko-sanski kanton,M,108.0
2022,Broj,Unsko-sanski kanton,M,84.0
