Year,UNIT_MEASURE,Administrative Area,Sex,Value
2010,Number,Federation of Bosnia and Herzegovina,Both sexes,58
2011,Number,Federation of Bosnia and Herzegovina,Both sexes,66
2012,Number,Federation of Bosnia and Herzegovina,Both sexes,134
2013,Number,Federation of Bosnia and Herzegovina,Both sexes,380
2014,Number,Federation of Bosnia and Herzegovina,Both sexes,571
2015,Number,Federation of Bosnia and Herzegovina,Both sexes,597
2016,Number,Federation of Bosnia and Herzegovina,Both sexes,599
2017,Number,Federation of Bosnia and Herzegovina,Both sexes,627
2018,Number,Federation of Bosnia and Herzegovina,Both sexes,603
2019,Number,Federation of Bosnia and Herzegovina,Both sexes,898
2020,Number,Federation of Bosnia and Herzegovina,Both sexes,909
2021,Number,Federation of Bosnia and Herzegovina,Both sexes,753
2022,Number,Federation of Bosnia and Herzegovina,Both sexes,783
2023,Number,Federation of Bosnia and Herzegovina,Both sexes,741
2010,Number,Federation of Bosnia and Herzegovina,M,18
2011,Number,Federation of Bosnia and Herzegovina,M,22
2012,Number,Federation of Bosnia and Herzegovina,M,44
2013,Number,Federation of Bosnia and Herzegovina,M,121
2014,Number,Federation of Bosnia and Herzegovina,M,190
2015,Number,Federation of Bosnia and Herzegovina,M,155
2016,Number,Federation of Bosnia and Herzegovina,M,160
2017,Number,Federation of Bosnia and Herzegovina,M,206
2018,Number,Federation of Bosnia and Herzegovina,M,191
2019,Number,Federation of Bosnia and Herzegovina,M,319
2020,Number,Federation of Bosnia and Herzegovina,M,333
2021,Number,Federation of Bosnia and Herzegovina,M,218
2022,Number,Federation of Bosnia and Herzegovina,M,217
2023,Number,Federation of Bosnia and Herzegovina,M,203
2010,Number,Federation of Bosnia and Herzegovina,F,40
2011,Number,Federation of Bosnia and Herzegovina,F,44
2012,Number,Federation of Bosnia and Herzegovina,F,90
2013,Number,Federation of Bosnia and Herzegovina,F,259
2014,Number,Federation of Bosnia and Herzegovina,F,381
2015,Number,Federation of Bosnia and Herzegovina,F,442
2016,Number,Federation of Bosnia and Herzegovina,F,439
2017,Number,Federation of Bosnia and Herzegovina,F,421
2018,Number,Federation of Bosnia and Herzegovina,F,412
2019,Number,Federation of Bosnia and Herzegovina,F,579
2020,Number,Federation of Bosnia and Herzegovina,F,576
2021,Number,Federation of Bosnia and Herzegovina,F,535
2022,Number,Federation of Bosnia and Herzegovina,F,566
2023,Number,Federation of Bosnia and Herzegovina,F,538
2013,Number,Tuzla Canton,Both sexes,202
2014,Number,Tuzla Canton,Both sexes,154
2015,Number,Tuzla Canton,Both sexes,198
2016,Number,Tuzla Canton,Both sexes,215
2017,Number,Tuzla Canton,Both sexes,187
2018,Number,Tuzla Canton,Both sexes,151
2019,Number,Tuzla Canton,Both sexes,268
2020,Number,Tuzla Canton,Both sexes,223
2021,Number,Tuzla Canton,Both sexes,174
2022,Number,Tuzla Canton,Both sexes,247
2023,Number,Tuzla Canton,Both sexes,181
2013,Number,Tuzla Canton,M,67
2014,Number,Tuzla Canton,M,37
2015,Number,Tuzla Canton,M,55
