Year,UNIT_MEASURE,Пол,Старосна доб,Узрок смрти,Value
2008,Број,Оба пола,Укупно,(Х00-Х59) Болести ока,1.0
2008,Број,Оба пола,Укупно,"(О00-О99) Трудноћа, порођај и постпорођајни период",3.0
2008,Број,Оба пола,Укупно,(А00-Б99) Заразне и паразитарне болести,154.0
2008,Број,Оба пола,Укупно,"(Ц00-Ц97,Д00-Д48) Неоплазме",3832.0
2008,Број,Оба пола,Укупно,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",27.0
2008,Број,Оба пола,Укупно,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",774.0
2008,Број,Оба пола,Укупно,(Ф00-Ф99) Душевни поремећаји и поремећаји понашања,61.0
2008,Број,Оба пола,Укупно,(Г00-Г99) Болести нервног система,141.0
2008,Број,Оба пола,Укупно,(И00-И99) Болести циркулацијског система,10509.0
2008,Број,Оба пола,Укупно,(Ј00-Ј99) Болести респираторног система,558.0
2008,Број,Оба пола,Укупно,(К00-К93) Болести дигестивног система,468.0
2008,Број,Оба пола,Укупно,(Л00-Л99) Болести коже и поткожног ткива,8.0
2008,Број,Оба пола,Укупно,(М00-М99) Болести мускулоскелетног система и везивног ткива,23.0
2008,Број,Оба пола,Укупно,(Н00-Н99) Болести генитално-уринарног система,279.0
2008,Број,Оба пола,Укупно,(П00-П96) Одређена стања настала у перинаталном периоду,116.0
2008,Број,Оба пола,Укупно,"(Q00-Q99) Конгениталне малформације, деформитети и хромосомске абнормалности",46.0
2008,Број,Оба пола,Укупно,"(Р00-Р99) Симптоми, знакови и абнормални клинички и лабораторијски налази који нису другдје класифицирани",1062.0
2008,Број,Оба пола,Укупно,Непознато,813.0
2008,Број,Оба пола,Укупно,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",605.0
2008,Број,M,Укупно,"(О00-О99) Трудноћа, порођај и постпорођајни период",0.0
2008,Број,M,Укупно,(Х00-Х59) Болести ока,0.0
2008,Број,M,Укупно,(Л00-Л99) Болести коже и поткожног ткива,3.0
2008,Број,M,Укупно,"(С00-Т98) Повреде, тровања и друге посљедице дејстава спољних фактора",483.0
2008,Број,M,Укупно,(А00-Б99) Заразне и паразитарне болести,96.0
2008,Број,M,Укупно,"(Ц00-Ц97,Д00-Д48) Неоплазме",2286.0
2008,Број,M,Укупно,"(Д50-Д89) Болести крви и крвотворних органа, као и поремећаји имунолошког система",12.0
2008,Број,M,Укупно,"(Е00-Е90) Ендокрине болести, болести исхране и болести метаболизма",298.0
